,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1599792399328636932,1599790015755657216,1670255205000.0,2022-12-05 21:16:45,+0530,,@insilicobunker  https://t.co/PWEmtGIUV0,qme,[],[],1247030250116022272,1247030250116022272,0xIrish369,0xIrish,1,21,https://twitter.com/0xIrish369/status/1599792399328636932,[],['https://pbs.twimg.com/tweet_video_thumb/FjOas-kaMAIlx85.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/FjOas-kaMAIlx85.jpg,False,0,0,0,,None,,,,,,,[],,,,
1,1599762979826053121,1599750686891188224,1670248191000.0,2022-12-05 19:19:51,+0530,,"@thecryptomonk @unusual_whales Yep, no way he's changing his current narrative. This ""apology tour"" is calculated to make him seem incompetent, and the guy is a straight up psycopath so he doesn't care that we all know what he's doing, so long as it works on the uninformed",en,[],[],1247030250116022272,1247030250116022272,0xIrish369,0xIrish,1,19,https://twitter.com/0xIrish369/status/1599762979826053121,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'thecryptomonk', 'name': 'The Crypto Monk', 'id': '576519811'}, {'screen_name': 'unusual_whales', 'name': 'unusual_whales', 'id': '1200616796295847936'}]",,,,
2,1599751571495333890,1599681909520420865,1670245471000.0,2022-12-05 18:34:31,+0530,,@RookieXBT @MacnBTC McLarp has been posting that he bought Solana and Axs in 2017 and other nonsense😆  Took him posting it at least 5 times before his ego allowed him the capacity to read the comments and realise neither project existed then,en,[],[],1247030250116022272,1247030250116022272,0xIrish369,0xIrish,1,18,https://twitter.com/0xIrish369/status/1599751571495333890,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'RookieXBT', 'name': 'RookieXBT 🧲', 'id': '2545086098'}, {'screen_name': 'MacnBTC', 'name': 'Mac 🐺', 'id': '996294856078188544'}]",,,,
3,1599750621862957063,1599732514385317888,1670245244000.0,2022-12-05 18:30:44,+0530,,"@magnetmoneyshow Big difference though. One is taking liquidity from the vulnerable and less informed, the other is actively trying to change the lives of others through giving back",en,[],[],1247030250116022272,1247030250116022272,0xIrish369,0xIrish,1,18,https://twitter.com/0xIrish369/status/1599750621862957063,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'magnetmoneyshow', 'name': 'Magnet Money 🧲💰', 'id': '1593309190524739588'}]",,,,
4,1599744259166732288,1599743162313908224,1670243727000.0,2022-12-05 18:05:27,+0530,,@BullChain After they laid off 20% of their staff too because bear market,en,[],[],1247030250116022272,1247030250116022272,0xIrish369,0xIrish,1,18,https://twitter.com/0xIrish369/status/1599744259166732288,[],[],0,,False,0,1,0,,None,,,,,,,"[{'screen_name': 'BullChain', 'name': 'BullChain ᵍᵐ', 'id': '998732397184212992'}]",,,,
5,1599743932484976642,1599743509887873024,1670243649000.0,2022-12-05 18:04:09,+0530,,@Rubberbandits The superposition eluded you until now. Now it is determined,en,[],[],1247030250116022272,1247030250116022272,0xIrish369,0xIrish,1,18,https://twitter.com/0xIrish369/status/1599743932484976642,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'Rubberbandits', 'name': 'The Blindboy Podcast', 'id': '68151046'}]",,,,
6,1599741550153859073,1599414962870362112,1670243081000.0,2022-12-05 17:54:41,+0530,,@hnwmemes @Cobratate Cobra taint,in,[],[],1247030250116022272,1247030250116022272,0xIrish369,0xIrish,1,17,https://twitter.com/0xIrish369/status/1599741550153859073,[],[],0,,False,1,0,0,,None,,,,,,,"[{'screen_name': 'hnwmemes', 'name': 'high net-worth memes', 'id': '1514271598664196108'}, {'screen_name': 'Cobratate', 'name': 'Andrew Tate', 'id': '333357345'}]",,,,
7,1599740598747279361,1599705140772093954,1670242855000.0,2022-12-05 17:50:55,+0530,,@TheMoonCarl @cobie @Bybit_Official @MedievalEmpires So you're saying your last project failed because of bear market conditions...and your logical next step is to release another new project...in a bear market,en,[],[],1247030250116022272,1247030250116022272,0xIrish369,0xIrish,1,17,https://twitter.com/0xIrish369/status/1599740598747279361,[],[],0,,False,3,0,0,,None,,,,,,,"[{'screen_name': 'TheMoonCarl', 'name': 'Carl | The Moon 🌙', 'id': '978732571738755072'}, {'screen_name': 'cobie', 'name': 'Cobie', 'id': '2259434528'}, {'screen_name': 'Bybit_Official', 'name': 'Bybit', 'id': '999947328621395968'}, {'screen_name': 'MedievalEmpires', 'name': 'Medieval Empires | Token Launch 19 December', 'id': '1526821051983970305'}]",,,,
8,1599737635375042560,1599735394077184000,1670242148000.0,2022-12-05 17:39:08,+0530,,@billboard Damn! Who ate Kelly Clarkson...,en,[],[],1247030250116022272,1247030250116022272,0xIrish369,0xIrish,1,17,https://twitter.com/0xIrish369/status/1599737635375042560,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'billboard', 'name': 'billboard', 'id': '9695312'}]",,,,
9,1599737392029921280,1599716461282557954,1670242090000.0,2022-12-05 17:38:10,+0530,,@Cointelegraph Of course they're favourable to the part of blockchain tech that allows for digital identities and CBDCs 😆,en,[],[],1247030250116022272,1247030250116022272,0xIrish369,0xIrish,1,17,https://twitter.com/0xIrish369/status/1599737392029921280,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'Cointelegraph', 'name': 'Cointelegraph', 'id': '2207129125'}]",,,,
