,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1599825702781857792,1599824505568120832,1670263145000.0,2022-12-05 23:29:05,+0530,,@0xMerp @GCRClassic @binance AXS short is max 20mil on 1x though,en,[],[],1427112869842198533,1427112869842198533,AVCrypto_,AV,1,23,https://twitter.com/AVCrypto_/status/1599825702781857792,[],[],0,,False,4,0,0,,None,,,,,,,"[{'screen_name': '0xMerp', 'name': 'merp', 'id': '926303893536960513'}, {'screen_name': 'GCRClassic', 'name': 'GCR', 'id': '1484112393361891328'}, {'screen_name': 'binance', 'name': 'Binance', 'id': '877807935493033984'}]",,,,
1,1599822625739767809,1599822625739767809,1670262411000.0,2022-12-05 23:16:51,+0530,,TFW watching Japan during the penalty shootout  https://t.co/1a26MjSfUR,en,[],[],1427112869842198533,1427112869842198533,AVCrypto_,AV,1,23,https://twitter.com/AVCrypto_/status/1599822625739767809,[],['https://pbs.twimg.com/media/FjO2MlraYAAf-bk.jpg'],1,https://pbs.twimg.com/media/FjO2MlraYAAf-bk.jpg,False,14,1,0,,None,,,,,,,[],,,,
2,1599818969128792064,1599818058377617411,1670261540000.0,2022-12-05 23:02:20,+0530,,@btc_charlie Coping with this by thinking someone out there closed his trade before that candle 🫡,en,[],[],1427112869842198533,1427112869842198533,AVCrypto_,AV,1,23,https://twitter.com/AVCrypto_/status/1599818969128792064,[],[],0,,False,5,1,0,,None,,,,,,,"[{'screen_name': 'btc_charlie', 'name': 'Charlie', 'id': '1008431216796798977'}]",,,,
3,1599818058377617411,1599818058377617411,1670261322000.0,2022-12-05 22:58:42,+0530,,3.2% 🥲  https://t.co/oqgy23lihC,und,[],[],1427112869842198533,1427112869842198533,AVCrypto_,AV,1,22,https://twitter.com/AVCrypto_/status/1599818058377617411,[],"['https://pbs.twimg.com/media/FjOyCl3agAAxYfc.jpg', 'https://pbs.twimg.com/media/FjOyCnJaEAEZD1-.jpg']",1,https://pbs.twimg.com/media/FjOyCl3agAAxYfc.jpg,False,26,2,0,https://twitter.com/hsakatrades/status/1588487204925734914,None,,,,,,,[],,,,
4,1599817177317900289,1599673060076179456,1670261112000.0,2022-12-05 22:55:12,+0530,,And there you go  https://t.co/K4UbG87kmB,en,[],[],1427112869842198533,1427112869842198533,AVCrypto_,AV,1,22,https://twitter.com/AVCrypto_/status/1599817177317900289,[],"['https://pbs.twimg.com/media/FjOxPX8aAAE3tD2.jpg', 'https://pbs.twimg.com/media/FjOxPXxagAAULpz.jpg']",1,https://pbs.twimg.com/media/FjOxPX8aAAE3tD2.jpg,False,10,1,1,,None,,,,,,,[],,,,
5,1599773857115951104,1599773857115951104,1670250784000.0,2022-12-05 20:03:04,+0530,,The fact that I participated in all of these and made insane amounts of money and the easiest trading conditions lmao  All because of one anon in this app 🫡,en,[],[],1427112869842198533,1427112869842198533,AVCrypto_,AV,1,20,https://twitter.com/AVCrypto_/status/1599773857115951104,[],[],0,,False,30,2,1,https://twitter.com/DarkCryptoLord/status/1599772760896868353,None,,,,,,,[],,,,
6,1599702237009223680,1599700352680357889,1670233708000.0,2022-12-05 15:18:28,+0530,,@PC_PR1NCIPAL @hyuktrades I frontran her  https://t.co/NBPpdLPLkD,en,[],[],1427112869842198533,1427112869842198533,AVCrypto_,AV,1,15,https://twitter.com/AVCrypto_/status/1599702237009223680,[],['https://pbs.twimg.com/media/FjNIq1TVUAIXJps.png'],1,https://pbs.twimg.com/media/FjNIq1TVUAIXJps.png,False,31,6,0,,None,,,,,,,"[{'screen_name': 'PC_PR1NCIPAL', 'name': 'PC Principal Inu', 'id': '1085046365523066880'}, {'screen_name': 'hyuktrades', 'name': 'hyuk', 'id': '2566944355'}]",,,,
7,1599698812582658048,1599698105389051904,1670232892000.0,2022-12-05 15:04:52,+0530,,@Tree_of_Alpha @tier10k Context since tweet got insta-deleted after Tree QT'd  https://t.co/9iQ6u1qaKl,en,[],[],1427112869842198533,1427112869842198533,AVCrypto_,AV,1,15,https://twitter.com/AVCrypto_/status/1599698812582658048,[],['https://pbs.twimg.com/media/FjNFhYsUoAAzz19.png'],1,https://pbs.twimg.com/media/FjNFhYsUoAAzz19.png,False,32,1,1,,None,,,,,,,"[{'screen_name': 'Tree_of_Alpha', 'name': 'Tree of Alpha', 'id': '1456327895866314753'}, {'screen_name': 'tier10k', 'name': 'db', 'id': '2361601055'}]",,,,
8,1599698492351741952,1599698105389051904,1670232816000.0,2022-12-05 15:03:36,+0530,,@Tree_of_Alpha @tier10k The audacity  https://t.co/EtixrJkUtt,en,[],[],1427112869842198533,1427112869842198533,AVCrypto_,AV,1,15,https://twitter.com/AVCrypto_/status/1599698492351741952,[],['https://pbs.twimg.com/media/FjNFSIcUUAAW9Ql.png'],1,https://pbs.twimg.com/media/FjNFSIcUUAAW9Ql.png,False,76,6,9,,None,,,,,,,"[{'screen_name': 'Tree_of_Alpha', 'name': 'Tree of Alpha', 'id': '1456327895866314753'}, {'screen_name': 'tier10k', 'name': 'db', 'id': '2361601055'}]",,,,
9,1599676963316436992,1599673060076179456,1670227683000.0,2022-12-05 13:38:03,+0530,,Based CEOs leaking the alpha after daily open  https://t.co/XJ2T1KDNHn,en,[],[],1427112869842198533,1427112869842198533,AVCrypto_,AV,1,13,https://twitter.com/AVCrypto_/status/1599676963316436992,[],['https://pbs.twimg.com/media/FjMxlt7UAAAPHX9.jpg'],1,https://pbs.twimg.com/media/FjMxlt7UAAAPHX9.jpg,False,27,3,0,,None,,,,,,,[],,,,
