,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1599891461717491712,1599891461717491712,1670278823000.0,2022-12-06 03:50:23,+0530,,“We rekt”,nl,[],[],942999039192186882,942999039192186882,AltcoinPsycho,Psycho,2,03,https://twitter.com/AltcoinPsycho/status/1599891461717491712,[],[],0,,False,62,9,3,https://twitter.com/deitaone/status/1599876508742475777,None,,,,,,,[],,,,
1,1599670670983860227,1599666952686866432,1670226183000.0,2022-12-05 13:13:03,+0530,,"@TeddyCleps 3 star life eh, enjoy man that’s a special one",en,[],[],942999039192186882,942999039192186882,AltcoinPsycho,Psycho,1,13,https://twitter.com/AltcoinPsycho/status/1599670670983860227,[],[],0,,False,18,2,0,,None,,,,,,,"[{'screen_name': 'TeddyCleps', 'name': 'Teddy', 'id': '905778654503940096'}]",,,,
2,1599634256879550465,1599457816494092289,1670217501000.0,2022-12-05 10:48:21,+0530,,@sama No safeguards. AI shouldn’t be co-mingled with politics,en,[],[],942999039192186882,942999039192186882,AltcoinPsycho,Psycho,1,10,https://twitter.com/AltcoinPsycho/status/1599634256879550465,[],[],0,,False,185,9,6,,None,,,,,,,"[{'screen_name': 'sama', 'name': 'Sam Altman', 'id': '1605'}]",,,,
3,1599592346903281664,1599592346903281664,1670207509000.0,2022-12-05 08:01:49,+0530,,📸,art,[],[],942999039192186882,942999039192186882,AltcoinPsycho,Psycho,1,08,https://twitter.com/AltcoinPsycho/status/1599592346903281664,[],[],0,,False,126,13,4,https://twitter.com/sbf_ftx/status/1376252680574656513,None,,,,,,,[],,,,
4,1599534873043406848,1599533775267848193,1670193806000.0,2022-12-05 04:13:26,+0530,,@EvgenyGaevoy Chatgpt?😂,en,[],[],942999039192186882,942999039192186882,AltcoinPsycho,Psycho,1,04,https://twitter.com/AltcoinPsycho/status/1599534873043406848,[],[],0,,False,5,1,0,,None,,,,,,,"[{'screen_name': 'EvgenyGaevoy', 'name': 'wishful cynic', 'id': '880405027130617857'}]",,,,
5,1599477736921530369,1599477736921530369,1670180183000.0,2022-12-05 00:26:23,+0530,,I think the bottom is close but then I see tweets like this,en,[],[],942999039192186882,942999039192186882,AltcoinPsycho,Psycho,1,00,https://twitter.com/AltcoinPsycho/status/1599477736921530369,[],[],0,,False,287,43,8,https://twitter.com/liathetrader/status/1598729791674486790,None,,,,,,,[],,,,
6,1599306317357019137,1599306155704000513,1670139314000.0,2022-12-04 13:05:14,+0530,,@conzimp thats bc you guys aren't bumping metro's new album,en,[],[],942999039192186882,942999039192186882,AltcoinPsycho,Psycho,7,13,https://twitter.com/AltcoinPsycho/status/1599306317357019137,[],[],0,,False,30,9,0,,None,,,,,,,"[{'screen_name': 'conzimp', 'name': 'Ansem🦋', 'id': '1288929150628175874'}]",,,,
7,1599227527377358848,1599219855806582784,1670120529000.0,2022-12-04 07:52:09,+0530,,@TheCryptoDog So true king,en,[],[],942999039192186882,942999039192186882,AltcoinPsycho,Psycho,7,07,https://twitter.com/AltcoinPsycho/status/1599227527377358848,[],[],0,,False,99,5,0,,None,,,,,,,"[{'screen_name': 'TheCryptoDog', 'name': 'The Crypto Dog🫐', 'id': '887748030304329728'}]",,,,
8,1599189421412470784,1599073451209240576,1670111444000.0,2022-12-04 05:20:44,+0530,,@Pentosh1 Lekker bezig vriend,nl,[],[],942999039192186882,942999039192186882,AltcoinPsycho,Psycho,7,05,https://twitter.com/AltcoinPsycho/status/1599189421412470784,[],[],0,,False,50,14,0,,None,,,,,,,"[{'screen_name': 'Pentosh1', 'name': 'Pentoshi 🐧', 'id': '1138993163706753029'}]",,,,
9,1598799165349584898,1598797443528892428,1670018399000.0,2022-12-03 03:29:59,+0530,,@CryptoKaleo Good stuff,en,[],[],942999039192186882,942999039192186882,AltcoinPsycho,Psycho,6,03,https://twitter.com/AltcoinPsycho/status/1598799165349584898,[],[],0,,False,36,3,0,,None,,,,,,,"[{'screen_name': 'CryptoKaleo', 'name': 'K A L E O', 'id': '906234475604037637'}]",,,,
10,1598742302050357248,1598742302050357248,1670004842000.0,2022-12-02 23:44:02,+0530,,"I asked AI how it would destroy the crypto industry if it were assigned the task to do so   Pretty coherent and thorough answer, I'm still mindblown by this thing @OpenAI  https://t.co/9pMzMR2JEj",en,[],[],942999039192186882,942999039192186882,AltcoinPsycho,Psycho,5,23,https://twitter.com/AltcoinPsycho/status/1598742302050357248,[],['https://pbs.twimg.com/media/Fi_foHsUAAATOHa.png'],1,https://pbs.twimg.com/media/Fi_foHsUAAATOHa.png,False,2637,352,466,,None,,,,,,,[],,,,
11,1598600109712777216,1598600109712777216,1669970941000.0,2022-12-02 14:19:01,+0530,,"Damn, even an AI would have done a better job at managing the FTX bankruptcy situation lol  https://t.co/bjEGhwQSPo",en,[],[],942999039192186882,942999039192186882,AltcoinPsycho,Psycho,5,14,https://twitter.com/AltcoinPsycho/status/1598600109712777216,[],['https://pbs.twimg.com/media/Fi9eU64VQAEfBE_.png'],1,https://pbs.twimg.com/media/Fi9eU64VQAEfBE_.png,False,530,45,49,,None,,,,,,,[],,,,
12,1598598179855151104,1598586248503119873,1669970481000.0,2022-12-02 14:11:21,+0530,,@ThePythonQuant it's not even been 24 hours since the tool has been released... use a little imagination to think where this technology will be in 1-2 years,en,[],[],942999039192186882,942999039192186882,AltcoinPsycho,Psycho,5,14,https://twitter.com/AltcoinPsycho/status/1598598179855151104,[],[],0,,False,528,34,3,,None,,,,,,,"[{'screen_name': 'ThePythonQuant', 'name': 'elPythonQuantador', 'id': '1237313316'}]",,,,
13,1598593328450514944,1598593328450514944,1669969324000.0,2022-12-02 13:52:04,+0530,,"I asked AI why people on psychedlics report a maternal feminine presence   ""the motherly figure that people report experiencing on psychedelics may be a manifestation of their own unconscious desires &amp; needs,  or it may be a psychological archetype that represents nurturing""   🤯  https://t.co/fP5ppwUp4J",en,[],[],942999039192186882,942999039192186882,AltcoinPsycho,Psycho,5,13,https://twitter.com/AltcoinPsycho/status/1598593328450514944,[],['https://pbs.twimg.com/media/Fi9YKNPVEAEhezw.png'],1,https://pbs.twimg.com/media/Fi9YKNPVEAEhezw.png,False,318,49,36,,None,,,,,,,[],,,,
14,1598586248503119873,1598586248503119873,1669967636000.0,2022-12-02 13:23:56,+0530,,Just asked AI to write me a python script to create a backtesting engine for trading strategies   The game is truly about to change for devs and algorithmic traders  https://t.co/jnJRSSjgRR,en,[],[],942999039192186882,942999039192186882,AltcoinPsycho,Psycho,5,13,https://twitter.com/AltcoinPsycho/status/1598586248503119873,[],['https://pbs.twimg.com/media/Fi9RgHpUoAAdFm1.png'],1,https://pbs.twimg.com/media/Fi9RgHpUoAAdFm1.png,False,7452,422,770,,None,,,,,,,[],,,,
15,1598582296357265409,1598582296357265409,1669966694000.0,2022-12-02 13:08:14,+0530,,Looks like even the mighty @OpenAI can't provide insight on how to profitably trade options lol  https://t.co/Q28EzUXTZg,en,[],[],942999039192186882,942999039192186882,AltcoinPsycho,Psycho,5,13,https://twitter.com/AltcoinPsycho/status/1598582296357265409,[],['https://pbs.twimg.com/media/Fi9OIFEVQAA9hJN.png'],1,https://pbs.twimg.com/media/Fi9OIFEVQAA9hJN.png,False,131,24,5,,None,,,,,,,[],,,,
16,1598560348411265034,1598558027849703424,1669961461000.0,2022-12-02 11:41:01,+0530,,"@Tradermayne @OpenAI Just asked ChatGPT for you, here's what it said  https://t.co/XIgcPuzNdA",en,[],[],942999039192186882,942999039192186882,AltcoinPsycho,Psycho,5,11,https://twitter.com/AltcoinPsycho/status/1598560348411265034,[],['https://pbs.twimg.com/media/Fi86JjWVIAAp9sZ.jpg'],1,https://pbs.twimg.com/media/Fi86JjWVIAAp9sZ.jpg,False,337,38,1,,None,,,,,,,"[{'screen_name': 'Tradermayne', 'name': 'Mayne', 'id': '2446024556'}, {'screen_name': 'OpenAI', 'name': 'OpenAI', 'id': '4398626122'}]",,,,
17,1598558027849703424,1598558027849703424,1669960908000.0,2022-12-02 11:31:48,+0530,,I don't think people understand how big of a deal @OpenAI chatGPT is  There's been several key moments in the exponential curve of technological advancement: 1) The personal computer 2) The Internet 3) Emails  4) Smartphones  I think ChatGPT will be next,en,[],[],942999039192186882,942999039192186882,AltcoinPsycho,Psycho,5,11,https://twitter.com/AltcoinPsycho/status/1598558027849703424,[],[],0,,False,1382,133,164,,None,,,,,,,[],,,,
18,1598548064801026049,1598415399795953664,1669958532000.0,2022-12-02 10:52:12,+0530,,"@Jiran_z what about ftx quant zone that he created... Idk, I feel like he's just trying to play dumb so he isn't hit with a fraud cause",en,[],[],942999039192186882,942999039192186882,AltcoinPsycho,Psycho,5,10,https://twitter.com/AltcoinPsycho/status/1598548064801026049,[],[],0,,False,7,10,0,,None,,,,,,,"[{'screen_name': 'Jiran_z', 'name': 'jiran.eth | Sherblock Nodes', 'id': '490937904'}]",,,,
19,1598511806393171969,1598343921674993666,1669949888000.0,2022-12-02 08:28:08,+0530,,"@SBF_FTX Are you implying that FTX US had sufficient funds with their ACH bank processor (ie  silvergate), and Silvergate *chose* not to process ACH withdrawals?  Again, these withdrawals were initiated 4-5 days BEFORE chapter 11 &amp; the tx’s were marked as complete on FTX  Where is that $?",en,[],[],942999039192186882,942999039192186882,AltcoinPsycho,Psycho,5,08,https://twitter.com/AltcoinPsycho/status/1598511806393171969,[],[],0,,False,588,75,48,,None,,,,,,,"[{'screen_name': 'SBF_FTX', 'name': 'SBF', 'id': '1110877798820777986'}]",,,,
20,1598474670747287552,1598472220405555200,1669941034000.0,2022-12-02 06:00:34,+0530,,"@DaRealMilkBagz on behalf of my colleagues at the IRS, we thank those for participation in our experimental honey pot",en,[],[],942999039192186882,942999039192186882,AltcoinPsycho,Psycho,5,06,https://twitter.com/AltcoinPsycho/status/1598474670747287552,[],[],0,,False,66,6,0,,None,,,,,,,"[{'screen_name': 'DaRealMilkBagz', 'name': 'Ice Bagz', 'id': '1446715714082115584'}]",,,,
21,1598468767398645760,1598468767398645760,1669939626000.0,2022-12-02 05:37:06,+0530,,think I’m gonna have a stroke if I keep listening to this space,en,[],[],942999039192186882,942999039192186882,AltcoinPsycho,Psycho,5,05,https://twitter.com/AltcoinPsycho/status/1598468767398645760,[],[],0,,False,451,75,9,,None,,,,,,,[],,,,
22,1598466565330309120,1598466565330309120,1669939101000.0,2022-12-02 05:28:21,+0530,,Man I need a drink lol,en,[],[],942999039192186882,942999039192186882,AltcoinPsycho,Psycho,5,05,https://twitter.com/AltcoinPsycho/status/1598466565330309120,[],[],0,,False,223,35,7,,None,,,,,,,[],,,,
23,1598456009751949313,1598456009751949313,1669936585000.0,2022-12-02 04:46:25,+0530,,"Glad the space hosts pinned the below tweet and asked SBF my question (which is wire fraud, btw)  Too bad SBF weasled his way out of truly answering it and gave a bunch of verbal diarrhea. He needs to be pressed harder on this",en,[],[],942999039192186882,942999039192186882,AltcoinPsycho,Psycho,5,04,https://twitter.com/AltcoinPsycho/status/1598456009751949313,[],[],0,,False,243,30,18,https://twitter.com/AltcoinPsycho/status/1598352109023690752,None,,,,,,,[],,,,
24,1598453847546302465,1598453847546302465,1669936069000.0,2022-12-02 04:37:49,+0530,,How can anyone listen to this space and not think SBF is a sociopathic liar,en,[],[],942999039192186882,942999039192186882,AltcoinPsycho,Psycho,5,04,https://twitter.com/AltcoinPsycho/status/1598453847546302465,[],[],0,,False,968,113,49,,None,,,,,,,[],,,,
25,1598416630232776704,1598415399795953664,1669927196000.0,2022-12-02 02:09:56,+0530,,this man literally started a quant trading firm then tried gaslighting us by saying he doesn’t know how to code  https://t.co/jmU6z1CruP,en,[],[],942999039192186882,942999039192186882,AltcoinPsycho,Psycho,5,02,https://twitter.com/AltcoinPsycho/status/1598416630232776704,[],['https://pbs.twimg.com/media/Fi63dAbVIAA7yI0.jpg'],1,https://pbs.twimg.com/media/Fi63dAbVIAA7yI0.jpg,False,196,12,1,,None,,,,,,,[],,,,
26,1598415399795953664,1598415399795953664,1669926903000.0,2022-12-02 02:05:03,+0530,,"SBF in NYT interview: I don’t know how to code, so I didn’t create the back door withdrawal code   Also SBF: I was a quant trader at Jane Street",en,[],[],942999039192186882,942999039192186882,AltcoinPsycho,Psycho,5,02,https://twitter.com/AltcoinPsycho/status/1598415399795953664,[],[],0,,False,385,31,48,https://twitter.com/sbf_ftx/status/1507520788798320645,None,,,,,,,[],,,,
