,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1599863695433162763,1599863695433162763,1670272203000.0,2022-12-06 02:00:03,+0530,,The US federal debt limit was first conceived more than a century ago to make it easier for the government to borrow money.  Committee for a Responsible Federal Budget President Maya MacGuineas discusses the US “debt ceiling” and its history  https://t.co/WSqVUGOdVw  https://t.co/LjS63ROg1j,en,[],[],35002876,35002876,BloombergTV,Bloomberg TV,2,02,https://twitter.com/BloombergTV/status/1599863695433162763,['https://trib.al/EVA6rWA'],[],1,https://pbs.twimg.com/amplify_video_thumb/1599820244423528449/img/WiTtsuqGGtuWkTSy.jpg,False,2,2,1,,None,,,,,,,[],,,,
1,1599858684150091794,1599858684150091794,1670271008000.0,2022-12-06 01:40:08,+0530,,"The cryptocurrency space is undergoing one of its roughest stretches in memory, with trouble brewing at exchanges and lenders.  Managed Funds Association President &amp; CEO Bryan Corbett discusses the future of financial regulation with @DavidWestin  https://t.co/AqPnLOQsVd  https://t.co/SzooLpvuZw",en,[],[],35002876,35002876,BloombergTV,Bloomberg TV,2,01,https://twitter.com/BloombergTV/status/1599858684150091794,['https://trib.al/ZV3t1zI'],[],1,https://pbs.twimg.com/amplify_video_thumb/1599848022661337089/img/nNC6DbE4lEOcWg1k.jpg,False,4,3,2,,None,,,,,,,[],,,,
2,1599852661834137603,1599852661834137603,1670269573000.0,2022-12-06 01:16:13,+0530,,"“We are very concerned in terms of a more significant slowdown than what the market is pricing into 2023,” says Goldman Sachs Asset Multi-Asset Solutions Co-CIO Maria Vassalou.   She joins @kgreifeld and @RomaineBostick to discuss markets &amp; the US economy  https://t.co/ifDzIwuFvN  https://t.co/9l0V6y1eW8",en,[],[],35002876,35002876,BloombergTV,Bloomberg TV,2,01,https://twitter.com/BloombergTV/status/1599852661834137603,['https://trib.al/thTEihL'],[],1,https://pbs.twimg.com/amplify_video_thumb/1599849518215954438/img/PT5uJRKJIke4rsWz.jpg,False,7,0,5,,None,,,,,,,[],,,,
3,1599830660990001152,1599830660990001152,1670264327000.0,2022-12-05 23:48:47,+0530,,Foxconn reported sales for November were down 11.4% from the prior year after some shipments were affected by a Covid outbreak in the Chinese city of Zhengzhou. Bloomberg's @EdLudlow has the details  https://t.co/yCeFVvHWO2  https://t.co/ixe8yIV4yn,en,[],[],35002876,35002876,BloombergTV,Bloomberg TV,1,23,https://twitter.com/BloombergTV/status/1599830660990001152,['https://trib.al/WNef5Zg'],[],1,https://pbs.twimg.com/amplify_video_thumb/1599813452628987904/img/N1y4E7kNHjDJBfVP.jpg,False,3,0,5,,None,,,,,,,[],,,,
4,1599829869856276492,1599829869856276492,1670264139000.0,2022-12-05 23:45:39,+0530,,"Russia’s crude oil shipments to Europe are shrinking fast. An EU ban on seaborne imports from the country is now in effect, shutting off a market that was taking more than 1.5 million barrels a day. Rystad Energy Senior Oil Analyst Louise Dickson discusses  https://t.co/OePF5Qr5yz  https://t.co/KAM4Jf5wZO",en,[],[],35002876,35002876,BloombergTV,Bloomberg TV,1,23,https://twitter.com/BloombergTV/status/1599829869856276492,['https://trib.al/hIg1RQ0'],[],1,https://pbs.twimg.com/amplify_video_thumb/1599822204723773441/img/0Fz7ckP5yO5yHhRd.jpg,False,3,0,7,,None,,,,,,,[],,,,
5,1599828798098358282,1599828798098358282,1670263883000.0,2022-12-05 23:41:23,+0530,,Saudi Arabian Crown Prince Mohammed bin Salman is reportedly considering taking a $500 million stake in Credit Suisse Group AG’s planned investment bank spin out  https://t.co/FIqMlDNsS3  https://t.co/hgHa0CUCr1,en,[],[],35002876,35002876,BloombergTV,Bloomberg TV,1,23,https://twitter.com/BloombergTV/status/1599828798098358282,['https://trib.al/c9EfsgH'],[],1,https://pbs.twimg.com/amplify_video_thumb/1599812039744036866/img/0GpMduWB28HbZaoX.jpg,False,8,1,4,,None,,,,,,,[],,,,
6,1599828599921692673,1599828599921692673,1670263836000.0,2022-12-05 23:40:36,+0530,,Oil erased earlier gains as broader equity markets collapsed and risk-averse investors pared crude positions ahead of the end of the year.   Greenwich Media Strategies CEO &amp; Founder Hagar Chemali discusses Russian oil sanctions and more  https://t.co/WRK7G0FmNM  https://t.co/S1WcQkaYjF,en,[],[],35002876,35002876,BloombergTV,Bloomberg TV,1,23,https://twitter.com/BloombergTV/status/1599828599921692673,['https://trib.al/VOwXh8V'],[],1,https://pbs.twimg.com/amplify_video_thumb/1599813936077066242/img/HcyBKOB3yJnh11Nn.jpg,False,4,0,2,,None,,,,,,,[],,,,
7,1599825177344458767,1599825177344458767,1670263020000.0,2022-12-05 23:27:00,+0530,,"Two power substations in a North Carolina county were damaged by gunfire in what is being investigated as a criminal act, leaving tens of thousands of people without electricity, authorities said Sunday (via @quicktake)  https://t.co/D7wp9nxKuJ  https://t.co/Ja0yTEzEkd",en,[],[],35002876,35002876,BloombergTV,Bloomberg TV,1,23,https://twitter.com/BloombergTV/status/1599825177344458767,['https://trib.al/GG0FTou'],[],1,https://pbs.twimg.com/amplify_video_thumb/1599806903055536136/img/mQc0vtA58Sxa77KH.jpg,False,1,0,2,,None,,,,,,,[],,,,
8,1599813129059303425,1599813129059303425,1670260147000.0,2022-12-05 22:39:07,+0530,,"US businesses are creating jobs at a rapid clip, but the pool of workers they can hire from keeps shrinking.   That’s the key takeaway from the November jobs report published last week. Stanford University Economics Professor John Taylor discusses  https://t.co/9z109ZkRCK  https://t.co/adw8uOl8tq",en,[],[],35002876,35002876,BloombergTV,Bloomberg TV,1,22,https://twitter.com/BloombergTV/status/1599813129059303425,['https://trib.al/kFEfOqn'],[],1,https://pbs.twimg.com/amplify_video_thumb/1598766509299466252/img/h1BCS72CsCRn6_JX.jpg,False,7,0,2,,None,,,,,,,[],,,,
9,1599811096336125954,1599811096336125954,1670259663000.0,2022-12-05 22:31:03,+0530,,"Laurene Powell Jobs talks about how the ""Steve Job Archive"" will carry on the late Apple co-founder's legacy and inspire people.  Watch the full episode of ""The David Rubenstein Show""  https://t.co/sumSI6vixg  https://t.co/xNTjX1zrTb",en,[],[],35002876,35002876,BloombergTV,Bloomberg TV,1,22,https://twitter.com/BloombergTV/status/1599811096336125954,['https://trib.al/As6EnPr'],[],1,https://pbs.twimg.com/amplify_video_thumb/1598007332293705729/img/bfzh4K71U2RD92EF.jpg,False,11,0,2,,None,,,,,,,[],,,,
