,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1599841490447966208,1599640590505082880,1670266909000.0,2022-12-06 00:31:49,+0530,,@RunnerXBT @PC_PR1NCIPAL @MrCustomSuit Ok seems I’ll be able to afford dinner tonight  https://t.co/6qQD066C1q,en,[],[],1347717723464331264,1347717723464331264,Cypher3301,Cypher ⟠,2,00,https://twitter.com/Cypher3301/status/1599841490447966208,[],['https://pbs.twimg.com/tweet_video_thumb/FjPHVm4XEAU9qH1.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/FjPHVm4XEAU9qH1.jpg,False,0,0,0,,None,,,,,,,"[{'screen_name': 'RunnerXBT', 'name': 'Runner', 'id': '5705402'}, {'screen_name': 'PC_PR1NCIPAL', 'name': 'PC Principal Inu', 'id': '1085046365523066880'}, {'screen_name': 'MrCustomSuit', 'name': 'King G', 'id': '1336859072566538241'}]",,,,
1,1599759876569190400,1599759490781356032,1670247451000.0,2022-12-05 19:07:31,+0530,,@GCRClassic Ok longed $ROBO,en,[],['robo'],1347717723464331264,1347717723464331264,Cypher3301,Cypher ⟠,1,19,https://twitter.com/Cypher3301/status/1599759876569190400,[],[],0,,False,1,1,0,,None,,,,,,,"[{'screen_name': 'GCRClassic', 'name': 'GCR', 'id': '1484112393361891328'}]",,,,
2,1599730766204002306,1599728999756095489,1670240510000.0,2022-12-05 17:11:50,+0530,,@hyuktrades Dump -&gt; close shorts   Centralized -&gt; decentralized   That’s how it works right ?  https://t.co/pa41D4WUto,en,[],[],1347717723464331264,1347717723464331264,Cypher3301,Cypher ⟠,1,17,https://twitter.com/Cypher3301/status/1599730766204002306,[],['https://pbs.twimg.com/media/FjNipo0X0AE7ksX.jpg'],1,https://pbs.twimg.com/media/FjNipo0X0AE7ksX.jpg,False,0,0,0,,None,,,,,,,"[{'screen_name': 'hyuktrades', 'name': 'hyuk', 'id': '2566944355'}]",,,,
3,1599730368718213120,1599728999756095489,1670240416000.0,2022-12-05 17:10:16,+0530,,@hyuktrades Isn’t that :  “when VCs take massive dumps on retails for the sake of decentralization and Defi” ?,en,[],[],1347717723464331264,1347717723464331264,Cypher3301,Cypher ⟠,1,17,https://twitter.com/Cypher3301/status/1599730368718213120,[],[],0,,False,0,1,0,,None,,,,,,,"[{'screen_name': 'hyuktrades', 'name': 'hyuk', 'id': '2566944355'}]",,,,
4,1599683432610639872,1599640590505082880,1670229225000.0,2022-12-05 14:03:45,+0530,,"@setrachea1 @RunnerXBT @PC_PR1NCIPAL @MrCustomSuit probably not for long  but mine are high conviction plays with extremely strong fundamentals, its a long term investment with very high ROI  (pls SnP do U turn)",en,[],[],1347717723464331264,1347717723464331264,Cypher3301,Cypher ⟠,1,14,https://twitter.com/Cypher3301/status/1599683432610639872,[],[],0,,False,1,0,0,,None,,,,,,,"[{'screen_name': 'setrachea1', 'name': 'OneTap.eth', 'id': '1251272741929418753'}, {'screen_name': 'RunnerXBT', 'name': 'Runner', 'id': '5705402'}, {'screen_name': 'PC_PR1NCIPAL', 'name': 'PC Principal Inu', 'id': '1085046365523066880'}, {'screen_name': 'MrCustomSuit', 'name': 'King G', 'id': '1336859072566538241'}]",,,,
5,1599679532499226624,1599640590505082880,1670228295000.0,2022-12-05 13:48:15,+0530,,"@RunnerXBT @PC_PR1NCIPAL @MrCustomSuit I was bored during the week end  Longed $shib cause shibarium is the future  Longed $bnb cause CZ has bigger pipi than anyone  Longed $chz cause…not sure  Shorted $ape $link $1inch and closed short of $ftm   500k position, I’m usd 500 in profit overall  https://t.co/aZB0bWxqL0",en,[],"['shib', 'bnb', 'chz', 'ape', 'link', 'ftm']",1347717723464331264,1347717723464331264,Cypher3301,Cypher ⟠,1,13,https://twitter.com/Cypher3301/status/1599679532499226624,[],['https://pbs.twimg.com/media/FjM0DXaWQAAR-vl.jpg'],1,https://pbs.twimg.com/media/FjM0DXaWQAAR-vl.jpg,False,7,4,1,,None,,,,,,,"[{'screen_name': 'RunnerXBT', 'name': 'Runner', 'id': '5705402'}, {'screen_name': 'PC_PR1NCIPAL', 'name': 'PC Principal Inu', 'id': '1085046365523066880'}, {'screen_name': 'MrCustomSuit', 'name': 'King G', 'id': '1336859072566538241'}]",,,,
6,1599676031908347904,1599675103536504834,1670227461000.0,2022-12-05 13:34:21,+0530,,@RunnerXBT The future of France has never looked so bright   Gonna update my CV with :  - $ape and $link staker manager,en,[],"['ape', 'link']",1347717723464331264,1347717723464331264,Cypher3301,Cypher ⟠,1,13,https://twitter.com/Cypher3301/status/1599676031908347904,[],[],0,,False,1,1,0,,None,,,,,,,"[{'screen_name': 'RunnerXBT', 'name': 'Runner', 'id': '5705402'}]",,,,
7,1599641498412204032,1599640590505082880,1670219227000.0,2022-12-05 11:17:07,+0530,,@PC_PR1NCIPAL @MrCustomSuit Long $shib Short $ape  Pair mongoloid trade,en,[],"['shib', 'ape']",1347717723464331264,1347717723464331264,Cypher3301,Cypher ⟠,1,11,https://twitter.com/Cypher3301/status/1599641498412204032,[],[],0,,False,5,2,1,,None,,,,,,,"[{'screen_name': 'PC_PR1NCIPAL', 'name': 'PC Principal Inu', 'id': '1085046365523066880'}, {'screen_name': 'MrCustomSuit', 'name': 'King G', 'id': '1336859072566538241'}]",,,,
8,1599030292424970241,1599024594375299074,1670073504000.0,2022-12-03 18:48:24,+0530,,"@PC_PR1NCIPAL During a bull market it makes no substantial difference   However during a bear market it does, specially if such “event” you sell it as a bullish narrative  But I have size short orders close to $5 so in conclusion : no it’s bullish and send it higher  https://t.co/fZmkrbuuTg",en,[],[],1347717723464331264,1347717723464331264,Cypher3301,Cypher ⟠,6,18,https://twitter.com/Cypher3301/status/1599030292424970241,[],['https://pbs.twimg.com/tweet_video_thumb/FjDljnpWYAA0sq2.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/FjDljnpWYAA0sq2.jpg,False,1,0,0,,None,,,,,,,"[{'screen_name': 'PC_PR1NCIPAL', 'name': 'PC Principal', 'id': '1085046365523066880'}]",,,,
9,1598904911244058624,1598900652809146369,1670043611000.0,2022-12-03 10:30:11,+0530,,@willoptions @PC_PR1NCIPAL @MrCustomSuit I only use 20x leverage on low liq micro shitcoins sub 15mln market cap  https://t.co/oC4drgKadP,en,[],[],1347717723464331264,1347717723464331264,Cypher3301,Cypher ⟠,6,10,https://twitter.com/Cypher3301/status/1598904911244058624,[],['https://pbs.twimg.com/media/FjBziixWYAEjpFd.jpg'],1,https://pbs.twimg.com/media/FjBziixWYAEjpFd.jpg,False,1,0,0,,None,,,,,,,"[{'screen_name': 'willoptions', 'name': 'willy', 'id': '991401872173875201'}, {'screen_name': 'PC_PR1NCIPAL', 'name': 'PC Principal Inu', 'id': '1085046365523066880'}, {'screen_name': 'MrCustomSuit', 'name': 'King G', 'id': '1336859072566538241'}]",,,,
10,1598903486904619009,1598900652809146369,1670043272000.0,2022-12-03 10:24:32,+0530,,"@PC_PR1NCIPAL @MrCustomSuit @willoptions the only way to trade this market is to become one with the market, reduce your IQ until you cant walk anymore, then, and only at that point.....trade",en,[],[],1347717723464331264,1347717723464331264,Cypher3301,Cypher ⟠,6,10,https://twitter.com/Cypher3301/status/1598903486904619009,[],[],0,,False,4,1,0,,None,,,,,,,"[{'screen_name': 'PC_PR1NCIPAL', 'name': 'PC Principal', 'id': '1085046365523066880'}, {'screen_name': 'MrCustomSuit', 'name': 'King G', 'id': '1336859072566538241'}, {'screen_name': 'willoptions', 'name': 'willy', 'id': '991401872173875201'}]",,,,
11,1598297540528676868,1597979997717024768,1669898803000.0,2022-12-01 18:16:43,+0530,,@Crypto_McKenna @HighStakesCap @ChadCloutman @benbybit Works for me,en,[],[],1347717723464331264,1347717723464331264,Cypher3301,Cypher ⟠,4,18,https://twitter.com/Cypher3301/status/1598297540528676868,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'Crypto_McKenna', 'name': 'McKenna', 'id': '948974801737134080'}, {'screen_name': 'HighStakesCap', 'name': 'High Stakes Capital', 'id': '1154010518790791168'}, {'screen_name': 'ChadCloutman', 'name': 'cc (binance arc)', 'id': '1198094573836259329'}, {'screen_name': 'benbybit', 'name': 'Ben Zhou', 'id': '1100932506193260544'}]",,,,
12,1598031897908871168,1598031740152561665,1669835469000.0,2022-12-01 00:41:09,+0530,,@CoinDesk @FTX_Official @_jocelynyang_ Well spotted,en,[],[],1347717723464331264,1347717723464331264,Cypher3301,Cypher ⟠,4,00,https://twitter.com/Cypher3301/status/1598031897908871168,[],[],0,,False,0,3,0,,None,,,,,,,"[{'screen_name': 'CoinDesk', 'name': 'CoinDesk', 'id': '1333467482'}, {'screen_name': 'FTX_Official', 'name': 'FTX', 'id': '1101264495337365504'}, {'screen_name': '_jocelynyang_', 'name': 'Jocelyn Yang', 'id': '880250772369354752'}]",,,,
13,1597143492995620865,1597137524094562309,1669623656000.0,2022-11-28 13:50:56,+0530,,@ColdBloodShill @tier10k  https://t.co/SllicLdiHA,qme,[],[],1347717723464331264,1347717723464331264,Cypher3301,Cypher ⟠,1,13,https://twitter.com/Cypher3301/status/1597143492995620865,[],['https://pbs.twimg.com/tweet_video_thumb/FioxiAPXgAAzEPD.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/FioxiAPXgAAzEPD.jpg,False,0,1,0,,None,,,,,,,"[{'screen_name': 'ColdBloodShill', 'name': 'Cold Blooded Shiller', 'id': '987343085251317760'}]",,,,
14,1597143307414487041,1597142769188753410,1669623612000.0,2022-11-28 13:50:12,+0530,,@HsakaTrades Waiting for   “SBF didn’t manage to save $weth “,en,[],['weth'],1347717723464331264,1347717723464331264,Cypher3301,Cypher ⟠,1,13,https://twitter.com/Cypher3301/status/1597143307414487041,[],[],0,,False,5,1,0,,None,,,,,,,"[{'screen_name': 'HsakaTrades', 'name': 'Hsaka', 'id': '944686196331966464'}]",,,,
15,1597127906874241025,1597127086451625986,1669619940000.0,2022-11-28 12:49:00,+0530,,@RunnerXBT i see you are buying the future of finance....,en,[],[],1347717723464331264,1347717723464331264,Cypher3301,Cypher ⟠,1,12,https://twitter.com/Cypher3301/status/1597127906874241025,[],[],0,,False,0,1,0,,None,,,,,,,"[{'screen_name': 'RunnerXBT', 'name': 'Runner', 'id': '5705402'}]",,,,
16,1597091004381016065,1597091004381016065,1669611142000.0,2022-11-28 10:22:22,+0530,,Gm  Laughing at $weth jokes while the market nukes a bit  https://t.co/ZCO9SgyP4K,en,[],['weth'],1347717723464331264,1347717723464331264,Cypher3301,Cypher ⟠,1,10,https://twitter.com/Cypher3301/status/1597091004381016065,[],['https://pbs.twimg.com/media/FioBzR7XkAAVBwh.jpg'],1,https://pbs.twimg.com/media/FioBzR7XkAAVBwh.jpg,False,3,0,0,,None,,,,,,,[],,,,
17,1597089820391931904,1597089341121044480,1669610860000.0,2022-11-28 10:17:40,+0530,,@HsakaTrades IQ 5 right now be like  https://t.co/mvwQi0YwKw,en,[],[],1347717723464331264,1347717723464331264,Cypher3301,Cypher ⟠,1,10,https://twitter.com/Cypher3301/status/1597089820391931904,[],['https://pbs.twimg.com/media/FioAuZ2X0AAmh3s.jpg'],1,https://pbs.twimg.com/media/FioAuZ2X0AAmh3s.jpg,False,7,1,0,,None,,,,,,,"[{'screen_name': 'HsakaTrades', 'name': 'Hsaka', 'id': '944686196331966464'}]",,,,
18,1597085872809480192,1597079708906426369,1669609919000.0,2022-11-28 10:01:59,+0530,,@saliencexbt Gm  https://t.co/EVdAsyI5zy,und,[],[],1347717723464331264,1347717723464331264,Cypher3301,Cypher ⟠,1,10,https://twitter.com/Cypher3301/status/1597085872809480192,[],['https://pbs.twimg.com/media/Fin9IjeXgAAim4-.jpg'],1,https://pbs.twimg.com/media/Fin9IjeXgAAim4-.jpg,False,1,0,0,,None,,,,,,,"[{'screen_name': 'saliencexbt', 'name': 'salience', 'id': '1595447869586083841'}]",,,,
19,1597073615966523392,1597072218403790852,1669606996000.0,2022-11-28 09:13:16,+0530,,@level941  https://t.co/BKJAEr1EE2,qme,[],[],1347717723464331264,1347717723464331264,Cypher3301,Cypher ⟠,1,09,https://twitter.com/Cypher3301/status/1597073615966523392,[],['https://pbs.twimg.com/tweet_video_thumb/Finx-haXoAUMoqV.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/Finx-haXoAUMoqV.jpg,False,0,0,0,,None,,,,,,,[],,,,
20,1596833644118609921,1596832296031907840,1669549783000.0,2022-11-27 17:19:43,+0530,,"@PC_PR1NCIPAL What I still don’t understand is how on earth they lost billions   You are the house, you control demand and supply…  MM, VC and exchange, the holy trinity of printing money…how ?",en,[],[],1347717723464331264,1347717723464331264,Cypher3301,Cypher ⟠,7,17,https://twitter.com/Cypher3301/status/1596833644118609921,[],[],0,,False,3,1,0,,None,,,,,,,"[{'screen_name': 'PC_PR1NCIPAL', 'name': 'PC Principal Inu', 'id': '1085046365523066880'}]",,,,
21,1596572027472990208,1596570889315053569,1669487408000.0,2022-11-27 00:00:08,+0530,,@MrCustomSuit @PC_PR1NCIPAL  https://t.co/rqfpZzGpVJ,qme,[],[],1347717723464331264,1347717723464331264,Cypher3301,Cypher ⟠,7,00,https://twitter.com/Cypher3301/status/1596572027472990208,[],['https://pbs.twimg.com/tweet_video_thumb/FigpygGXwAEHEo-.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/FigpygGXwAEHEo-.jpg,False,1,0,0,,None,,,,,,,"[{'screen_name': 'MrCustomSuit', 'name': 'King G', 'id': '1336859072566538241'}]",,,,
22,1596523153769263104,1596452412617031681,1669475756000.0,2022-11-26 20:45:56,+0530,,@PC_PR1NCIPAL Funding painfully negative unfortunately   “Couple more liquidations and then down only”,en,[],[],1347717723464331264,1347717723464331264,Cypher3301,Cypher ⟠,6,20,https://twitter.com/Cypher3301/status/1596523153769263104,[],[],0,,False,3,0,0,,None,,,,,,,"[{'screen_name': 'PC_PR1NCIPAL', 'name': 'PC Principal Inu', 'id': '1085046365523066880'}]",,,,
23,1596521387736317954,1596521387736317954,1669475335000.0,2022-11-26 20:38:55,+0530,,"$link &amp; $ren :  If you are trying to long here most likely you are late   You either front run the narrative before market becomes aware, or you wait until it expires  https://t.co/UZZ9o6Ab6g",en,[],"['link', 'ren']",1347717723464331264,1347717723464331264,Cypher3301,Cypher ⟠,6,20,https://twitter.com/Cypher3301/status/1596521387736317954,[],['https://pbs.twimg.com/tweet_video_thumb/Fif7unLWAAEldWS.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/Fif7unLWAAEldWS.jpg,False,6,1,0,,None,,,,,,,[],,,,
24,1596241723520618497,1596234834925715457,1669408658000.0,2022-11-26 02:07:38,+0530,,"@PC_PR1NCIPAL Yeah I can imagine, totally different thing and football might feel super slow in comparison and lacking that “adrenaline” feeling   Ice hockey is probably the best you can get in terms of excitement but I stopped watching it myself when I stopped playing",en,[],[],1347717723464331264,1347717723464331264,Cypher3301,Cypher ⟠,6,02,https://twitter.com/Cypher3301/status/1596241723520618497,[],[],0,,False,1,0,0,,None,,,,,,,"[{'screen_name': 'PC_PR1NCIPAL', 'name': 'PC Principal Inu', 'id': '1085046365523066880'}]",,,,
25,1596239838021574656,1596234834925715457,1669408208000.0,2022-11-26 02:00:08,+0530,,@PC_PR1NCIPAL What’s a fun sport to watch for you ?,en,[],[],1347717723464331264,1347717723464331264,Cypher3301,Cypher ⟠,6,02,https://twitter.com/Cypher3301/status/1596239838021574656,[],[],0,,False,1,1,0,,None,,,,,,,"[{'screen_name': 'PC_PR1NCIPAL', 'name': 'PC Principal Inu', 'id': '1085046365523066880'}]",,,,
26,1596236552052826112,1596227620966133760,1669407425000.0,2022-11-26 01:47:05,+0530,,@insilicobunker @allstarretard Isn’t Paolo behind both ?  A bit of an Alameda / FTX relationship but actually making money,en,[],[],1347717723464331264,1347717723464331264,Cypher3301,Cypher ⟠,6,01,https://twitter.com/Cypher3301/status/1596236552052826112,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'insilicobunker', 'name': 'Viscosity🧩Solutions aka Very Stupid Very Poor', 'id': '1537398833159852033'}, {'screen_name': 'allstarretard', 'name': 'Commander Ye', 'id': '1593075314405654529'}]",,,,
27,1596235142573744128,1596227620966133760,1669407089000.0,2022-11-26 01:41:29,+0530,,@allstarretard @insilicobunker $ust looks a bit weak,en,[],['ust'],1347717723464331264,1347717723464331264,Cypher3301,Cypher ⟠,6,01,https://twitter.com/Cypher3301/status/1596235142573744128,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'allstarretard', 'name': 'charmed im sure', 'id': '1593075314405654529'}, {'screen_name': 'insilicobunker', 'name': 'Viscosity🧩Solutions aka Very Stupid Very Poor', 'id': '1537398833159852033'}]",,,,
28,1596234525490937856,1596211317370949632,1669406942000.0,2022-11-26 01:39:02,+0530,,"@jtradestar - Twap on perp   - Spot buy  - Wait for plebs to buy on your scam pump  -exit   Or did I miss something ? Low liq shitcoins does the trick best, but given half MM are gone should be easy even with medium size",en,[],[],1347717723464331264,1347717723464331264,Cypher3301,Cypher ⟠,6,01,https://twitter.com/Cypher3301/status/1596234525490937856,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'jtradestar', 'name': 'ROTY🎱', 'id': '1359924512750501901'}]",,,,
29,1596233429896818688,1596190975516254208,1669406680000.0,2022-11-26 01:34:40,+0530,,@Crypto_McKenna Lmao  My man spent 3hrs on Wiki for this,en,[],[],1347717723464331264,1347717723464331264,Cypher3301,Cypher ⟠,6,01,https://twitter.com/Cypher3301/status/1596233429896818688,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'Crypto_McKenna', 'name': 'McKenna', 'id': '948974801737134080'}]",,,,
30,1596232882775023616,1596188005592891392,1669406550000.0,2022-11-26 01:32:30,+0530,,@DU09BTC @ThePrivatier  https://t.co/BQ8o1rxlFT,qme,[],[],1347717723464331264,1347717723464331264,Cypher3301,Cypher ⟠,6,01,https://twitter.com/Cypher3301/status/1596232882775023616,[],['https://pbs.twimg.com/media/Fib1V_xXwAARwvl.jpg'],1,https://pbs.twimg.com/media/Fib1V_xXwAARwvl.jpg,False,0,0,0,,None,,,,,,,"[{'screen_name': 'DU09BTC', 'name': 'Duo Nine | discord.gg/ycc', 'id': '771255865273823232'}]",,,,
