,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1599891417802821632,1423159116759920641,1670278813000.0,2022-12-06 03:50:13,+0530,,@CL207  https://t.co/nRK0Y62ndn,qme,[],[],1438172769930330117,1438172769930330117,DeFiyst,DeFiyst,2,03,https://twitter.com/DeFiyst/status/1599891417802821632,[],['https://pbs.twimg.com/media/FjP0v59WIAYPuIq.png'],1,https://pbs.twimg.com/media/FjP0v59WIAYPuIq.png,False,0,0,0,,None,,,,,,,[],,,,
1,1599830043848425473,1599814715919958017,1670264180000.0,2022-12-05 23:46:20,+0530,,@DegenSpartan @DeFi_Dad The proposal skipped snapshot and received 99% acceptance.  vincentj made a great point before the thread was locked and the insider subsequently voted in the proposal on behalf of the mutual with 0 known risk controls.  https://t.co/9m91ulpPbd,en,[],[],1438172769930330117,1438172769930330117,DeFiyst,DeFiyst,1,23,https://twitter.com/DeFiyst/status/1599830043848425473,[],"['https://pbs.twimg.com/media/FjO8lhDXwBIgquO.jpg', 'https://pbs.twimg.com/media/FjO8vgEXwBM07hc.png']",1,https://pbs.twimg.com/media/FjO8lhDXwBIgquO.jpg,False,9,0,1,,None,,,,,,,"[{'screen_name': 'DegenSpartan', 'name': '찌 G 跻 じ 𝙎𝙚𝙣𝙥𝙖𝙞 of the 𝙃𝙚𝙣𝙩𝙖𝙞', 'id': '1978953986'}, {'screen_name': 'DeFi_Dad', 'name': 'DeFi Dad ⟠ defidad.eth 🦇🔊🐼', 'id': '991745162274467840'}]",,,,
2,1599829632345600000,1599814715919958017,1670264082000.0,2022-12-05 23:44:42,+0530,,@DegenSpartan Reading through the old governance proposal is interesting. So many mid takes without any real scenario analysis.  @DeFi_Dad made a very valid point about the Maple bank run and liquidity issues that had occurred previously. This point was not addressed..   https://t.co/cKXFJR3RwN,en,[],[],1438172769930330117,1438172769930330117,DeFiyst,DeFiyst,1,23,https://twitter.com/DeFiyst/status/1599829632345600000,['https://forum.nexusmutual.io/t/proposal-allocate-capital-to-maple-finance/835'],[],0,,False,12,1,0,,None,,,,,,,"[{'screen_name': 'DegenSpartan', 'name': '찌 G 跻 じ 𝙎𝙚𝙣𝙥𝙖𝙞 of the 𝙃𝙚𝙣𝙩𝙖𝙞', 'id': '1978953986'}]",,,,
3,1599819071117266945,1599794351257059329,1670261564000.0,2022-12-05 23:02:44,+0530,,@IIIAmmanasIII @OrthoTrading @maplefinance @M11Credit Re-read the above tweet. It's incredibly easy to fork any new iteration without the tarnished branding.,en,[],[],1438172769930330117,1438172769930330117,DeFiyst,DeFiyst,1,23,https://twitter.com/DeFiyst/status/1599819071117266945,[],[],0,,False,1,2,0,,None,,,,,,,"[{'screen_name': 'IIIAmmanasIII', 'name': 'Icarium.syrup 🌙', 'id': '1080144948681293824'}, {'screen_name': 'OrthoTrading', 'name': 'Orthogonal Trading', 'id': '1256900128335556609'}, {'screen_name': 'maplefinance', 'name': 'Maple', 'id': '1164762427604389890'}, {'screen_name': 'M11Credit', 'name': 'M11 Credit', 'id': '1552274250475741189'}]",,,,
4,1599818137993900032,1599794351257059329,1670261341000.0,2022-12-05 22:59:01,+0530,,"@IIIAmmanasIII @OrthoTrading @maplefinance @M11Credit Maybe 7 months ago pre LUNA, Babel, and 3AC.  I'd wager their reputation is decimated.   Far too easy to appease fresh institutional money that comes into the space on the next bull mkt with a shiny new uncollateralized protocol with better contracts, and VC upside.  https://t.co/LTzjkhvD00",en,[],[],1438172769930330117,1438172769930330117,DeFiyst,DeFiyst,1,22,https://twitter.com/DeFiyst/status/1599818137993900032,[],['https://pbs.twimg.com/media/FjOxZ1GXwAkTSuL.png'],1,https://pbs.twimg.com/media/FjOxZ1GXwAkTSuL.png,False,1,3,0,,None,,,,,,,"[{'screen_name': 'IIIAmmanasIII', 'name': 'Icarium.syrup 🌙', 'id': '1080144948681293824'}, {'screen_name': 'OrthoTrading', 'name': 'Orthogonal Trading', 'id': '1256900128335556609'}, {'screen_name': 'maplefinance', 'name': 'Maple', 'id': '1164762427604389890'}, {'screen_name': 'M11Credit', 'name': 'M11 Credit', 'id': '1552274250475741189'}]",,,,
5,1599815184096239616,1562092310162202627,1670260637000.0,2022-12-05 22:47:17,+0530,,@NexusMutual @enzymefinance @Maven11Capital @maplefinance @chainlink  https://t.co/6gmdzLgDER,qme,[],[],1438172769930330117,1438172769930330117,DeFiyst,DeFiyst,1,22,https://twitter.com/DeFiyst/status/1599815184096239616,[],['https://pbs.twimg.com/tweet_video_thumb/FjOvbDzXoAA98mC.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/FjOvbDzXoAA98mC.jpg,False,8,0,0,,None,,,,,,,"[{'screen_name': 'NexusMutual', 'name': 'Nexus Mutual 🐢', 'id': '889753804614369281'}, {'screen_name': 'enzymefinance', 'name': 'Enzyme', 'id': '763039521936203776'}, {'screen_name': 'Maven11Capital', 'name': 'Maven 11', 'id': '2708070367'}, {'screen_name': 'maplefinance', 'name': 'Maple', 'id': '1164762427604389890'}]",,,,
6,1599814725608837120,1599814715919958017,1670260528000.0,2022-12-05 22:45:28,+0530,,"Couldn't agree more with @DegenSpartan  Nexus Mutual's ETH stack has been slowly dwindling for a long time, and this is before pricing in the huge hit they're about to take from Maple losses + FTX insurance claims.  https://t.co/YQAtFGwAT3  https://t.co/2xgedkhrXT",en,[],[],1438172769930330117,1438172769930330117,DeFiyst,DeFiyst,1,22,https://twitter.com/DeFiyst/status/1599814725608837120,['https://twitter.com/DegenSpartan/status/1599806269074046976?s=20&t=xUM-WrCVC9SJzi7OTaNZRA'],['https://pbs.twimg.com/media/FjOun8UXwA4AYMa.png'],1,https://pbs.twimg.com/media/FjOun8UXwA4AYMa.png,False,19,2,1,https://twitter.com/DegenSpartan/status/1599806269074046976?s=20&t=xUM-WrCVC9SJzi7OTaNZRA,None,,,,,,,[],,,,
7,1599814719518670849,1599814715919958017,1670260526000.0,2022-12-05 22:45:26,+0530,,"Given Auros is 37.8% of the WETH pool, and Orthogonal is 17.6%, the total pool losses are 12.3k Ether (55% of the total pool value, assuming written down to 0).  That's an implied loss of $10m for @NexusMutual   That's AFTER the $6.8m from FTX coverage...   https://t.co/WK3lVdHkIP",en,[],[],1438172769930330117,1438172769930330117,DeFiyst,DeFiyst,1,22,https://twitter.com/DeFiyst/status/1599814719518670849,['https://twitter.com/DeFiyst/status/1599794366499139585?s=20&t=VL9u-aZnljsrfib-MN-epw'],[],0,,False,26,1,2,https://twitter.com/DeFiyst/status/1599794366499139585?s=20&t=VL9u-aZnljsrfib-MN-epw,None,,,,,,,[],,,,
8,1599810176009310209,1599809015868841985,1670259443000.0,2022-12-05 22:27:23,+0530,,@M11Credit Good to know. Surprised that hasn't been fixed after months of operations.,en,[],[],1438172769930330117,1438172769930330117,DeFiyst,DeFiyst,1,22,https://twitter.com/DeFiyst/status/1599810176009310209,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'M11Credit', 'name': 'M11 Credit', 'id': '1552274250475741189'}]",,,,
9,1599797809032531968,1599796243470786561,1670256495000.0,2022-12-05 21:38:15,+0530,,"@0xfoobar On a serious note, they wrote down Babel's liabilities for all current lenders at the time via a contract snapshot, so everyone took an X% hit.  I expect similar to happen here, so it shouldn't impact future depositors. Although I definitely would not deposit into this mess.",en,[],[],1438172769930330117,1438172769930330117,DeFiyst,DeFiyst,1,21,https://twitter.com/DeFiyst/status/1599797809032531968,[],[],0,,False,2,0,0,,None,,,,,,,"[{'screen_name': '0xfoobar', 'name': 'foobar', 'id': '1356386110847377408'}]",,,,
