,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1599863698725535744,1599862862637256704,1670272204000.0,2022-12-06 02:00:04,+0530,,@sherlock_hodles Hahah that first one absolutely would have killed that man,en,[],[],1473993924083654658,1473993924083654658,GwartyGwart,Gwart,2,02,https://twitter.com/GwartyGwart/status/1599863698725535744,[],[],0,,False,16,1,0,,None,,,,,,,"[{'screen_name': 'sherlock_hodles', 'name': 'rwlk', 'id': '953465278561734656'}]",,,,
1,1599862494683549696,1599806261511729157,1670271917000.0,2022-12-06 01:55:17,+0530,,"@KristofLommers Ya I think lockups of tokens sense as a general statement but this can be gamed so easily (evidenced by FTX and 3AC) that it really falls into question the efficacy of on-chain transparency as a metric for, well, really anything.",en,[],[],1473993924083654658,1473993924083654658,GwartyGwart,Gwart,2,01,https://twitter.com/GwartyGwart/status/1599862494683549696,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'KristofLommers', 'name': 'KristofDeFi', 'id': '1395586808034078721'}]",,,,
2,1599846987976695809,1599806261511729157,1670268220000.0,2022-12-06 00:53:40,+0530,,"@0x94305 Look at this thread. I *almost* feel like the OP’s implication is “hey Salami, you bought Sol for .20 and I know it’s locked but you should be hedging, averaging out on the way up with my money” which is kinna just hilarious and a good allegory for our industry",en,[],[],1473993924083654658,1473993924083654658,GwartyGwart,Gwart,2,00,https://twitter.com/GwartyGwart/status/1599846987976695809,[],[],0,,False,1,1,0,https://twitter.com/drsoldmangachs/status/1593535042873360384,None,,,,,,,"[{'screen_name': '0x94305', 'name': 'Al N', 'id': '1551986476442800128'}]",,,,
3,1599846299959844864,1599806261511729157,1670268056000.0,2022-12-06 00:50:56,+0530,,"@0x94305 Trust me I don’t either but I’ve heard a few firms talk about OTC deals and realized “oh ya they can do stuff off chain because they have actual ability to use legally enforceable contracts” and ya, DeFi doesn’t ~solve this~ lol",en,[],[],1473993924083654658,1473993924083654658,GwartyGwart,Gwart,2,00,https://twitter.com/GwartyGwart/status/1599846299959844864,[],[],0,,False,1,1,0,,None,,,,,,,"[{'screen_name': '0x94305', 'name': 'Al N', 'id': '1551986476442800128'}]",,,,
4,1599845729601626112,1599806261511729157,1670267920000.0,2022-12-06 00:48:40,+0530,,@0x94305 Oh ok ok of course yes in terms of “price discovery” for all market participants I’d agree. I’m just thinking a lot recently about how many times we’ve seen pledged collateral off chain (FTX/ 3AC) and smart contracts do not make market as a whole privy to this info.,en,[],[],1473993924083654658,1473993924083654658,GwartyGwart,Gwart,2,00,https://twitter.com/GwartyGwart/status/1599845729601626112,[],[],0,,False,1,2,0,,None,,,,,,,"[{'screen_name': '0x94305', 'name': 'Al N', 'id': '1551986476442800128'}]",,,,
5,1599841118023057408,1599806261511729157,1670266820000.0,2022-12-06 00:30:20,+0530,,"@0x94305 Wait, I’m confused. elaborate on “this is not exactly the same tho.”",en,[],[],1473993924083654658,1473993924083654658,GwartyGwart,Gwart,2,00,https://twitter.com/GwartyGwart/status/1599841118023057408,[],[],0,,False,1,1,0,,None,,,,,,,"[{'screen_name': '0x94305', 'name': 'Al N', 'id': '1551986476442800128'}]",,,,
6,1599821235839389697,1599806261511729157,1670262080000.0,2022-12-05 23:11:20,+0530,,@solanobahn Ya what made me think of this is hearing about Multicoin’s investor call recently post FTX. Unclear how “hedged” they were but they bought solana at ~$.20 so maybe ok? We don’t know their OTC history tho of course.,en,[],[],1473993924083654658,1473993924083654658,GwartyGwart,Gwart,1,23,https://twitter.com/GwartyGwart/status/1599821235839389697,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'solanobahn', 'name': 'ashpool', 'id': '1357498993945714688'}]",,,,
7,1599817009340239872,1599806261511729157,1670261072000.0,2022-12-05 22:54:32,+0530,,"@solanobahn Ya of course, I think this is a bit separate tho. A lot of firms are selling OTC to other firms completely off-chain and often through legally enforceable contracts. Sort of denigrates a lot of the ideas we have regarding transparency and fairness.",en,[],[],1473993924083654658,1473993924083654658,GwartyGwart,Gwart,1,22,https://twitter.com/GwartyGwart/status/1599817009340239872,[],[],0,,False,1,1,0,,None,,,,,,,"[{'screen_name': 'solanobahn', 'name': 'ashpool', 'id': '1357498993945714688'}]",,,,
8,1599815949661929472,1599806261511729157,1670260820000.0,2022-12-05 22:50:20,+0530,,@solanobahn Well I know there were rumors about STG / the farm and dumping and obviously listing of all the perps. I was just speaking pretty broadly about this dynamic though. I think this is a fairly common occurrence.,en,[],[],1473993924083654658,1473993924083654658,GwartyGwart,Gwart,1,22,https://twitter.com/GwartyGwart/status/1599815949661929472,[],[],0,,False,2,1,0,,None,,,,,,,"[{'screen_name': 'solanobahn', 'name': 'ashpool', 'id': '1357498993945714688'}]",,,,
9,1599807437380280325,1599785644728860673,1670258790000.0,2022-12-05 22:16:30,+0530,,"@NavyInnovator @0xGeeGee I think fundamentally Maple-like products will exists but it puts the burden of credit-worthiness on people who aren’t really equipped to assess this type of thing. Even with these permissioned pools, it’s hard to quantify degeneracy even if you’re a sophisticated lender.",en,[],[],1473993924083654658,1473993924083654658,GwartyGwart,Gwart,1,22,https://twitter.com/GwartyGwart/status/1599807437380280325,[],[],0,,False,3,1,0,,None,,,,,,,"[{'screen_name': 'NavyInnovator', 'name': 'Jeff the v3 pooler', 'id': '972745448'}, {'screen_name': '0xGeeGee', 'name': '0xGeeGee', 'id': '1500971484612902917'}]",,,,
10,1599806930632855552,1599806261511729157,1670258669000.0,2022-12-05 22:14:29,+0530,,@ricburton Ya exactly. Granted FTX was a big part of that lol but there are certainly a plethora of avenues to hedge both on and off chain.,en,[],[],1473993924083654658,1473993924083654658,GwartyGwart,Gwart,1,22,https://twitter.com/GwartyGwart/status/1599806930632855552,[],[],0,,False,1,0,0,,None,,,,,,,"[{'screen_name': 'ricburton', 'name': 'Ric Burton', 'id': '14285961'}]",,,,
11,1599806593759350784,1599806261511729157,1670258589000.0,2022-12-05 22:13:09,+0530,,This is also why I approach “on-chain transparency” with immense cynicism when it comes to ascribing ownership to early investors.,en,[],[],1473993924083654658,1473993924083654658,GwartyGwart,Gwart,1,22,https://twitter.com/GwartyGwart/status/1599806593759350784,[],[],0,,False,7,1,0,,None,,,,,,,[],,,,
12,1599806261511729157,1599806261511729157,1670258510000.0,2022-12-05 22:11:50,+0530,,"“Lockups” for early investors is such a meme.   Especially for regulated investment firms/ VCs, you know they can just write legally binding contracts between two parties with like a lawyer and a notary to de-risk whenever they want right?",en,[],[],1473993924083654658,1473993924083654658,GwartyGwart,Gwart,1,22,https://twitter.com/GwartyGwart/status/1599806261511729157,[],[],0,,False,14,5,0,,None,,,,,,,[],,,,
13,1599787501719523329,1599785644728860673,1670254037000.0,2022-12-05 20:57:17,+0530,,@0xGeeGee No I think for sure it will happen (I mean assuming DeFi ~succeeds~) I think I’m just noting that this is really really minor in terms of *an improvement* or *disruption* of tradfi.,en,[],[],1473993924083654658,1473993924083654658,GwartyGwart,Gwart,1,20,https://twitter.com/GwartyGwart/status/1599787501719523329,[],[],0,,False,1,0,1,,None,,,,,,,"[{'screen_name': '0xGeeGee', 'name': '0xGeeGee', 'id': '1500971484612902917'}]",,,,
14,1599786270716178433,1599786041304821760,1670253744000.0,2022-12-05 20:52:24,+0530,,@ChrisBlec Chemtrails. Mask up.,en,[],[],1473993924083654658,1473993924083654658,GwartyGwart,Gwart,1,20,https://twitter.com/GwartyGwart/status/1599786270716178433,[],[],0,,False,1,0,0,,None,,,,,,,"[{'screen_name': 'ChrisBlec', 'name': 'Chris Blec', 'id': '247973359'}]",,,,
15,1599785950196142084,1599785644728860673,1670253667000.0,2022-12-05 20:51:07,+0530,,@0xGeeGee DeFi’s killer use case is not undercollateralized loans to degen prop shops lol,en,[],[],1473993924083654658,1473993924083654658,GwartyGwart,Gwart,1,20,https://twitter.com/GwartyGwart/status/1599785950196142084,[],[],0,,False,7,2,1,,None,,,,,,,"[{'screen_name': '0xGeeGee', 'name': '0xGeeGee', 'id': '1500971484612902917'}]",,,,
16,1599779312806203392,1599405464793452544,1670252085000.0,2022-12-05 20:24:45,+0530,,@ladidadadum @yanisvaroufakis Thanks I’ll watch.,en,[],[],1473993924083654658,1473993924083654658,GwartyGwart,Gwart,1,20,https://twitter.com/GwartyGwart/status/1599779312806203392,[],[],0,,False,1,1,0,,None,,,,,,,"[{'screen_name': 'ladidadadum', 'name': 'Ladidadadum', 'id': '1425223287966154754'}, {'screen_name': 'yanisvaroufakis', 'name': 'Yanis Varoufakis', 'id': '124690469'}]",,,,
17,1599778346966994944,1599754296748576768,1670251855000.0,2022-12-05 20:20:55,+0530,,@ladidadadum @HsakaTrades Yes exactly. Altho I understand Jordi’s initial sentiment and think he’s a good actor. But you know how all those game theorists think about things 😜,en,[],[],1473993924083654658,1473993924083654658,GwartyGwart,Gwart,1,20,https://twitter.com/GwartyGwart/status/1599778346966994944,[],[],0,,False,2,0,0,,None,,,,,,,"[{'screen_name': 'ladidadadum', 'name': 'Ladidadadum', 'id': '1425223287966154754'}, {'screen_name': 'HsakaTrades', 'name': 'Hsaka', 'id': '944686196331966464'}]",,,,
18,1599776290092949504,1599754296748576768,1670251364000.0,2022-12-05 20:12:44,+0530,,"@ladidadadum @HsakaTrades See I think by *framing it* as a function of EV, we don’t get unbiased analyses (still subjective, for sure) that are untethered to crypto.   Also, not saying my idea is really feasible or desired fwiw.",en,[],[],1473993924083654658,1473993924083654658,GwartyGwart,Gwart,1,20,https://twitter.com/GwartyGwart/status/1599776290092949504,[],[],0,,False,2,1,0,https://twitter.com/gwartygwart/status/1599405464793452544,None,,,,,,,"[{'screen_name': 'ladidadadum', 'name': 'Ladidadadum', 'id': '1425223287966154754'}, {'screen_name': 'HsakaTrades', 'name': 'Hsaka', 'id': '944686196331966464'}]",,,,
