,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1599862675009605632,1599341728917377024,1670271960000.0,2022-12-06 01:56:00,+0530,,@zzabbits @basedkarbon @Mister_Ch0c This is his telegram handle dude. Not his twitter handle,en,[],[],958032765710143489,958032765710143489,IDrawCharts,David Holt 🌴,2,01,https://twitter.com/IDrawCharts/status/1599862675009605632,[],[],0,,False,0,1,0,,None,,,,,,,"[{'screen_name': 'zzabbits', 'name': 'zzabbits', 'id': '1606772113'}, {'screen_name': 'basedkarbon', 'name': 'davis 🐺🦊', 'id': '1249193324461916161'}, {'screen_name': 'Mister_Ch0c', 'name': 'MisterCh0c', 'id': '1205909348557426688'}]",,,,
1,1599854451489050627,1599341728917377024,1670269999000.0,2022-12-06 01:23:19,+0530,,"@basedkarbon @Mister_Ch0c yeah, @ therealsocal",en,[],[],958032765710143489,958032765710143489,IDrawCharts,David Holt 🌴,2,01,https://twitter.com/IDrawCharts/status/1599854451489050627,[],[],0,,False,3,1,0,,None,,,,,,,"[{'screen_name': 'basedkarbon', 'name': 'davis 🐺🦊', 'id': '1249193324461916161'}, {'screen_name': 'Mister_Ch0c', 'name': 'MisterCh0c', 'id': '1205909348557426688'}]",,,,
2,1599854327740653568,1599341728917377024,1670269970000.0,2022-12-06 01:22:50,+0530,,@Mister_Ch0c @basedkarbon  https://t.co/kO1c9Vb3D0,qme,[],[],958032765710143489,958032765710143489,IDrawCharts,David Holt 🌴,2,01,https://twitter.com/IDrawCharts/status/1599854327740653568,[],['https://pbs.twimg.com/media/FjPTCIEXwAQzPFk.jpg'],1,https://pbs.twimg.com/media/FjPTCIEXwAQzPFk.jpg,False,6,0,0,,None,,,,,,,"[{'screen_name': 'Mister_Ch0c', 'name': 'MisterCh0c', 'id': '1205909348557426688'}]",,,,
3,1599222308400353280,1599219624402640896,1670119285000.0,2022-12-04 07:31:25,+0530,,@scrypto_ no ty,pl,[],[],958032765710143489,958032765710143489,IDrawCharts,David Holt 🌴,7,07,https://twitter.com/IDrawCharts/status/1599222308400353280,[],[],0,,False,3,0,0,,None,,,,,,,"[{'screen_name': 'scrypto_', 'name': 'scrypto', 'id': '1013087389668003840'}]",,,,
4,1599221635948552193,1599206973610033152,1670119124000.0,2022-12-04 07:28:44,+0530,,@satswassie @Wizispoor Busy,en,[],[],958032765710143489,958032765710143489,IDrawCharts,David Holt 🌴,7,07,https://twitter.com/IDrawCharts/status/1599221635948552193,[],[],0,,False,3,1,0,,None,,,,,,,"[{'screen_name': 'satswassie', 'name': 'satswassie (???)🌴', 'id': '1099226279667060736'}, {'screen_name': 'Wizispoor', 'name': 'wiz 🌴', 'id': '1385269770723991554'}]",,,,
5,1599221473964851201,1599219855806582784,1670119086000.0,2022-12-04 07:28:06,+0530,,@TheCryptoDog can always call them bozo   Trust me they'll love it,en,[],[],958032765710143489,958032765710143489,IDrawCharts,David Holt 🌴,7,07,https://twitter.com/IDrawCharts/status/1599221473964851201,[],[],0,,False,15,1,1,,None,,,,,,,"[{'screen_name': 'TheCryptoDog', 'name': 'The Crypto Dog🫐', 'id': '887748030304329728'}]",,,,
6,1599221092492578816,1599221092492578816,1670118995000.0,2022-12-04 07:26:35,+0530,, https://t.co/olEOXTDlSc,zxx,[],[],958032765710143489,958032765710143489,IDrawCharts,David Holt 🌴,7,07,https://twitter.com/IDrawCharts/status/1599221092492578816,['https://open.spotify.com/track/383B8ksM58jbV3HbiRJo0K?si=G83UP_g3Rc6OqkXUq2tfuQ&utm_source=copy-link'],[],0,,False,6,0,0,,None,,,,,,,[],,,,
7,1599182046240219136,1599164750323060736,1670109685000.0,2022-12-04 04:51:25,+0530,,@Ziggiyy 😂,und,[],[],958032765710143489,958032765710143489,IDrawCharts,David Holt 🌴,7,04,https://twitter.com/IDrawCharts/status/1599182046240219136,[],[],0,,False,1,0,0,,None,,,,,,,"[{'screen_name': 'Ziggiyy', 'name': 'Ziggiy', 'id': '3192838726'}]",,,,
8,1599181740110938113,1599164750323060736,1670109612000.0,2022-12-04 04:50:12,+0530,,@Ziggiyy I can think of about a million things I'd rather do tbh,en,[],[],958032765710143489,958032765710143489,IDrawCharts,David Holt 🌴,7,04,https://twitter.com/IDrawCharts/status/1599181740110938113,[],[],0,,False,0,1,0,,None,,,,,,,"[{'screen_name': 'Ziggiyy', 'name': 'Ziggiy', 'id': '3192838726'}]",,,,
9,1599175482540380161,1599126347564998657,1670108120000.0,2022-12-04 04:25:20,+0530,,@bantg  https://t.co/SChHEMMD41,qme,[],[],958032765710143489,958032765710143489,IDrawCharts,David Holt 🌴,7,04,https://twitter.com/IDrawCharts/status/1599175482540380161,[],['https://pbs.twimg.com/media/FjFpoJSWIAAYbNp.jpg'],1,https://pbs.twimg.com/media/FjFpoJSWIAAYbNp.jpg,False,4,0,0,,None,,,,,,,[],,,,
