,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1599859917984174080,1599859917984174080,1670271303000.0,2022-12-06 01:45:03,+0530,,WAHGM is the new WAGMI  We're all having a gm.  https://t.co/kopLfPeEIi,en,[],[],1443200444017283072,1443200444017283072,RugRadio,Rug Radioᵍᵐ 🎙,2,01,https://twitter.com/RugRadio/status/1599859917984174080,[],['https://pbs.twimg.com/media/FjPYHdUVQAAlYBV.jpg'],1,https://pbs.twimg.com/media/FjPYHdUVQAAlYBV.jpg,False,24,5,1,,None,,,,,,,[],,,,
1,1599826025285681152,1599826025285681152,1670263222000.0,2022-12-05 23:30:22,+0530,,POP QUIZ: What do we do when we see a link to mint a popular project pop up on our timeline that says we have to mint asap or we'll miss out?  RIGHT ANSWERS ONLY.,en,[],[],1443200444017283072,1443200444017283072,RugRadio,Rug Radioᵍᵐ 🎙,1,23,https://twitter.com/RugRadio/status/1599826025285681152,[],[],0,,False,28,32,1,,None,,,,,,,[],,,,
2,1599818840128442368,1599818816619307008,1670261509000.0,2022-12-05 23:01:49,+0530,,11/ Rug Radio holders have access to a  Premint link for 3 guaranteed minting spots on the @outland_art drop. get info here:  https://t.co/nIm1IfDnUp,en,[],[],1443200444017283072,1443200444017283072,RugRadio,Rug Radioᵍᵐ 🎙,1,23,https://twitter.com/RugRadio/status/1599818840128442368,['https://twitter.com/outland_art/status/1599802254357565440?s=20&t=qWnc3nCGllzZyojBXZs39w'],[],0,,False,5,0,1,https://twitter.com/outland_art/status/1599802254357565440?s=20&t=qWnc3nCGllzZyojBXZs39w,None,,,,,,,[],,,,
3,1599818837184036864,1599818816619307008,1670261508000.0,2022-12-05 23:01:48,+0530,,10/ @VillarealStudio's first light sculpture was at burning man! He has a giant piece on the Bay bridge and a piece in London that has a 10 year lifespan! We are living in a time where art can connect to the masses in a way it's never been able to before.   https://t.co/xZYntmTEIm,en,[],[],1443200444017283072,1443200444017283072,RugRadio,Rug Radioᵍᵐ 🎙,1,23,https://twitter.com/RugRadio/status/1599818837184036864,['https://twitter.com/outland_art/status/1573059539330813952?s=20&t=qWnc3nCGllzZyojBXZs39w'],[],0,,False,6,1,1,https://twitter.com/outland_art/status/1573059539330813952?s=20&t=qWnc3nCGllzZyojBXZs39w,None,,,,,,,[],,,,
4,1599818834428297216,1599818816619307008,1670261507000.0,2022-12-05 23:01:47,+0530,,"8/ @outland_art works with traditional artist to crossover into NFT projects. Dropping a collection with @VillarealStudio this week, #CosmicBloom following his @artblocks_io series Cosmic Reef as a part of the larger Cosmology body of work.   https://t.co/ABnGbB9iXq",en,['cosmicbloom'],[],1443200444017283072,1443200444017283072,RugRadio,Rug Radioᵍᵐ 🎙,1,23,https://twitter.com/RugRadio/status/1599818834428297216,['https://twitter.com/VillarealStudio/status/1598536821947871232?s=20&t=qWnc3nCGllzZyojBXZs39w'],[],0,,False,5,1,1,https://twitter.com/VillarealStudio/status/1598536821947871232?s=20&t=qWnc3nCGllzZyojBXZs39w,None,,,,,,,[],,,,
5,1599818831920128000,1599818816619307008,1670261507000.0,2022-12-05 23:01:47,+0530,,"7/ ChatGPT has been flooding the timeline, crosses 1m users. AI meets wikipedia, combined with google and is allowing for some interesting takes and use cases. The growth of AI is ever present, earlier this year the talk was all DALL-E and this is made by the same team.",en,[],[],1443200444017283072,1443200444017283072,RugRadio,Rug Radioᵍᵐ 🎙,1,23,https://twitter.com/RugRadio/status/1599818831920128000,[],[],0,,False,4,1,0,,None,,,,,,,[],,,,
6,1599818829365796864,1599818816619307008,1670261506000.0,2022-12-05 23:01:46,+0530,,6/ @CoinbaseWallet wallet wrote a huge thread about apple blocking their app due to unmet demands. Apple wildly asking for 30% of all gas payments. The stage speculates this is a battle representing the ensuing war between the giants of web2 and web3.,en,[],[],1443200444017283072,1443200444017283072,RugRadio,Rug Radioᵍᵐ 🎙,1,23,https://twitter.com/RugRadio/status/1599818829365796864,[],[],0,,False,9,6,0,,None,,,,,,,[],,,,
7,1599818826824093698,1599818816619307008,1670261506000.0,2022-12-05 23:01:46,+0530,,"5/ @blur_io 2nd round of crates for the upcoming airdrop happening today. - 1st drop of the Rarepass happened, floor already sitting at 4eth. - @rektguyNFT had a big week, sitting at 0.7 ETH  floor. - NFTs definitely feeling strong, Mando sees $ape/blur stimulating trades.",en,[],['ape'],1443200444017283072,1443200444017283072,RugRadio,Rug Radioᵍᵐ 🎙,1,23,https://twitter.com/RugRadio/status/1599818826824093698,[],[],0,,False,6,1,0,,None,,,,,,,[],,,,
8,1599818824349409280,1599818816619307008,1670261505000.0,2022-12-05 23:01:45,+0530,,4/ NFTs seeing a decent entry into the week. Lot's of focus around $ape staking mechanism. $ape pool yields currently forecasting you could double your money if the price of $ape stays the same. Increased supply is a gradual occurrence. - Clones released their animus eggs Friday,en,[],"['ape', 'ape', 'ape']",1443200444017283072,1443200444017283072,RugRadio,Rug Radioᵍᵐ 🎙,1,23,https://twitter.com/RugRadio/status/1599818824349409280,[],[],0,,False,3,1,0,,None,,,,,,,[],,,,
9,1599818821757345792,1599818816619307008,1670261504000.0,2022-12-05 23:01:44,+0530,,"3/ Market comps from last year could finally lead to pausing or even lowering Interest rate hikes. Crypto seeing some strength and stability, $ape back up above $4 with today kicking off the new staking mechanism. If macros perform well we will likely see them pull crypto along.",en,[],['ape'],1443200444017283072,1443200444017283072,RugRadio,Rug Radioᵍᵐ 🎙,1,23,https://twitter.com/RugRadio/status/1599818821757345792,[],[],0,,False,3,1,0,,None,,,,,,,[],,,,
10,1599818819228139521,1599818816619307008,1670261504000.0,2022-12-05 23:01:44,+0530,,"2/ Traditional markets are a bit softer this morning. Non fund payrolls came in stronger than expected on Friday, not great for interest rates. Not quite as relevant as the upcoming CPI number next week 13th and the FOMC on the 14th. Lower CPI# will put pressure on the Fed.",en,[],[],1443200444017283072,1443200444017283072,RugRadio,Rug Radioᵍᵐ 🎙,1,23,https://twitter.com/RugRadio/status/1599818819228139521,[],[],0,,False,4,1,0,,None,,,,,,,[],,,,
11,1599818816619307008,1599818816619307008,1670261503000.0,2022-12-05 23:01:43,+0530,,"We're Back! The GM WEB3 ☀️ Recap for the late risers, the visual learners and the rest of the fam!  ft. @outland_art &amp; @VillarealStudio  ✍️:@gldncrypt0 🧵👇",en,[],[],1443200444017283072,1443200444017283072,RugRadio,Rug Radioᵍᵐ 🎙,1,23,https://twitter.com/RugRadio/status/1599818816619307008,[],[],0,,False,28,2,6,,None,,,,,,,[],,,,
12,1599799494182203392,1599799494182203392,1670256896000.0,2022-12-05 21:44:56,+0530,,📣 MONDAY SCHEDULE 📣  @nonfungibletc @austin_hurwitz @farokh @osf_nft @greatmando_nft @TheNFT101 @sergitosergito @LindseyByrnes @_jeffnicholas_ @lorigraceaz @PurpleFinchUK @notthreadguy @DeezeFi @sobylife  https://t.co/pG9zdHr9zh,en,[],[],1443200444017283072,1443200444017283072,RugRadio,Rug Radioᵍᵐ 🎙,1,21,https://twitter.com/RugRadio/status/1599799494182203392,[],['https://pbs.twimg.com/media/FjOhJ2qUAAEtlnl.jpg'],1,https://pbs.twimg.com/media/FjOhJ2qUAAEtlnl.jpg,False,11,0,2,,None,,,,,,,[],,,,
