,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1599813426523488259,1599813426523488259,1670260218000.0,2022-12-05 22:40:18,+0530,, https://t.co/Ob0FfwaJGG,zxx,[],[],2916305152,2916305152,Snowden,Edward Snowden,1,22,https://twitter.com/Snowden/status/1599813426523488259,[],['https://pbs.twimg.com/media/FjOtscZXkAIuNTY.jpg'],1,https://pbs.twimg.com/media/FjOtscZXkAIuNTY.jpg,False,12049,336,2492,,None,,,,,,,[],,,,
1,1599709022147706880,1599549119378337792,1670235326000.0,2022-12-05 15:45:26,+0530,,@gucciprayers @loomdart too late jaildart  https://t.co/XDB472tBmR,en,[],[],2916305152,2916305152,Snowden,Edward Snowden,1,15,https://twitter.com/Snowden/status/1599709022147706880,[],['https://pbs.twimg.com/tweet_video_thumb/FjNO3FxXoAEI7-n.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/FjNO3FxXoAEI7-n.jpg,False,19,2,2,,None,,,,,,,"[{'screen_name': 'gucciprayers', 'name': 'gucciprayers', 'id': '1397979646814154754'}, {'screen_name': 'loomdart', 'name': 'loomdart', 'id': '2603525726'}]",,,,
2,1599565727194701825,1599565727194701825,1670201162000.0,2022-12-05 06:16:02,+0530,,That is a very big number.,en,[],[],2916305152,2916305152,Snowden,Edward Snowden,1,06,https://twitter.com/Snowden/status/1599565727194701825,[],[],0,,False,58790,1998,4650,https://twitter.com/elonmusk/status/1599224347121500160,None,,,,,,,[],,,,
3,1599510676816347137,1599502050190315521,1670188037000.0,2022-12-05 02:37:17,+0530,,@HRHMortimer Sharing is caring.,en,[],[],2916305152,2916305152,Snowden,Edward Snowden,1,02,https://twitter.com/Snowden/status/1599510676816347137,[],[],0,,False,1350,64,49,,None,,,,,,,"[{'screen_name': 'HRHMortimer', 'name': 'Mortimer🔻', 'id': '434946014'}]",,,,
4,1599510501582462976,1599502050190315521,1670187995000.0,2022-12-05 02:36:35,+0530,,@therealmewt1987 How many times? @brokep,en,[],[],2916305152,2916305152,Snowden,Edward Snowden,1,02,https://twitter.com/Snowden/status/1599510501582462976,[],[],0,,False,67,3,1,,None,,,,,,,"[{'screen_name': 'therealmewt1987', 'name': 'Mewt', 'id': '1523290607237619712'}]",,,,
5,1599502050190315521,1599502050190315521,1670185980000.0,2022-12-05 02:03:00,+0530,,"One, I didn't ""steal"" anything. I created a copy.  Two, that ""thing"" was **evidence of crimes** (our courts agreed: see link).   Three, exposing a crime should not be a crime, regardless of whether those crimes were committed by a Mafia or a State.   https://t.co/VnfiKsofHK  https://t.co/fjQ1VCB4Z1",en,[],[],2916305152,2916305152,Snowden,Edward Snowden,1,02,https://twitter.com/Snowden/status/1599502050190315521,['https://www.theguardian.com/us-news/2020/sep/03/edward-snowden-nsa-surveillance-guardian-court-rules'],['https://pbs.twimg.com/media/FjKSSAvXwAMLS2w.jpg'],1,https://pbs.twimg.com/media/FjKSSAvXwAMLS2w.jpg,False,52021,2063,8671,https://twitter.com/Roomtofit/status/1599489849995644928,None,,,,,,,[],,,,
6,1599497307086475264,1599317341938266113,1670184849000.0,2022-12-05 01:44:09,+0530,,"@heychrisjones If you think that, you should definitely read the book.   https://t.co/QO7KZemLx9",en,[],[],2916305152,2916305152,Snowden,Edward Snowden,1,01,https://twitter.com/Snowden/status/1599497307086475264,['https://www.theguardian.com/us-news/2018/jun/29/edward-snowden-describes-russian-government-as-corrupt'],[],0,,False,287,13,16,,None,,,,,,,"[{'screen_name': 'heychrisjones', 'name': 'heychrisjones', 'id': '1316173810782162945'}]",,,,
7,1599472654255128577,1599445099196616705,1670178972000.0,2022-12-05 00:06:12,+0530,,@scrypto_ @poordart @cryptobulma this true?,en,[],[],2916305152,2916305152,Snowden,Edward Snowden,1,00,https://twitter.com/Snowden/status/1599472654255128577,[],[],0,,False,271,41,4,,None,,,,,,,"[{'screen_name': 'scrypto_', 'name': 'scrypto', 'id': '1013087389668003840'}, {'screen_name': 'poordart', 'name': 'poordart', 'id': '1289834351803265025'}]",,,,
8,1599455047469142019,1599445099196616705,1670174774000.0,2022-12-04 22:56:14,+0530,,@scrypto_ @poordart looking forward to dox  https://t.co/cxhwqnlTdU,en,[],[],2916305152,2916305152,Snowden,Edward Snowden,7,22,https://twitter.com/Snowden/status/1599455047469142019,[],['https://pbs.twimg.com/media/FjJn4R9WIAEMV11.jpg'],1,https://pbs.twimg.com/media/FjJn4R9WIAEMV11.jpg,False,120,3,2,,None,,,,,,,"[{'screen_name': 'scrypto_', 'name': 'scrypto', 'id': '1013087389668003840'}, {'screen_name': 'poordart', 'name': 'poordart', 'id': '1289834351803265025'}]",,,,
9,1599454434194427904,1599445099196616705,1670174628000.0,2022-12-04 22:53:48,+0530,,@truerefuge @poordart snooo,und,[],[],2916305152,2916305152,Snowden,Edward Snowden,7,22,https://twitter.com/Snowden/status/1599454434194427904,[],[],0,,False,52,6,2,,None,,,,,,,"[{'screen_name': 'truerefuge', 'name': 'true refuge', 'id': '1256069600296525824'}, {'screen_name': 'poordart', 'name': 'poordart', 'id': '1289834351803265025'}]",,,,
10,1599448966340673538,1599445099196616705,1670173324000.0,2022-12-04 22:32:04,+0530,,@scrypto_ @poordart it'll never hold up in court,en,[],[],2916305152,2916305152,Snowden,Edward Snowden,7,22,https://twitter.com/Snowden/status/1599448966340673538,[],[],0,,False,203,11,3,,None,,,,,,,"[{'screen_name': 'scrypto_', 'name': 'scrypto', 'id': '1013087389668003840'}, {'screen_name': 'poordart', 'name': 'poordart', 'id': '1289834351803265025'}]",,,,
11,1599445099196616705,1599445099196616705,1670172402000.0,2022-12-04 22:16:42,+0530,,@poordart they keep DMing me saying they know my alt but idk bro it could be anyone,en,[],[],2916305152,2916305152,Snowden,Edward Snowden,7,22,https://twitter.com/Snowden/status/1599445099196616705,[],[],0,,False,946,108,31,,None,,,,,,,[],,,,
12,1599358549137969152,1598753507519369216,1670151767000.0,2022-12-04 16:32:47,+0530,,"@tealou You're very welcome. It's incredible how, even ten years later, the suggestion that the 95% (-plus!) of the population that exists beyond the borders of one particular state are also entitled to basic human rights.   I'm going to die still arguing this one, but it's worth it.",en,[],[],2916305152,2916305152,Snowden,Edward Snowden,7,16,https://twitter.com/Snowden/status/1599358549137969152,[],[],0,,False,437,15,25,,None,,,,,,,"[{'screen_name': 'tealou', 'name': 'Téa Smith', 'id': '249698402'}]",,,,
13,1599355775981621249,1599355334329782272,1670151106000.0,2022-12-04 16:21:46,+0530,,Source:  https://t.co/Cl6DVbeQjm,en,[],[],2916305152,2916305152,Snowden,Edward Snowden,7,16,https://twitter.com/Snowden/status/1599355775981621249,['https://www.theguardian.com/world/2014/apr/14/edward-snowden-pulitzer-statement-prize-guardian-washington-post'],[],0,,False,6631,84,630,,None,,,,,,,[],,,,
14,1599355334329782272,1599355334329782272,1670151000000.0,2022-12-04 16:20:00,+0530,,"You have no idea what you're talking about. Even the United States Government doesn't allege this. It literally never happened, and it *couldn't* happen, because I gave the archive to journalists. Those journalists' reporting, by the way, won the Pulitzer Prize for Public Service",en,[],[],2916305152,2916305152,Snowden,Edward Snowden,7,16,https://twitter.com/Snowden/status/1599355334329782272,[],[],0,,False,62000,1181,6179,https://twitter.com/DrinkDonJulio/status/1599323861975433216,None,,,,,,,[],,,,
15,1599352648876294144,1599352326023655424,1670150360000.0,2022-12-04 16:09:20,+0530,,More:  https://t.co/bkVq4cZC2E,en,[],[],2916305152,2916305152,Snowden,Edward Snowden,7,16,https://twitter.com/Snowden/status/1599352648876294144,['https://www.reuters.com/article/us-usa-nsa-spying-idUSKBN25T3CK'],[],0,,False,2983,52,520,,None,,,,,,,[],,,,
16,1599317341938266113,1599317341938266113,1670141942000.0,2022-12-04 13:49:02,+0530,,"Assange &amp; I were charged under a law designed to prevent fair trials—a law originally aimed at suppressing an old anti-war movement. Defendants are forbidden from mounting a public interest defense, juries prohibited from hearing⁠ it.  Whatever your politics, that's an injustice",en,[],[],2916305152,2916305152,Snowden,Edward Snowden,7,13,https://twitter.com/Snowden/status/1599317341938266113,[],[],0,,False,90781,1811,15888,https://twitter.com/elonmusk/status/1599224347121500160,None,,,,,,,[],,,,
17,1598753943378485248,1598753507519369216,1670007618000.0,2022-12-03 00:30:18,+0530,,In case you missed it when it happened:    https://t.co/tLnhUhbntl,en,[],[],2916305152,2916305152,Snowden,Edward Snowden,6,00,https://twitter.com/Snowden/status/1598753943378485248,['https://www.theguardian.com/commentisfree/2013/jul/04/forcing-down-morales-plane-air-piracy'],[],0,,False,10715,192,1602,,None,,,,,,,[],,,,
18,1598753507519369216,1598753507519369216,1670007514000.0,2022-12-03 00:28:34,+0530,,"I'm in Russia because the White House intentionally canceled my passport to trap me here. They *downed the President of Bolivia's diplomatic aircraft* to prevent me from leaving, and continue to interfere with my freedom of movement to this day.  In case that was unclear.",en,[],[],2916305152,2916305152,Snowden,Edward Snowden,6,00,https://twitter.com/Snowden/status/1598753507519369216,[],[],0,,False,83439,2293,11895,https://twitter.com/maxseddon/status/349106511257161729,None,,,,,,,[],,,,
19,1598624829090963457,1598624829090963457,1669976834000.0,2022-12-02 15:57:14,+0530,,@EMostaque Please check your DMs.,en,[],[],2916305152,2916305152,Snowden,Edward Snowden,5,15,https://twitter.com/Snowden/status/1598624829090963457,[],[],0,,False,27,0,7,,None,,,,,,,[],,,,
20,1598415071658532866,1598206712309493761,1669926824000.0,2022-12-02 02:03:44,+0530,,@etheraltog It's not me.,en,[],[],2916305152,2916305152,Snowden,Edward Snowden,5,02,https://twitter.com/Snowden/status/1598415071658532866,[],[],0,,False,486,26,14,,None,,,,,,,"[{'screen_name': 'etheraltog', 'name': 'alto | dollar.eth', 'id': '1356299798266175490'}]",,,,
21,1598410669678026752,1598410669678026752,1669925775000.0,2022-12-02 01:46:15,+0530,,turns out kanye is not gonna be president,en,[],[],2916305152,2916305152,Snowden,Edward Snowden,5,01,https://twitter.com/Snowden/status/1598410669678026752,[],[],0,,False,158092,4317,8809,,None,,,,,,,[],,,,
22,1598363720903983106,1598363720903983106,1669914581000.0,2022-12-01 22:39:41,+0530,,We're halfway to the goal. Can you help us cross the finish line?,en,[],[],2916305152,2916305152,Snowden,Edward Snowden,4,22,https://twitter.com/Snowden/status/1598363720903983106,[],[],0,,False,900,47,222,https://twitter.com/bjwinnerdavis/status/1597187447330582529,None,,,,,,,[],,,,
23,1598360822295810054,1598360822295810054,1669913890000.0,2022-12-01 22:28:10,+0530,,"The world's most central newspapers have joined to declare that going after Julian Assange with the Espionage Act ""threatens to undermine America’s First Amendment and the freedom of the press,"" and that it's time “to end the prosecution of Julian Assange.”  Right on both counts.",en,[],[],2916305152,2916305152,Snowden,Edward Snowden,4,22,https://twitter.com/Snowden/status/1598360822295810054,[],[],0,,False,6857,239,1867,https://twitter.com/NicholsUprising/status/1597630236853575680,None,,,,,,,[],,,,
24,1597708228422291456,1597708228422291456,1669758300000.0,2022-11-30 03:15:00,+0530,,"Please help, if you can. This is a story worth hearing.",en,[],[],2916305152,2916305152,Snowden,Edward Snowden,3,03,https://twitter.com/Snowden/status/1597708228422291456,[],[],0,,False,1240,58,352,https://twitter.com/soniakennebeck/status/1597174346464006145,None,,,,,,,[],,,,
