,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1599246746701287424,1599245980800405505,1670125111000.0,2022-12-04 09:08:31,+0530,,@StonkManSeuss @Fren0x 🤣,und,[],[],1553118194902220800,1553118194902220800,TraderWize,WIZΞ,7,09,https://twitter.com/TraderWize/status/1599246746701287424,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'StonkManSeuss', 'name': '{A.I.} SeussMcStonk ☪️', 'id': '1433084490642034689'}, {'screen_name': 'Fren0x', 'name': 'Fren0x', 'id': '886953262716526592'}]",,,,
1,1599245980800405505,1599245980800405505,1670124929000.0,2022-12-04 09:05:29,+0530,,"Go follow @Fren0x a 🐳 fren, who is miraculous at ponzinomics.  https://t.co/jhDlwq3se9",en,[],[],1553118194902220800,1553118194902220800,TraderWize,WIZΞ,7,09,https://twitter.com/TraderWize/status/1599245980800405505,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1599243003218075649/pu/img/8Gj6RMFsmpSHk8Pi.jpg,False,4,2,0,,None,,,,,,,[],,,,
2,1598752448419483648,1598752448419483648,1670007261000.0,2022-12-03 00:24:21,+0530,,arbitrage brilliance...   https://t.co/2ZxSBSHSSr,en,[],[],1553118194902220800,1553118194902220800,TraderWize,WIZΞ,6,00,https://twitter.com/TraderWize/status/1598752448419483648,['https://twitter.com/lookonchain/status/1598535936044044294?s=20&t=UFQq2TPGWK0Mppf-WYQ9XQ'],[],0,,False,2,1,0,https://twitter.com/lookonchain/status/1598535936044044294?s=20&t=UFQq2TPGWK0Mppf-WYQ9XQ,None,,,,,,,[],,,,
3,1598508032778010632,1598502263735066624,1669948988000.0,2022-12-02 08:13:08,+0530,,@ankr 4 / ETH ($4.2m USD) swapped so far   https://t.co/7fsbANdNax  https://t.co/uqa5xks4kr,en,[],[],1553118194902220800,1553118194902220800,TraderWize,WIZΞ,5,08,https://twitter.com/TraderWize/status/1598508032778010632,['https://etherscan.io/address/0xf3a465c9fa6663ff50794c698f600faa4b05c777'],['https://pbs.twimg.com/media/Fi8KZCeWYAAJ_oY.jpg'],1,https://pbs.twimg.com/media/Fi8KZCeWYAAJ_oY.jpg,False,1,0,0,,None,,,,,,,"[{'screen_name': 'ankr', 'name': 'Ankr', 'id': '1010430329218371584'}]",,,,
4,1598506580584153089,1598502263735066624,1669948642000.0,2022-12-02 08:07:22,+0530,,@ankr 3 /  https://t.co/1XfkPeJLBB  They are exchanging using the available liquidity before tornado cashing out.   aBNBc -100%  https://t.co/l4Je80ZwMM,en,[],[],1553118194902220800,1553118194902220800,TraderWize,WIZΞ,5,08,https://twitter.com/TraderWize/status/1598506580584153089,['https://dexscreener.com/'],['https://pbs.twimg.com/media/Fi8Is7uXgAA8PrS.jpg'],1,https://pbs.twimg.com/media/Fi8Is7uXgAA8PrS.jpg,False,3,1,1,,None,,,,,,,"[{'screen_name': 'ankr', 'name': 'Ankr', 'id': '1010430329218371584'}]",,,,
5,1598504222848425984,1598502263735066624,1669948080000.0,2022-12-02 07:58:00,+0530,,"@ankr 2 / As a result of a compromised deployer key or an inside job, it launched an attack contract, modified the upgradeable aBNBc contract, invoked the wallet function to mint TXID for his wallet, and then executed the contract.",en,[],[],1553118194902220800,1553118194902220800,TraderWize,WIZΞ,5,07,https://twitter.com/TraderWize/status/1598504222848425984,[],[],0,,False,6,1,2,,None,,,,,,,"[{'screen_name': 'ankr', 'name': 'Ankr', 'id': '1010430329218371584'}]",,,,
6,1598502263735066624,1598502263735066624,1669947613000.0,2022-12-02 07:50:13,+0530,,"🧵1 / @ankr just got hacked? A governance key breach allowed a attacker to create 10,000,000,000,000 aBNBc and deplete the DEX pool.    https://t.co/PS6YmAU2Pf  https://t.co/2BG2Eo6bNJ",en,[],[],1553118194902220800,1553118194902220800,TraderWize,WIZΞ,5,07,https://twitter.com/TraderWize/status/1598502263735066624,['https://bscscan.com/tx/0xe367d05e7ff37eb6d0b7d763495f218740c979348d7a3b6d8e72d3b947c86e33'],['https://pbs.twimg.com/media/Fi8FOW1WYAAa4o8.jpg'],1,https://pbs.twimg.com/media/Fi8FOW1WYAAa4o8.jpg,False,25,4,9,,None,,,,,,,[],,,,
7,1598198381863931904,1598192857386737664,1669875161000.0,2022-12-01 11:42:41,+0530,,@SatsBillionaire @LTCFoundation @litecoin @LiteCoinNews @LitecoinMag I'm curious whether arriving early will pay off... 😂  https://t.co/2s1AQkMIQ6,en,[],[],1553118194902220800,1553118194902220800,TraderWize,WIZΞ,4,11,https://twitter.com/TraderWize/status/1598198381863931904,[],['https://pbs.twimg.com/tweet_video_thumb/Fi3w9VRX0AAh0HJ.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/Fi3w9VRX0AAh0HJ.jpg,False,1,1,0,,None,,,,,,,"[{'screen_name': 'SatsBillionaire', 'name': '🇦🇺 Wannabe Sats Billionaire 🇦🇺', 'id': '1432494088566149120'}, {'screen_name': 'LTCFoundation', 'name': 'Litecoin Foundation ⚡️', 'id': '1656328279'}, {'screen_name': 'litecoin', 'name': 'Litecoin', 'id': '385562752'}, {'screen_name': 'LiteCoinNews', 'name': 'LiteCoin News', 'id': '1327769568'}, {'screen_name': 'LitecoinMag', 'name': 'Litecoin Magazine ŁⓂ️🕸', 'id': '1443155476808675330'}]",,,,
8,1598197325750337536,1598192857386737664,1669874910000.0,2022-12-01 11:38:30,+0530,,"4 / Dear Reader,  DYOR this is not investment advice.  Kind regards,  Trader Wize",en,[],[],1553118194902220800,1553118194902220800,TraderWize,WIZΞ,4,11,https://twitter.com/TraderWize/status/1598197325750337536,[],[],0,,False,1,1,0,,None,,,,,,,[],,,,
9,1598197278694838272,1598192857386737664,1669874898000.0,2022-12-01 11:38:18,+0530,,3 / The price of LTC will explode in 2023 after the $BTC price halving narrative gains traction.  The Honay should be taken by bears while it is still on the tree rather than when the large grizzly bears take the entire hive. Then exchange your Honay for the Monay!🍯,en,[],['btc'],1553118194902220800,1553118194902220800,TraderWize,WIZΞ,4,11,https://twitter.com/TraderWize/status/1598197278694838272,[],[],0,,False,1,1,0,,None,,,,,,,[],,,,
10,1598195250392346625,1598192857386737664,1669874415000.0,2022-12-01 11:30:15,+0530,,"2 / A 50% decrease in the number of freshly created Litecoins will occur in 2023, marking the third time that this has happened. Currently, 12.5 Litecoins are released around every 2.5 minutes. The 12.5 will become 6.25 $LTC upon the halving.",en,[],['ltc'],1553118194902220800,1553118194902220800,TraderWize,WIZΞ,4,11,https://twitter.com/TraderWize/status/1598195250392346625,[],[],0,,False,1,1,1,,None,,,,,,,[],,,,
11,1598192857386737664,1598192857386737664,1669873844000.0,2022-12-01 11:20:44,+0530,,"🧵1 / Hello Bear! 🐻   I have the sweetest honey for you.   Have you heard about $LTC halving? No?  A retest and consolidation chart below, there was a clear accumulation breakout. EMAs are bullish, and bullflag. OK. So technical analysis is bullish; what about the narrative?👇  https://t.co/9MqZSYwdOh",en,[],['ltc'],1553118194902220800,1553118194902220800,TraderWize,WIZΞ,4,11,https://twitter.com/TraderWize/status/1598192857386737664,[],['https://pbs.twimg.com/media/Fi3cawlWYAAmHWH.jpg'],1,https://pbs.twimg.com/media/Fi3cawlWYAAmHWH.jpg,False,10,2,5,,None,,,,,,,[],,,,
12,1598008242000793600,1597758171799777281,1669829829000.0,2022-11-30 23:07:09,+0530,,@KevinSvenson_  https://t.co/gTnXzFsjNm,qme,[],[],1553118194902220800,1553118194902220800,TraderWize,WIZΞ,3,23,https://twitter.com/TraderWize/status/1598008242000793600,[],['https://pbs.twimg.com/media/Fi1EAnKWAAwabrU.jpg'],1,https://pbs.twimg.com/media/Fi1EAnKWAAwabrU.jpg,False,4,0,0,,None,,,,,,,[],,,,
13,1597697424910594050,1597697424910594050,1669755724000.0,2022-11-30 02:32:04,+0530,, https://t.co/TpoWwdw1cJ  OG❓  Bear market; honey bears. 🍯  https://t.co/RpexsQe72v,en,[],[],1553118194902220800,1553118194902220800,TraderWize,WIZΞ,3,02,https://twitter.com/TraderWize/status/1597697424910594050,['https://discord.gg/NskzX4qUeS'],['https://pbs.twimg.com/media/Fiwoj62WQAMUe9U.jpg'],1,https://pbs.twimg.com/media/Fiwoj62WQAMUe9U.jpg,False,51,39,37,,None,,,,,,,[],,,,
14,1597667765917474816,1597444126899077120,1669748653000.0,2022-11-30 00:34:13,+0530,,@hassaan747 😂  https://t.co/J7YPnGOb9A,und,[],[],1553118194902220800,1553118194902220800,TraderWize,WIZΞ,3,00,https://twitter.com/TraderWize/status/1597667765917474816,[],['https://pbs.twimg.com/media/FiwONHZXkAARaby.jpg'],1,https://pbs.twimg.com/media/FiwONHZXkAARaby.jpg,False,1,0,0,,None,,,,,,,"[{'screen_name': 'hassaan747', 'name': 'Hassaan Shafiq', 'id': '67484166'}]",,,,
15,1597466568833007616,1597444126899077120,1669700684000.0,2022-11-29 11:14:44,+0530,,"@KevinSvenson_ ""Maybe look into what it is first""  https://t.co/vDoeMrcRuP",en,[],[],1553118194902220800,1553118194902220800,TraderWize,WIZΞ,2,11,https://twitter.com/TraderWize/status/1597466568833007616,[],['https://pbs.twimg.com/media/FitXVJ1WYAE2Iqv.png'],1,https://pbs.twimg.com/media/FitXVJ1WYAE2Iqv.png,False,1,0,0,,None,,,,,,,"[{'screen_name': 'KevinSvenson_', 'name': 'Kevin Svenson', 'id': '3407824378'}]",,,,
