,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1599862680109846528,1599862680109846528,1670271961000.0,2022-12-06 01:56:01,+0530,,The 2 banes of The Winklevoss Twins existence.  https://t.co/9Qv0JcPa9h,en,[],[],2446024556,2446024556,Tradermayne,Mayne,2,01,https://twitter.com/Tradermayne/status/1599862680109846528,[],"['https://pbs.twimg.com/media/FjPabz8aAAAVGjR.png', 'https://pbs.twimg.com/media/FjPaf3bakAAXLfz.jpg']",1,https://pbs.twimg.com/media/FjPabz8aAAAVGjR.png,False,172,12,6,,None,,,,,,,[],,,,
1,1599855723223347200,1595937327029030912,1670270302000.0,2022-12-06 01:28:22,+0530,,"$XAG  Smashed it.  Still looking for higher prices, watching for reasons to add back what I took off on this pull back.  https://t.co/W7BDSpUbxK",en,[],['xag'],2446024556,2446024556,Tradermayne,Mayne,2,01,https://twitter.com/Tradermayne/status/1599855723223347200,[],['https://pbs.twimg.com/media/FjPULmzaUAAf3xe.png'],1,https://pbs.twimg.com/media/FjPULmzaUAAf3xe.png,False,36,7,1,,None,,,,,,,[],,,,
2,1599532006941290496,1599532006941290496,1670193122000.0,2022-12-05 04:02:02,+0530,,Bro  https://t.co/MyhVpSTIwI,und,[],[],2446024556,2446024556,Tradermayne,Mayne,1,04,https://twitter.com/Tradermayne/status/1599532006941290496,[],['https://pbs.twimg.com/media/FjKt4fMaAAAvvHz.jpg'],1,https://pbs.twimg.com/media/FjKt4fMaAAAvvHz.jpg,False,814,131,27,,None,,,,,,,[],,,,
3,1599531243317911552,1599526486163484672,1670192940000.0,2022-12-05 03:59:00,+0530,,@CryptoParadyme Bottom isn’t in but fuck bears,en,[],[],2446024556,2446024556,Tradermayne,Mayne,1,03,https://twitter.com/Tradermayne/status/1599531243317911552,[],[],0,,False,50,1,1,,None,,,,,,,"[{'screen_name': 'CryptoParadyme', 'name': 'Dyme', 'id': '2194899020'}]",,,,
4,1599517818231607296,1599502400225570816,1670189740000.0,2022-12-05 03:05:40,+0530,,@ColdBloodShill Bro the dunk was eloquent.,en,[],[],2446024556,2446024556,Tradermayne,Mayne,1,03,https://twitter.com/Tradermayne/status/1599517818231607296,[],[],0,,False,52,3,0,,None,,,,,,,"[{'screen_name': 'ColdBloodShill', 'name': 'Cold Blooded Shiller', 'id': '987343085251317760'}]",,,,
5,1599498598819192834,1599498247114219521,1670185157000.0,2022-12-05 01:49:17,+0530,,@Daniil_Zlobin_ No,und,[],[],2446024556,2446024556,Tradermayne,Mayne,1,01,https://twitter.com/Tradermayne/status/1599498598819192834,[],[],0,,False,1,5,0,,None,,,,,,,"[{'screen_name': 'Daniil_Zlobin_', 'name': '2022beraPTSD', 'id': '957307892054425600'}]",,,,
6,1599498247114219521,1599498247114219521,1670185074000.0,2022-12-05 01:47:54,+0530,, https://t.co/SJLz4HF4wt,zxx,[],[],2446024556,2446024556,Tradermayne,Mayne,1,01,https://twitter.com/Tradermayne/status/1599498247114219521,[],['https://pbs.twimg.com/media/FjKPLdKaMAARAfX.jpg'],1,https://pbs.twimg.com/media/FjKPLdKaMAARAfX.jpg,False,185,125,7,,None,,,,,,,[],,,,
7,1599283518525575168,1599282639575592960,1670133878000.0,2022-12-04 11:34:38,+0530,,A billion is a hard number to even comprehend.   It’s not a mistake or an error.   He used it to cover up a hole at Alameda.,en,[],[],2446024556,2446024556,Tradermayne,Mayne,7,11,https://twitter.com/Tradermayne/status/1599283518525575168,[],[],0,,False,351,28,4,,None,,,,,,,[],,,,
8,1599282704994177026,1599248250703597571,1670133684000.0,2022-12-04 11:31:24,+0530,,@IAmRipoff As in I live in a complete different city. Yes,en,[],[],2446024556,2446024556,Tradermayne,Mayne,7,11,https://twitter.com/Tradermayne/status/1599282704994177026,[],[],0,,False,1,9,0,,None,,,,,,,"[{'screen_name': 'IAmRipoff', 'name': 'Ripoff 🇸🇦 رواغ (👍/👌)', 'id': '1091526799434014720'}]",,,,
9,1599282639575592960,1599282639575592960,1670133669000.0,2022-12-04 11:31:09,+0530,,"If you saved $100 a day. It’d take almost 30,000 years to save a Billion dollars.   Sam “misplaced” 8 billion.",en,[],[],2446024556,2446024556,Tradermayne,Mayne,7,11,https://twitter.com/Tradermayne/status/1599282639575592960,[],[],0,,False,1465,70,113,,None,,,,,,,[],,,,
