,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1592968044149866496,1592968044149866496,1668628152000.0,2022-11-17 01:19:12,+0530,,"The confirmation hearing currently scheduled on December 8 will not be going forward. The UCC is working with the Debtors and other potential bidders on the best path forward, including a structure that distributes crypto outside of a sale to a third party.",en,[],[],1556731169772867587,1556731169772867587,VoyagerUCC,Voyager Official Committee of Unsecured Creditors,4,01,https://twitter.com/VoyagerUCC/status/1592968044149866496,[],[],0,,False,243,149,42,,None,,,,,,,[],,,,
1,1591196421163999232,1591176495124606976,1668205764000.0,2022-11-12 03:59:24,+0530,, https://t.co/dL4xNz4d4l,zxx,[],[],1556731169772867587,1556731169772867587,VoyagerUCC,Voyager Official Committee of Unsecured Creditors,6,03,https://twitter.com/VoyagerUCC/status/1591196421163999232,['https://www.newswire.ca/news-releases/voyager-digital-and-voyager-official-committee-of-unsecured-creditors-provide-update-on-reorganization-plan-883658364.html'],[],0,,False,33,10,5,,None,,,,,,,[],,,,
2,1591176502187798528,1591176495124606976,1668201015000.0,2022-11-12 02:40:15,+0530,,"6/ The Debtors do have a balance of approximately $3 million at FTX, which is substantially comprised of locked LUNA2 and locked SRM.",en,[],[],1556731169772867587,1556731169772867587,VoyagerUCC,Voyager Official Committee of Unsecured Creditors,6,02,https://twitter.com/VoyagerUCC/status/1591176502187798528,[],[],0,,False,48,17,7,,None,,,,,,,[],,,,
3,1591176500895969281,1591176495124606976,1668201015000.0,2022-11-12 02:40:15,+0530,,"5/ With respect to FTX's bankruptcy filing, the Debtors successfully recalled the outstanding loans from Alameda Research for 6,500 BTC and 50,000 ETH. There are no loans outstanding.",en,[],[],1556731169772867587,1556731169772867587,VoyagerUCC,Voyager Official Committee of Unsecured Creditors,6,02,https://twitter.com/VoyagerUCC/status/1591176500895969281,[],[],0,,False,92,10,6,,None,,,,,,,[],,,,
4,1591176499654430721,1591176495124606976,1668201014000.0,2022-11-12 02:40:14,+0530,,4/ We will do everything in our power to maximize value for creditors and expedite the cases towards completion.,en,[],[],1556731169772867587,1556731169772867587,VoyagerUCC,Voyager Official Committee of Unsecured Creditors,6,02,https://twitter.com/VoyagerUCC/status/1591176499654430721,[],[],0,,False,52,4,2,,None,,,,,,,[],,,,
5,1591176495124606976,1591176495124606976,1668201013000.0,2022-11-12 02:40:13,+0530,,1/ The UCC's goal has and continues to be returning assets to creditors as quickly as possible. The process for doing so is not simple and must be done within the confines of the Bankruptcy Code.,en,[],[],1556731169772867587,1556731169772867587,VoyagerUCC,Voyager Official Committee of Unsecured Creditors,6,02,https://twitter.com/VoyagerUCC/status/1591176495124606976,[],[],0,,False,192,91,44,,None,,,,,,,[],,,,
6,1590775946105135104,1590775946105135104,1668105515000.0,2022-11-11 00:08:35,+0530,,We want to make clear that the FTX/Voyager transaction has not been consummated. Voyager has not transferred any crypto or other assets to FTX in connection with the transaction. The UCC will take all steps necessary to protect creditors’ interest. We are evaluating all options.,en,[],[],1556731169772867587,1556731169772867587,VoyagerUCC,Voyager Official Committee of Unsecured Creditors,5,00,https://twitter.com/VoyagerUCC/status/1590775946105135104,[],[],0,,False,568,153,84,,None,,,,,,,[],,,,
7,1590126115087351808,1590126115087351808,1667950583000.0,2022-11-09 05:06:23,+0530,,We are actively evaluating all of the news regarding FTX and how it may impact the Voyager transaction. We will provide additional information to the community as soon as possible.,en,[],[],1556731169772867587,1556731169772867587,VoyagerUCC,Voyager Official Committee of Unsecured Creditors,3,05,https://twitter.com/VoyagerUCC/status/1590126115087351808,[],[],0,,False,668,228,112,,None,,,,,,,[],,,,
8,1588589175175274496,1588589175175274496,1667584148000.0,2022-11-04 23:19:08,+0530,, https://t.co/emWtaIsafU,zxx,[],[],1556731169772867587,1556731169772867587,VoyagerUCC,Voyager Official Committee of Unsecured Creditors,5,23,https://twitter.com/VoyagerUCC/status/1588589175175274496,['https://twitter.com/i/spaces/1zqKVPgXpMMJB'],[],0,,False,52,84,29,,None,,,,,,,[],,,,
9,1588572374932549634,1588572374932549634,1667580143000.0,2022-11-04 22:12:23,+0530,,UCC members @JasonRaznick and @BWalk0 will be joining the Twitter Space today to answer questions.,en,[],[],1556731169772867587,1556731169772867587,VoyagerUCC,Voyager Official Committee of Unsecured Creditors,5,22,https://twitter.com/VoyagerUCC/status/1588572374932549634,[],[],0,,False,36,20,14,https://twitter.com/VoyagerUCC/status/1586131196500905984,None,,,,,,,[],,,,
