,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1599892149000364032,1599891222008856576,1670278987000.0,2022-12-06 03:53:07,+0530,,@The_RockTrading Does he know that?,en,[],[],13651102,13651102,avivs,Aviv Shaham,2,03,https://twitter.com/avivs/status/1599892149000364032,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'The_RockTrading', 'name': 'John @ The Rock Trading Co.', 'id': '21764428'}]",,,,
1,1599891845517316096,1599501069822099456,1670278915000.0,2022-12-06 03:51:55,+0530,,@fuserleer @MarioNawfal Mario is waiting for his #Balenciaga shirt to dry.,en,['balenciaga'],[],13651102,13651102,avivs,Aviv Shaham,2,03,https://twitter.com/avivs/status/1599891845517316096,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'fuserleer', 'name': 'Dan ""fuserleer.eth"" Hughes', 'id': '961634710836432901'}, {'screen_name': 'MarioNawfal', 'name': 'Mario Nawfal', 'id': '1319287761048723458'}]",,,,
2,1599891549588197376,1599889571776339969,1670278844000.0,2022-12-06 03:50:44,+0530,,@GoingParabolic @SBF_FTX And to think all this could have been avoided had he not missed his plane to Argentina because of league of legends.,en,[],[],13651102,13651102,avivs,Aviv Shaham,2,03,https://twitter.com/avivs/status/1599891549588197376,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'GoingParabolic', 'name': 'Jason A. Williams', 'id': '1194984822'}, {'screen_name': 'SBF_FTX', 'name': 'SBF', 'id': '1110877798820777986'}]",,,,
3,1599887708088045568,1599874967524474882,1670277928000.0,2022-12-06 03:35:28,+0530,,@DaveMichels @rowantrollope @Redis @twilio  https://t.co/5JAeZAT1fG,qme,[],[],13651102,13651102,avivs,Aviv Shaham,2,03,https://twitter.com/avivs/status/1599887708088045568,[],"['https://pbs.twimg.com/media/FjPxXCrUUAA5_b9.jpg', 'https://pbs.twimg.com/media/FjPxXyeVEAAsWnl.jpg']",1,https://pbs.twimg.com/media/FjPxXCrUUAA5_b9.jpg,False,0,0,0,,None,,,,,,,"[{'screen_name': 'DaveMichels', 'name': 'Dave Michels', 'id': '17495376'}, {'screen_name': 'rowantrollope', 'name': 'Rowan Trollope', 'id': '1449951'}, {'screen_name': 'Redis', 'name': 'Redis S', 'id': '133383119'}]",,,,
4,1599887642241695745,1599874967524474882,1670277913000.0,2022-12-06 03:35:13,+0530,,@DaveMichels @rowantrollope @Redis @twilio  https://t.co/DiFCmGrNbI,qme,[],[],13651102,13651102,avivs,Aviv Shaham,2,03,https://twitter.com/avivs/status/1599887642241695745,[],"['https://pbs.twimg.com/media/FjPxO40VIAEK348.jpg', 'https://pbs.twimg.com/media/FjPxPoKUcAAcW-B.jpg', 'https://pbs.twimg.com/media/FjPxQSJUoAAcsaY.jpg', 'https://pbs.twimg.com/media/FjPxQ1WVsAATpT-.jpg']",1,https://pbs.twimg.com/media/FjPxO40VIAEK348.jpg,False,0,1,0,,None,,,,,,,"[{'screen_name': 'DaveMichels', 'name': 'Dave Michels', 'id': '17495376'}, {'screen_name': 'rowantrollope', 'name': 'Rowan Trollope', 'id': '1449951'}, {'screen_name': 'Redis', 'name': 'Redis S', 'id': '133383119'}]",,,,
5,1599887473827811328,1599874967524474882,1670277872000.0,2022-12-06 03:34:32,+0530,,@DaveMichels @rowantrollope @Redis @twilio  https://t.co/8vnTWWrTE8,qme,[],[],13651102,13651102,avivs,Aviv Shaham,2,03,https://twitter.com/avivs/status/1599887473827811328,[],"['https://pbs.twimg.com/media/FjPxG3qVsAEW-wY.jpg', 'https://pbs.twimg.com/media/FjPxHgwVIAAU7Sw.jpg', 'https://pbs.twimg.com/media/FjPxINmVQAAlqcM.jpg', 'https://pbs.twimg.com/media/FjPxJpTVEAESfyK.jpg']",1,https://pbs.twimg.com/media/FjPxG3qVsAEW-wY.jpg,False,0,1,0,,None,,,,,,,"[{'screen_name': 'DaveMichels', 'name': 'Dave Michels', 'id': '17495376'}, {'screen_name': 'rowantrollope', 'name': 'Rowan Trollope', 'id': '1449951'}, {'screen_name': 'Redis', 'name': 'Redis S', 'id': '133383119'}]",,,,
6,1599887365707042817,1599874967524474882,1670277847000.0,2022-12-06 03:34:07,+0530,,@DaveMichels @rowantrollope @Redis @twilio  https://t.co/8JG72eH3jl,qme,[],[],13651102,13651102,avivs,Aviv Shaham,2,03,https://twitter.com/avivs/status/1599887365707042817,[],"['https://pbs.twimg.com/media/FjPw_YLUYAAYfI7.jpg', 'https://pbs.twimg.com/media/FjPxAzpVIAANQwz.jpg', 'https://pbs.twimg.com/media/FjPxBsQUcAAur_a.jpg', 'https://pbs.twimg.com/media/FjPxDETUcAAJh6Y.jpg']",1,https://pbs.twimg.com/media/FjPw_YLUYAAYfI7.jpg,False,0,1,0,,None,,,,,,,"[{'screen_name': 'DaveMichels', 'name': 'Dave Michels', 'id': '17495376'}, {'screen_name': 'rowantrollope', 'name': 'Rowan Trollope', 'id': '1449951'}, {'screen_name': 'Redis', 'name': 'Redis S', 'id': '133383119'}]",,,,
7,1599887240015925248,1599874967524474882,1670277817000.0,2022-12-06 03:33:37,+0530,,@DaveMichels @rowantrollope @Redis @twilio  https://t.co/XmkbPCdxaw,qme,[],[],13651102,13651102,avivs,Aviv Shaham,2,03,https://twitter.com/avivs/status/1599887240015925248,[],"['https://pbs.twimg.com/media/FjPw5uIVIAEs8LV.jpg', 'https://pbs.twimg.com/media/FjPw7F3UoAAB85m.jpg', 'https://pbs.twimg.com/media/FjPw77hVEAAF-4H.jpg', 'https://pbs.twimg.com/media/FjPw80cVIAAGOuj.jpg']",1,https://pbs.twimg.com/media/FjPw5uIVIAEs8LV.jpg,False,0,1,0,,None,,,,,,,"[{'screen_name': 'DaveMichels', 'name': 'Dave Michels', 'id': '17495376'}, {'screen_name': 'rowantrollope', 'name': 'Rowan Trollope', 'id': '1449951'}, {'screen_name': 'Redis', 'name': 'Redis S', 'id': '133383119'}]",,,,
8,1599887077843562496,1599874967524474882,1670277778000.0,2022-12-06 03:32:58,+0530,,@DaveMichels Maybe @rowantrollope and @redis can create the programmable PBX market opportunity that @Twilio missed.  https://t.co/I9OJ7Kd4r8,en,[],[],13651102,13651102,avivs,Aviv Shaham,2,03,https://twitter.com/avivs/status/1599887077843562496,[],"['https://pbs.twimg.com/media/FjPwnJwVQAE_Zew.jpg', 'https://pbs.twimg.com/media/FjPwoZ6UcAEGM-r.jpg', 'https://pbs.twimg.com/media/FjPwpabUAAA1t6K.jpg', 'https://pbs.twimg.com/media/FjPwqUAVEAAPDFB.jpg']",1,https://pbs.twimg.com/media/FjPwnJwVQAE_Zew.jpg,False,0,1,0,,None,,,,,,,"[{'screen_name': 'DaveMichels', 'name': 'Dave Michels', 'id': '17495376'}]",,,,
9,1599882010621018112,1599879617669922816,1670276570000.0,2022-12-06 03:12:50,+0530,,@jasondebolt Stage 5: Acceptance,en,[],[],13651102,13651102,avivs,Aviv Shaham,2,03,https://twitter.com/avivs/status/1599882010621018112,[],[],0,,False,1,0,0,,None,,,,,,,"[{'screen_name': 'jasondebolt', 'name': 'Jason DeBolt ⚡️', 'id': '298274977'}]",,,,
10,1599863558841700352,1599774230689722368,1670272171000.0,2022-12-06 01:59:31,+0530,,@silverguru22 Gemini is on its last leg,et,[],[],13651102,13651102,avivs,Aviv Shaham,2,01,https://twitter.com/avivs/status/1599863558841700352,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'silverguru22', 'name': 'David Morgan', 'id': '18524851'}]",,,,
