,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1599007537491156992,1598994489380507648,1670068079000.0,2022-12-03 17:17:59,+0530,,@hyuktrades We are coming for ya.,en,[],[],1366375699368534017,1366375699368534017,bearmarketinu,Liquidate HYUK,6,17,https://twitter.com/bearmarketinu/status/1599007537491156992,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'hyuktrades', 'name': 'hyuk', 'id': '2566944355'}]",,,,
1,1599007206807982080,1599007206807982080,1670068000000.0,2022-12-03 17:16:40,+0530,,TIME FOR HYUK We are sure that many will join us on this one  https://t.co/F3VS8YkQKl,en,[],[],1366375699368534017,1366375699368534017,bearmarketinu,Liquidate HYUK,6,17,https://twitter.com/bearmarketinu/status/1599007206807982080,[],['https://pbs.twimg.com/media/FjDQclWWIAEijDg.jpg'],1,https://pbs.twimg.com/media/FjDQclWWIAEijDg.jpg,False,3,2,0,,None,,,,,,,[],,,,
2,1597227838440361985,1597227705514463232,1669643766000.0,2022-11-28 19:26:06,+0530,,@GiganticRebirth @hyuktrades @NachoTrades @Sk0ti @0xGoogly @forgain_z,qam,[],[],1366375699368534017,1366375699368534017,bearmarketinu,Liquidate HYUK,1,19,https://twitter.com/bearmarketinu/status/1597227838440361985,[],[],0,,False,2,1,0,,None,,,,,,,"[{'screen_name': 'GiganticRebirth', 'name': 'GCR', 'id': '1289071298556170240'}]",,,,
3,1597227705514463232,1597227705514463232,1669643734000.0,2022-11-28 19:25:34,+0530,,@GiganticRebirth days after the liquidation GOOD JOB  https://t.co/00pIn8gm7r,en,[],[],1366375699368534017,1366375699368534017,bearmarketinu,Liquidate HYUK,1,19,https://twitter.com/bearmarketinu/status/1597227705514463232,[],['https://pbs.twimg.com/tweet_video_thumb/Fip94kGWAAE87eX.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/Fip94kGWAAE87eX.jpg,False,4,1,0,,None,,,,,,,[],,,,
4,1596872857681686528,1596848537991450625,1669559132000.0,2022-11-27 19:55:32,+0530,,"@PsyopzCapital wow you're making big effect, Broh, you're fomoing yourself lol",en,[],[],1366375699368534017,1366375699368534017,bearmarketinu,Liquidate HYUK,7,19,https://twitter.com/bearmarketinu/status/1596872857681686528,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'PsyopzCapital', 'name': 'Psyops', 'id': '1588002844338184194'}]",,,,
5,1596866582898442241,1596467257110335488,1669557636000.0,2022-11-27 19:30:36,+0530,,@hyuktrades @AKSL321 @DarkCryptoLord he wont share public because our army will liquidate him,en,[],[],1366375699368534017,1366375699368534017,bearmarketinu,Liquidate HYUK,7,19,https://twitter.com/bearmarketinu/status/1596866582898442241,[],[],0,,False,3,1,0,,None,,,,,,,"[{'screen_name': 'hyuktrades', 'name': 'hyuk', 'id': '2566944355'}, {'screen_name': 'AKSL321', 'name': 'AceKSL | y00ted\uea00', 'id': '113721222'}, {'screen_name': 'DarkCryptoLord', 'name': 'Dark Crypto Lady 🦊', 'id': '150324112'}]",,,,
6,1596812301897564161,1596690165598388225,1669544694000.0,2022-11-27 15:54:54,+0530,,@hyuktrades @NachoTrades soon liquidation sire,en,[],[],1366375699368534017,1366375699368534017,bearmarketinu,Liquidate HYUK,7,15,https://twitter.com/bearmarketinu/status/1596812301897564161,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'hyuktrades', 'name': 'hyuk', 'id': '2566944355'}, {'screen_name': 'NachoTrades', 'name': 'Nacho Trades', 'id': '25071910'}]",,,,
7,1596635046764765184,1596466108277850112,1669502433000.0,2022-11-27 04:10:33,+0530,,"@forgain_z @GCRClassic @NachoTrades @hyuktrades if future, there are more plans to liquidate people like Sjeord",en,[],[],1366375699368534017,1366375699368534017,bearmarketinu,Liquidate HYUK,7,04,https://twitter.com/bearmarketinu/status/1596635046764765184,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'forgain_z', 'name': 'sombody.eth', 'id': '1121416338273124352'}, {'screen_name': 'GCRClassic', 'name': 'GCR', 'id': '1484112393361891328'}, {'screen_name': 'NachoTrades', 'name': 'Nacho Trades', 'id': '25071910'}, {'screen_name': 'hyuktrades', 'name': 'hyuk', 'id': '2566944355'}]",,,,
8,1596634675719524352,1596466108277850112,1669502345000.0,2022-11-27 04:09:05,+0530,,"@forgain_z @GCRClassic @NachoTrades @hyuktrades ""one for all and all for one""",en,[],[],1366375699368534017,1366375699368534017,bearmarketinu,Liquidate HYUK,7,04,https://twitter.com/bearmarketinu/status/1596634675719524352,[],[],0,,False,1,1,0,,None,,,,,,,"[{'screen_name': 'forgain_z', 'name': 'sombody.eth', 'id': '1121416338273124352'}, {'screen_name': 'GCRClassic', 'name': 'GCR', 'id': '1484112393361891328'}, {'screen_name': 'NachoTrades', 'name': 'Nacho Trades', 'id': '25071910'}, {'screen_name': 'hyuktrades', 'name': 'hyuk', 'id': '2566944355'}]",,,,
9,1596633847654862848,1596466108277850112,1669502147000.0,2022-11-27 04:05:47,+0530,,"@forgain_z @GCRClassic @NachoTrades @hyuktrades @hyuktrades  is very large whale, we need to be much stronger to liquidate him",en,[],[],1366375699368534017,1366375699368534017,bearmarketinu,Liquidate HYUK,7,04,https://twitter.com/bearmarketinu/status/1596633847654862848,[],[],0,,False,0,1,0,,None,,,,,,,"[{'screen_name': 'forgain_z', 'name': 'sombody.eth', 'id': '1121416338273124352'}, {'screen_name': 'GCRClassic', 'name': 'GCR', 'id': '1484112393361891328'}, {'screen_name': 'NachoTrades', 'name': 'Nacho Trades', 'id': '25071910'}, {'screen_name': 'hyuktrades', 'name': 'hyuk', 'id': '2566944355'}]",,,,
10,1596478083846094848,1596468616354226176,1669465010000.0,2022-11-26 17:46:50,+0530,,"@NachoTrades @PsyopzCapital sire I love you, it's a troll acc",en,[],[],1366375699368534017,1366375699368534017,bearmarketinu,Liquidate HYUK,6,17,https://twitter.com/bearmarketinu/status/1596478083846094848,[],[],0,,False,1,0,0,,None,,,,,,,"[{'screen_name': 'NachoTrades', 'name': 'Nacho Trades', 'id': '25071910'}, {'screen_name': 'PsyopzCapital', 'name': 'Psyops', 'id': '1588002844338184194'}]",,,,
11,1596473408736628736,1596473043919986690,1669463896000.0,2022-11-26 17:28:16,+0530,,@Tree_of_Alpha nice hope,en,[],[],1366375699368534017,1366375699368534017,bearmarketinu,Liquidate HYUK,6,17,https://twitter.com/bearmarketinu/status/1596473408736628736,[],[],0,,False,1,2,0,,None,,,,,,,"[{'screen_name': 'Tree_of_Alpha', 'name': 'Tree of Alpha', 'id': '1456327895866314753'}]",,,,
12,1596471100434944005,1596413325939822592,1669463345000.0,2022-11-26 17:19:05,+0530,,"@Tree_of_Alpha nice post tree, you're all good",en,[],[],1366375699368534017,1366375699368534017,bearmarketinu,Liquidate HYUK,6,17,https://twitter.com/bearmarketinu/status/1596471100434944005,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'Tree_of_Alpha', 'name': 'Tree of Alpha', 'id': '1456327895866314753'}]",,,,
13,1596470817726287872,1596467257110335488,1669463278000.0,2022-11-26 17:17:58,+0530,,"@0xGoogly @Tree_of_Alpha @hyuktrades nice job, dm be for job inquiry",en,[],[],1366375699368534017,1366375699368534017,bearmarketinu,Liquidate HYUK,6,17,https://twitter.com/bearmarketinu/status/1596470817726287872,[],[],0,,False,1,0,0,,None,,,,,,,"[{'screen_name': '0xGoogly', 'name': 'Googly', 'id': '1457997372055752704'}, {'screen_name': 'Tree_of_Alpha', 'name': 'Tree of Alpha', 'id': '1456327895866314753'}, {'screen_name': 'hyuktrades', 'name': 'hyuk', 'id': '2566944355'}]",,,,
14,1596470407854448641,1596470407854448641,1669463180000.0,2022-11-26 17:16:20,+0530,,#liquidatenacho #nachocleantoilets  https://t.co/msChxEIMpx,qme,"['liquidatenacho', 'nachocleantoilets']",[],1366375699368534017,1366375699368534017,bearmarketinu,Liquidate HYUK,6,17,https://twitter.com/bearmarketinu/status/1596470407854448641,[],['https://pbs.twimg.com/media/FifNTQLWAAEzQ-L.jpg'],1,https://pbs.twimg.com/media/FifNTQLWAAEzQ-L.jpg,False,6,2,0,,None,,,,,,,[],,,,
15,1596469340853137409,1596468616354226176,1669462926000.0,2022-11-26 17:12:06,+0530,,"@PsyopzCapital @NachoTrades dm me, it's important",en,[],[],1366375699368534017,1366375699368534017,bearmarketinu,Liquidate HYUK,6,17,https://twitter.com/bearmarketinu/status/1596469340853137409,[],[],0,,False,0,1,0,,None,,,,,,,"[{'screen_name': 'PsyopzCapital', 'name': 'Psyops', 'id': '1588002844338184194'}, {'screen_name': 'NachoTrades', 'name': 'Nacho Trades', 'id': '25071910'}]",,,,
16,1596468616354226176,1596468616354226176,1669462753000.0,2022-11-26 17:09:13,+0530,,"Hey @PsyopzCapital   Hi, would you like to cooperate to liquidate  @NachoTrades? Welcome to my army!",en,[],[],1366375699368534017,1366375699368534017,bearmarketinu,Liquidate HYUK,6,17,https://twitter.com/bearmarketinu/status/1596468616354226176,[],[],0,,False,0,1,0,,None,,,,,,,[],,,,
17,1596468356303192064,1596468356303192064,1669462691000.0,2022-11-26 17:08:11,+0530,,"@PsyopzCapital  Hi, would you like to cooperate to liquidate @NachoTrades ? Welcome to my army!",en,[],[],1366375699368534017,1366375699368534017,bearmarketinu,Liquidate HYUK,6,17,https://twitter.com/bearmarketinu/status/1596468356303192064,[],[],0,,False,0,0,0,,None,,,,,,,[],,,,
18,1596468033706393600,1596468033706393600,1669462614000.0,2022-11-26 17:06:54,+0530,,#nachocleantoilets,qht,['nachocleantoilets'],[],1366375699368534017,1366375699368534017,bearmarketinu,Liquidate HYUK,6,17,https://twitter.com/bearmarketinu/status/1596468033706393600,[],[],0,,False,0,0,0,,None,,,,,,,[],,,,
19,1596467405232148481,1596467257110335488,1669462464000.0,2022-11-26 17:04:24,+0530,,@hyuktrades watch out boy,en,[],[],1366375699368534017,1366375699368534017,bearmarketinu,Liquidate HYUK,6,17,https://twitter.com/bearmarketinu/status/1596467405232148481,[],[],0,,False,2,1,0,,None,,,,,,,"[{'screen_name': 'hyuktrades', 'name': 'hyuk', 'id': '2566944355'}]",,,,
20,1596467155951820800,1596466108277850112,1669462405000.0,2022-11-26 17:03:25,+0530,,@GCRClassic @NachoTrades tf guys follow to stay updated,en,[],[],1366375699368534017,1366375699368534017,bearmarketinu,Liquidate HYUK,6,17,https://twitter.com/bearmarketinu/status/1596467155951820800,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'GCRClassic', 'name': 'GCR', 'id': '1484112393361891328'}, {'screen_name': 'NachoTrades', 'name': 'Nacho Trades', 'id': '25071910'}]",,,,
21,1596466539641057280,1596444642232635392,1669462258000.0,2022-11-26 17:00:58,+0530,,@NachoTrades we will liquidate you next!,en,[],[],1366375699368534017,1366375699368534017,bearmarketinu,Liquidate HYUK,6,17,https://twitter.com/bearmarketinu/status/1596466539641057280,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'NachoTrades', 'name': 'Nacho Trades', 'id': '25071910'}]",,,,
22,1596466448809222144,1596462235668615168,1669462236000.0,2022-11-26 17:00:36,+0530,,@NachoTrades  https://t.co/Hz6sAjsOH2 you're next!,en,[],[],1366375699368534017,1366375699368534017,bearmarketinu,Liquidate HYUK,6,17,https://twitter.com/bearmarketinu/status/1596466448809222144,['https://twitter.com/bearmarketinu/status/1596466108277850112'],[],0,,False,2,1,0,https://twitter.com/bearmarketinu/status/1596466108277850112,None,,,,,,,"[{'screen_name': 'NachoTrades', 'name': 'Nacho Trades', 'id': '25071910'}]",,,,
23,1596466108277850112,1596466108277850112,1669462155000.0,2022-11-26 16:59:15,+0530,,"@GCRClassic has been liquidated and has stopped sharing calls! We have new plans, which is to liquidate @NachoTrades  More info coming soon",en,[],[],1366375699368534017,1366375699368534017,bearmarketinu,Liquidate HYUK,6,16,https://twitter.com/bearmarketinu/status/1596466108277850112,[],[],0,,False,1,3,0,,None,,,,,,,[],,,,
24,1595799133167689729,1595799133167689729,1669303136000.0,2022-11-24 20:48:56,+0530,,"#GCR is drowning with his bags,  #LIQUIDATEGCR taking revenge of $LUNC  https://t.co/DjxdjZM0DY",en,"['gcr', 'liquidategcr']",['lunc'],1366375699368534017,1366375699368534017,bearmarketinu,Liquidate HYUK,4,20,https://twitter.com/bearmarketinu/status/1595799133167689729,[],['https://pbs.twimg.com/media/FiVqnpQWAAMuDtV.png'],1,https://pbs.twimg.com/media/FiVqnpQWAAMuDtV.png,False,2,2,0,,None,,,,,,,[],,,,
25,1595072014917812224,1595042929269153794,1669129778000.0,2022-11-22 20:39:38,+0530,,@Tree_of_Alpha  https://t.co/E3yRf17gCv,qme,[],[],1366375699368534017,1366375699368534017,bearmarketinu,Liquidate HYUK,2,20,https://twitter.com/bearmarketinu/status/1595072014917812224,['https://twitter.com/bearmarketinu/status/1595071865894174726?s=46&t=91SENwjxDZWdlIa8nduhcw'],[],0,,False,0,0,0,https://twitter.com/bearmarketinu/status/1595071865894174726?s=46&t=91SENwjxDZWdlIa8nduhcw,None,,,,,,,"[{'screen_name': 'Tree_of_Alpha', 'name': 'Tree of Alpha', 'id': '1456327895866314753'}]",,,,
26,1595071865894174726,1595071865894174726,1669129742000.0,2022-11-22 20:39:02,+0530,,#Avi has been liquidated by our army aka $CRV 3m$ liquidated   We’re waiting for GCR’s next position!,en,['avi'],['crv'],1366375699368534017,1366375699368534017,bearmarketinu,Liquidate HYUK,2,20,https://twitter.com/bearmarketinu/status/1595071865894174726,[],[],0,,False,0,0,0,,None,,,,,,,[],,,,
27,1594716992178716677,1594716992178716677,1669045134000.0,2022-11-21 21:08:54,+0530,,#GCR being hysterical about our #liquidategcr raid. Prepare your moolah boy'  https://t.co/kuAEWUNF5Z,en,"['gcr', 'liquidategcr']",[],1366375699368534017,1366375699368534017,bearmarketinu,Liquidate HYUK,1,21,https://twitter.com/bearmarketinu/status/1594716992178716677,[],['https://pbs.twimg.com/media/FiGRmtgXEAE_U_8.png'],1,https://pbs.twimg.com/media/FiGRmtgXEAE_U_8.png,False,2,2,0,,None,,,,,,,[],,,,
28,1594713602111537153,1594703582330507264,1669044325000.0,2022-11-21 20:55:25,+0530,,@0xG00gly @GCRClassic Looking forward to liquidate some asses again 🙏,en,[],[],1366375699368534017,1366375699368534017,bearmarketinu,Liquidate HYUK,1,20,https://twitter.com/bearmarketinu/status/1594713602111537153,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'GCRClassic', 'name': 'GCR', 'id': '1484112393361891328'}]",,,,
29,1594712829969694720,1594703582330507264,1669044141000.0,2022-11-21 20:52:21,+0530,,"@GCRClassic If you dare to Long $BTC, our army will dump Bitcoin, Waiting for your move Mr GOKE...CR",en,[],['btc'],1366375699368534017,1366375699368534017,bearmarketinu,Liquidate HYUK,1,20,https://twitter.com/bearmarketinu/status/1594712829969694720,[],[],0,,False,0,1,0,,None,,,,,,,"[{'screen_name': 'GCRClassic', 'name': 'GCR', 'id': '1484112393361891328'}]",,,,
30,1594456934530179072,1594452788179763206,1668983131000.0,2022-11-21 03:55:31,+0530,,"@RunnerXBT the allegiance was not enough, still looking forward to sharing an ugly one. (ugly as GCR portfolio)",en,[],[],1366375699368534017,1366375699368534017,bearmarketinu,Liquidate HYUK,1,03,https://twitter.com/bearmarketinu/status/1594456934530179072,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'RunnerXBT', 'name': 'Runner', 'id': '5705402'}]",,,,
31,1594456184982937600,1594000327619280897,1668982952000.0,2022-11-21 03:52:32,+0530,,@TheVultureTrade $LUNC army with us too  https://t.co/i74TJ8XBaS,en,[],['lunc'],1366375699368534017,1366375699368534017,bearmarketinu,Liquidate HYUK,1,03,https://twitter.com/bearmarketinu/status/1594456184982937600,[],['https://pbs.twimg.com/media/FiClZQNWAAAojvn.png'],1,https://pbs.twimg.com/media/FiClZQNWAAAojvn.png,False,0,1,0,,None,,,,,,,"[{'screen_name': 'TheVultureTrade', 'name': '🦅TheVultureTrade🦅', 'id': '1526163834821558272'}]",,,,
32,1594455511889477635,1594452788179763206,1668982792000.0,2022-11-21 03:49:52,+0530,,"@RunnerXBT That's sexy, not really ugly",en,[],[],1366375699368534017,1366375699368534017,bearmarketinu,Liquidate HYUK,1,03,https://twitter.com/bearmarketinu/status/1594455511889477635,[],[],0,,False,0,1,0,,None,,,,,,,"[{'screen_name': 'RunnerXBT', 'name': 'Runner', 'id': '5705402'}]",,,,
33,1594455028932263936,1594000327619280897,1668982677000.0,2022-11-21 03:47:57,+0530,,@TheVultureTrade You birds are going to get liquidated,en,[],[],1366375699368534017,1366375699368534017,bearmarketinu,Liquidate HYUK,1,03,https://twitter.com/bearmarketinu/status/1594455028932263936,[],[],0,,False,0,1,0,,None,,,,,,,"[{'screen_name': 'TheVultureTrade', 'name': '🦅TheVultureTrade🦅', 'id': '1526163834821558272'}]",,,,
