,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1599862271013883904,1599861612311064576,1670271864000.0,2022-12-06 01:54:24,+0530,,@CryptoGay613 @pudgypenguins Something,en,[],[],1686528452,1686528452,bittybags,Daniela,2,01,https://twitter.com/bittybags/status/1599862271013883904,[],[],0,,False,3,0,0,,None,,,,,,,"[{'screen_name': 'CryptoGay613', 'name': '🐧lolipop 🏳️\u200d🌈', 'id': '1423340580331945986'}, {'screen_name': 'pudgypenguins', 'name': 'Pudgy Penguins', 'id': '1415078650039443456'}]",,,,
1,1599839821698314240,1599833156856606721,1670266511000.0,2022-12-06 00:25:11,+0530,,@sauceror__  https://t.co/r0iVQw6dgt,qme,[],[],1686528452,1686528452,bittybags,Daniela,2,00,https://twitter.com/bittybags/status/1599839821698314240,[],['https://pbs.twimg.com/tweet_video_thumb/FjPF1eMXoAUGucV.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/FjPF1eMXoAUGucV.jpg,False,1,0,0,,None,,,,,,,[],,,,
2,1599833156856606721,1599833156856606721,1670264922000.0,2022-12-05 23:58:42,+0530,,"1,2 - Penguins coming for you 3,4- Better sweep the floor 5,6- Update your profile pics 7,8- Hurry, don't be late 9,10- Never poor again  https://t.co/j0Lffe5bcG",en,[],[],1686528452,1686528452,bittybags,Daniela,1,23,https://twitter.com/bittybags/status/1599833156856606721,[],['https://pbs.twimg.com/media/FjO_cLqWIAAVi1F.png'],1,https://pbs.twimg.com/media/FjO_cLqWIAAVi1F.png,False,59,6,14,,None,,,,,,,[],,,,
3,1599794072084152320,1599780862064660483,1670255604000.0,2022-12-05 21:23:24,+0530,, https://t.co/U55abTPixQ,zxx,[],[],1686528452,1686528452,bittybags,Daniela,1,21,https://twitter.com/bittybags/status/1599794072084152320,[],['https://pbs.twimg.com/media/FjOcOm0XwAIe0h4.jpg'],1,https://pbs.twimg.com/media/FjOcOm0XwAIe0h4.jpg,False,3,0,0,,None,,,,,,,[],,,,
4,1599786689186045952,1599780862064660483,1670253843000.0,2022-12-05 20:54:03,+0530,,"@ActuallyAgents This, but you saw the pic, right? It was the ghost from penguin past.",en,[],[],1686528452,1686528452,bittybags,Daniela,1,20,https://twitter.com/bittybags/status/1599786689186045952,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'ActuallyAgents', 'name': 'ActuallyAgents🐧', 'id': '1089250439269412864'}]",,,,
5,1599785737653653505,1599780862064660483,1670253617000.0,2022-12-05 20:50:17,+0530,,"@ActuallyAgents I was literally slimed, but it was invisible to the human eye.",en,[],[],1686528452,1686528452,bittybags,Daniela,1,20,https://twitter.com/bittybags/status/1599785737653653505,[],[],0,,False,4,1,0,,None,,,,,,,"[{'screen_name': 'ActuallyAgents', 'name': 'ActuallyAgents🐧', 'id': '1089250439269412864'}]",,,,
6,1599780862064660483,1599780862064660483,1670252454000.0,2022-12-05 20:30:54,+0530,,"Penguin party or the Upside Down? Nothing happened to my face and hair in this realm, but there…somepeng happened.  https://t.co/d3j73iUkzN",en,[],[],1686528452,1686528452,bittybags,Daniela,1,20,https://twitter.com/bittybags/status/1599780862064660483,[],"['https://pbs.twimg.com/media/FjOQNhFXoAAMoVR.jpg', 'https://pbs.twimg.com/media/FjOQNhGX0AIzWmx.jpg', 'https://pbs.twimg.com/media/FjOQNhFWIAAbTEa.jpg']",1,https://pbs.twimg.com/media/FjOQNhFXoAAMoVR.jpg,False,43,4,1,,None,,,,,,,[],,,,
7,1599778380899311618,1599777367538352130,1670251863000.0,2022-12-05 20:21:03,+0530,,@The_Bogfather This is my Witchmas. Cannot wait.,en,[],[],1686528452,1686528452,bittybags,Daniela,1,20,https://twitter.com/bittybags/status/1599778380899311618,[],[],0,,False,8,1,0,,None,,,,,,,"[{'screen_name': 'The_Bogfather', 'name': 'Rogfather INFA| 🐧', 'id': '261050605'}]",,,,
8,1599745414986858497,1599745414986858497,1670244003000.0,2022-12-05 18:10:03,+0530,,Former FTX customer here. Protecting fraudsters like SBF because they made donations to you and your colleagues is corruption. Innocent people lost their livelihoods so you could cash in at their expense. You and the gov’t aren’t treating us with dignity whatsoever.,en,[],[],1686528452,1686528452,bittybags,Daniela,1,18,https://twitter.com/bittybags/status/1599745414986858497,[],[],0,,False,15,1,0,https://twitter.com/ewarren/status/1599493766674812930,None,,,,,,,[],,,,
9,1599609963340394496,1599606473700835328,1670211709000.0,2022-12-05 09:11:49,+0530,,@SqueezeTaxes @KinkyBedBugs @LILPUDGYS @pudgypenguins Dreez for real was the Secret Santa of this week. Let us not forget how he also came through for @nftcarrot when his travel plans went berserks. NO PENG LEFT BEHIND and he means it ❤️🥰❤️🥰🐧,en,[],[],1686528452,1686528452,bittybags,Daniela,1,09,https://twitter.com/bittybags/status/1599609963340394496,[],[],0,,False,6,1,2,,None,,,,,,,"[{'screen_name': 'SqueezeTaxes', 'name': 'squeeze.ip 🛫 Miami 🏝 Nov. 28 - Dec. 3', 'id': '35071207'}, {'screen_name': 'KinkyBedBugs', 'name': 'FUDrick Douglas🍍', 'id': '1552403671509602304'}, {'screen_name': 'LILPUDGYS', 'name': 'LIL PUDGYS', 'id': '1468399496128532480'}, {'screen_name': 'pudgypenguins', 'name': 'Pudgy Penguins', 'id': '1415078650039443456'}]",,,,
