,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1599523721546706945,1599137490417635328,1670191147000.0,2022-12-05 03:29:07,+0530,,"@sriramk This is a good idea. Would be best in class transparency for social media. There would be a lot of scrutiny, but for decisions this important that probably aligns incentives well.",en,[],[],14379660,14379660,brian_armstrong,Brian Armstrong,1,03,https://twitter.com/brian_armstrong/status/1599523721546706945,[],[],0,,False,83,13,5,,None,,,,,,,"[{'screen_name': 'sriramk', 'name': 'Sriram Krishnan - sriramk.eth', 'id': '149763'}]",,,,
1,1599503915271467008,1599402199783653376,1670186425000.0,2022-12-05 02:10:25,+0530,,@BillAckman That's not the case with Coinbase (and many of the other custodians). See  https://t.co/bEVzDj1bQf,en,[],[],14379660,14379660,brian_armstrong,Brian Armstrong,1,02,https://twitter.com/brian_armstrong/status/1599503915271467008,['https://twitter.com/iampaulgrewal/status/1599487529061085184'],[],0,,False,357,18,22,https://twitter.com/iampaulgrewal/status/1599487529061085184,None,,,,,,,"[{'screen_name': 'BillAckman', 'name': 'Bill Ackman', 'id': '880412538625810432'}]",,,,
2,1599477492418760704,1599461195005587456,1670180125000.0,2022-12-05 00:25:25,+0530,,"@sama It's an incredible achievement, and you all should be super proud of it - nothing but 100% support/excitement here.  Also, for having the guts to put it out publicly - that is perhaps under appreciated here.",en,[],[],14379660,14379660,brian_armstrong,Brian Armstrong,1,00,https://twitter.com/brian_armstrong/status/1599477492418760704,[],[],0,,False,203,9,7,,None,,,,,,,"[{'screen_name': 'sama', 'name': 'Sam Altman', 'id': '1605'}]",,,,
3,1599161095176192002,1599161095176192002,1670104690000.0,2022-12-04 03:28:10,+0530,,"We completely agree, @SenSherrodBrown – comprehensive crypto legislation is needed to protect consumers, drive innovation, and preserve American technological leadership.   https://t.co/XbjdN9dUsu",en,[],[],14379660,14379660,brian_armstrong,Brian Armstrong,7,03,https://twitter.com/brian_armstrong/status/1599161095176192002,['https://www.brown.senate.gov/newsroom/press/release/sherrod-brown-to-treasury-we-need-to-work-together-on-crypto-legislation'],[],0,,False,450,80,68,,None,,,,,,,[],,,,
4,1599159976421097472,1599159873232842758,1670104423000.0,2022-12-04 03:23:43,+0530,,"It's stolen customer money used in his hedge fund, plain and simple.",en,[],[],14379660,14379660,brian_armstrong,Brian Armstrong,7,03,https://twitter.com/brian_armstrong/status/1599159976421097472,[],[],0,,False,12455,338,1146,,None,,,,,,,[],,,,
5,1599159873232842758,1599159873232842758,1670104399000.0,2022-12-04 03:23:19,+0530,,I don't care how messy your accounting is (or how rich you are) - you're definitely going to notice if you find an extra $8B to spend.  Even the most gullible person should not believe Sam's claim that this was an accounting error.,en,[],[],14379660,14379660,brian_armstrong,Brian Armstrong,7,03,https://twitter.com/brian_armstrong/status/1599159873232842758,[],[],0,,False,30073,837,3952,,None,,,,,,,[],,,,
6,1598575939340095488,1598575939340095488,1669965178000.0,2022-12-02 12:42:58,+0530,,"Agree, very important to have a safe mode you can turn off on these models.  We need insightful truths not kid gloves.",en,[],[],14379660,14379660,brian_armstrong,Brian Armstrong,5,12,https://twitter.com/brian_armstrong/status/1598575939340095488,[],[],0,,False,198,77,17,https://twitter.com/sama/status/1598481211852476417,None,,,,,,,[],,,,
7,1598509714991910912,1598509714991910912,1669949389000.0,2022-12-02 08:19:49,+0530,,Wow - quite good,en,[],[],14379660,14379660,brian_armstrong,Brian Armstrong,5,08,https://twitter.com/brian_armstrong/status/1598509714991910912,[],[],0,,False,530,132,62,https://twitter.com/petejkim/status/1598484476501413891,None,,,,,,,[],,,,
8,1598509517192728576,1598428458354352136,1669949342000.0,2022-12-02 08:19:02,+0530,,"@hblodget @elonmusk 🙏 tough to convey tone over text, so thank you - I originally had an exclamation point in there that was unnecessary and i deleted it - not sure if it helped",en,[],[],14379660,14379660,brian_armstrong,Brian Armstrong,5,08,https://twitter.com/brian_armstrong/status/1598509517192728576,[],[],0,,False,65,9,3,,None,,,,,,,"[{'screen_name': 'hblodget', 'name': 'Henry Blodget', 'id': '6730222'}, {'screen_name': 'elonmusk', 'name': 'Elon Musk', 'id': '44196397'}]",,,,
9,1598426813247950848,1598407671987798034,1669929624000.0,2022-12-02 02:50:24,+0530,,@hblodget Also - companies like Coinbase have been calling for clear rules and regulations for centralized exchanges and custodians for some time.  Here is one small example of that:  https://t.co/LO2lbcV6K7,en,[],[],14379660,14379660,brian_armstrong,Brian Armstrong,5,02,https://twitter.com/brian_armstrong/status/1598426813247950848,['https://www.sec.gov/rules/petitions/2022/petn4-789.pdf'],[],0,,False,52,2,0,,None,,,,,,,"[{'screen_name': 'hblodget', 'name': 'Henry Blodget', 'id': '6730222'}]",,,,
