,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1599874803153784832,1599845282732453888,1670274851000.0,2022-12-06 02:44:11,+0530,,@cryptocoyne Lmfao,en,[],[],234101621,234101621,dm2m00n,WØØrd of DeG◎d (33.3%),2,02,https://twitter.com/dm2m00n/status/1599874803153784832,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'cryptocoyne', 'name': 'Keith Coyne', 'id': '957055339320545281'}]",,,,
1,1599845282732453888,1599845282732453888,1670267813000.0,2022-12-06 00:46:53,+0530,,Brazil scoring hits different,en,[],[],234101621,234101621,dm2m00n,WØØrd of DeG◎d (33.3%),2,00,https://twitter.com/dm2m00n/status/1599845282732453888,[],[],0,,False,3,1,0,,None,,,,,,,[],,,,
2,1599830170902622208,1599673556379394048,1670264210000.0,2022-12-05 23:46:50,+0530,,@frankdegods Wen more free stuff you assholes?,en,[],[],234101621,234101621,dm2m00n,WØØrd of DeG◎d (33.3%),1,23,https://twitter.com/dm2m00n/status/1599830170902622208,[],[],0,,False,1,0,0,,None,,,,,,,"[{'screen_name': 'frankdegods', 'name': 'Frank', 'id': '1441835930889818113'}]",,,,
3,1599829414388281344,1599829414388281344,1670264030000.0,2022-12-05 23:43:50,+0530,,Got my tree up  https://t.co/z1RVaCgclD,en,[],[],234101621,234101621,dm2m00n,WØØrd of DeG◎d (33.3%),1,23,https://twitter.com/dm2m00n/status/1599829414388281344,[],['https://pbs.twimg.com/media/FjO8X6RXoAAjJr_.jpg'],1,https://pbs.twimg.com/media/FjO8X6RXoAAjJr_.jpg,False,23,3,3,,None,,,,,,,[],,,,
4,1599592747890974720,1599581829727543296,1670207604000.0,2022-12-05 08:03:24,+0530,,@technotechkid ❤️🔥🤝,und,[],[],234101621,234101621,dm2m00n,WØØrd of DeG◎d (33.3%),1,08,https://twitter.com/dm2m00n/status/1599592747890974720,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'technotechkid', 'name': 'MetaJittⓎ (33.3%)', 'id': '1273297834587103235'}]",,,,
5,1599581831984472066,1599581829727543296,1670205002000.0,2022-12-05 07:20:02,+0530,,1. i don't like money 2. i hate amazing communities 3. i despise innovation 4. incredible art sucks 5. i believe repeated FUD by haters that missed out 6. i have lost my motherfcking mind  2/2,en,[],[],234101621,234101621,dm2m00n,WØØrd of DeG◎d (33.3%),1,07,https://twitter.com/dm2m00n/status/1599581831984472066,[],[],0,,False,46,4,2,,None,,,,,,,[],,,,
6,1599581829727543296,1599581829727543296,1670205001000.0,2022-12-05 07:20:01,+0530,,Time for a thread.  Reasons why i am flooring all my @DeGodsNFT   1/2,en,[],[],234101621,234101621,dm2m00n,WØØrd of DeG◎d (33.3%),1,07,https://twitter.com/dm2m00n/status/1599581829727543296,[],[],0,,False,36,7,2,,None,,,,,,,[],,,,
7,1599580544957706240,1599580544957706240,1670204695000.0,2022-12-05 07:14:55,+0530,,Sunday night DeSweep @DeGodsNFT  🧹🧹🧹  https://t.co/IJrDCEQM1H,en,[],[],234101621,234101621,dm2m00n,WØØrd of DeG◎d (33.3%),1,07,https://twitter.com/dm2m00n/status/1599580544957706240,[],['https://pbs.twimg.com/media/FjLZzICXEAAOSAg.jpg'],1,https://pbs.twimg.com/media/FjLZzICXEAAOSAg.jpg,False,12,1,0,,None,,,,,,,[],,,,
8,1599579933088436224,1599568912748019712,1670204549000.0,2022-12-05 07:12:29,+0530,,@frostyxsol @DeGodsNFT holy fck. will try and do better. gimme a minute,en,[],[],234101621,234101621,dm2m00n,WØØrd of DeG◎d (33.3%),1,07,https://twitter.com/dm2m00n/status/1599579933088436224,[],[],0,,False,1,1,0,,None,,,,,,,"[{'screen_name': 'frostyxsol', 'name': 'Frosty Unhinged', 'id': '1498609054163161088'}, {'screen_name': 'DeGodsNFT', 'name': 'DeGods III', 'id': '1375234369636331522'}]",,,,
9,1599574138334588928,1599568912748019712,1670203167000.0,2022-12-05 06:49:27,+0530,,@frostyxsol @DeGodsNFT please don't block me brother,en,[],[],234101621,234101621,dm2m00n,WØØrd of DeG◎d (33.3%),1,06,https://twitter.com/dm2m00n/status/1599574138334588928,[],[],0,,False,1,1,0,,None,,,,,,,"[{'screen_name': 'frostyxsol', 'name': 'Frosty Unhinged', 'id': '1498609054163161088'}, {'screen_name': 'DeGodsNFT', 'name': 'DeGods III', 'id': '1375234369636331522'}]",,,,
