,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1599879262512812033,1599879262512812033,1670275915000.0,2022-12-06 03:01:55,+0530,,Crypto Lender Celsius to Give Millions in Bonuses to Stem Exodus  $CEL $CELH,en,[],"['cel', 'celh']",1590623324509454337,1590623324509454337,effect2domino,Domino Effect,2,03,https://twitter.com/effect2domino/status/1599879262512812033,[],[],0,,False,1,0,1,,None,,,,,,,[],,,,
1,1599878261047189505,1599878261047189505,1670275676000.0,2022-12-06 02:57:56,+0530,,"SILVERGATE: CONDUCTED EXTENSIVE DUE DILIGENCE ON #FTX, ALAMEDA",es,['ftx'],[],1590623324509454337,1590623324509454337,effect2domino,Domino Effect,2,02,https://twitter.com/effect2domino/status/1599878261047189505,[],[],0,,False,0,0,0,,None,,,,,,,[],,,,
2,1599876478514126860,1599876478514126860,1670275251000.0,2022-12-06 02:50:51,+0530,,SILVERGATE CAPITAL CORP - SILVERGATE CONDUCTED SIGNIFICANT DUE DILIGENCE ON #FTX AND ITS RELATED ENTITIES INCLUDING ALAMEDA RESEARCH  $SI,en,['ftx'],['si'],1590623324509454337,1590623324509454337,effect2domino,Domino Effect,2,02,https://twitter.com/effect2domino/status/1599876478514126860,[],[],0,,False,1,0,1,,None,,,,,,,[],,,,
3,1599869168626581504,1599869168626581504,1670273508000.0,2022-12-06 02:21:48,+0530,,#Binance Sees 30% Increase in Trading Activity Amid #FTX Implosion  $BNB $WBNB $BUSD,en,"['binance', 'ftx']","['bnb', 'wbnb', 'busd']",1590623324509454337,1590623324509454337,effect2domino,Domino Effect,2,02,https://twitter.com/effect2domino/status/1599869168626581504,[],[],0,,False,1,0,1,,None,,,,,,,[],,,,
4,1599863819269988366,1599863819269988366,1670272233000.0,2022-12-06 02:00:33,+0530,,#Coinbase CEO Brian Armstrong says it's 'baffling' that Sam Bankman-Fried isn't in custody  $COIN,en,['coinbase'],['coin'],1590623324509454337,1590623324509454337,effect2domino,Domino Effect,2,02,https://twitter.com/effect2domino/status/1599863819269988366,[],[],0,,False,0,0,0,,None,,,,,,,[],,,,
5,1599861636554231811,1599861636554231811,1670271712000.0,2022-12-06 01:51:52,+0530,,MAXINE WATERS SAYS IT IS CLEAR THAT THE INFORMATION FORMER #FTX CEO BANKMAN-FRIED HAS THUS FAR IS SUFFICIENT FOR TESTIMONY - TWEET,en,['ftx'],[],1590623324509454337,1590623324509454337,effect2domino,Domino Effect,2,01,https://twitter.com/effect2domino/status/1599861636554231811,[],[],0,,False,1,1,1,,None,,,,,,,[],,,,
6,1599856203965861934,1599856203965861934,1670270417000.0,2022-12-06 01:30:17,+0530,,"Even the Winklevoss twins aren't immune to the crypto crisis, with $900M of their customers' money frozen in wake of #FTX collaps",en,['ftx'],[],1590623324509454337,1590623324509454337,effect2domino,Domino Effect,2,01,https://twitter.com/effect2domino/status/1599856203965861934,[],[],0,,False,0,0,0,,None,,,,,,,[],,,,
7,1599856022696431650,1599856022696431650,1670270374000.0,2022-12-06 01:29:34,+0530,,Transcript: Brad Delong on #FTX and the South Sea Company,en,['ftx'],[],1590623324509454337,1590623324509454337,effect2domino,Domino Effect,2,01,https://twitter.com/effect2domino/status/1599856022696431650,[],[],0,,False,0,0,0,,None,,,,,,,[],,,,
8,1599852795573805061,1599852795573805061,1670269604000.0,2022-12-06 01:16:44,+0530,,Crypto Lender #Nexo to Exit US After Regulatory Scrutiny (1)  $NEXO,en,['nexo'],['nexo'],1590623324509454337,1590623324509454337,effect2domino,Domino Effect,2,01,https://twitter.com/effect2domino/status/1599852795573805061,[],[],0,,False,0,0,0,,None,,,,,,,[],,,,
9,1599852558536871940,1599852558536871940,1670269548000.0,2022-12-06 01:15:48,+0530,,"Why do people invest in crypto? 'It's partly fraud and partly delusion,' says Charlie Munger.",en,[],[],1590623324509454337,1590623324509454337,effect2domino,Domino Effect,2,01,https://twitter.com/effect2domino/status/1599852558536871940,[],[],0,,False,0,0,0,,None,,,,,,,[],,,,
