,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1599878104159133697,1599836445027422208,1670275638000.0,2022-12-06 02:57:18,+0530,,@MoneyDuke2035 do you mean that they would have to be insolvent for price to go that low? what if it's simply a sharp #bitcoin drop into htf support that gets recovered quickly?  cheers brother,en,['bitcoin'],[],1355550928347295747,1355550928347295747,fewseethis,few,2,02,https://twitter.com/fewseethis/status/1599878104159133697,[],[],0,,False,1,1,0,,None,,,,,,,"[{'screen_name': 'MoneyDuke2035', 'name': 'Money Duke', 'id': '1596235687380062212'}]",,,,
1,1599877806569058304,1599836445027422208,1670275568000.0,2022-12-06 02:56:08,+0530,,@Gorolorog i've laid out my #bitcoin plan many times - basically i'm buying htf support (i have bids all the way down to $9k in case of a wick) or a bottoming formation to develop.  cheers,en,['bitcoin'],[],1355550928347295747,1355550928347295747,fewseethis,few,2,02,https://twitter.com/fewseethis/status/1599877806569058304,[],[],0,,False,1,0,0,,None,,,,,,,"[{'screen_name': 'Gorolorog', 'name': 'Daniel', 'id': '1200083435546656768'}]",,,,
2,1599836445027422208,1599836445027422208,1670265706000.0,2022-12-06 00:11:46,+0530,,where my $mara buys are  https://t.co/cHmYn8V110,en,[],['mara'],1355550928347295747,1355550928347295747,fewseethis,few,2,00,https://twitter.com/fewseethis/status/1599836445027422208,[],['https://pbs.twimg.com/media/FjPCgj6XwAccpzk.png'],1,https://pbs.twimg.com/media/FjPCgj6XwAccpzk.png,False,14,3,2,,None,,,,,,,[],,,,
3,1599824322293424128,1599824322293424128,1670262816000.0,2022-12-05 23:23:36,+0530,,"$link pa has been range bound since MAY while #bitcoin  had not just 1 but 2 capitulation events since, making new lows each time.  relative strength and a number of easy setups: bottom of the range is DEMAND, and a clean range breakout + acceptance outside is also a good trade.  https://t.co/DOKuo1ZnCw",en,['bitcoin'],['link'],1355550928347295747,1355550928347295747,fewseethis,few,1,23,https://twitter.com/fewseethis/status/1599824322293424128,[],['https://pbs.twimg.com/media/FjO3IPmWAAAfESp.png'],1,https://pbs.twimg.com/media/FjO3IPmWAAAfESp.png,False,19,1,0,,None,,,,,,,[],,,,
4,1599817836636971008,1599817836636971008,1670261270000.0,2022-12-05 22:57:50,+0530,,stonks continue to trend downward in a very technical  and orderly manner  to play a macro bottom (so outside of low time frames or mid time frames setups) we're looking for a major bottoming pattern or a wild disorderly deep capitulation  neither has happened yet  $es1! chart 👀  https://t.co/LECFGcb1pS,en,[],[],1355550928347295747,1355550928347295747,fewseethis,few,1,22,https://twitter.com/fewseethis/status/1599817836636971008,[],['https://pbs.twimg.com/media/FjOwmbQWIAAmaxY.png'],1,https://pbs.twimg.com/media/FjOwmbQWIAAmaxY.png,False,22,3,2,,None,,,,,,,[],,,,
5,1599800197978411009,1599800197978411009,1670257064000.0,2022-12-05 21:47:44,+0530,,#bitcoin pointing to more downside this week so we go with that flow.  i'll post updates if anything changes so stay tuned!  see charts with notes 👀  https://t.co/Hqs6QSn0bL,en,['bitcoin'],[],1355550928347295747,1355550928347295747,fewseethis,few,1,21,https://twitter.com/fewseethis/status/1599800197978411009,[],"['https://pbs.twimg.com/media/FjOhABHXwAMwcLG.png', 'https://pbs.twimg.com/media/FjOhABEXEAI1FNq.png']",1,https://pbs.twimg.com/media/FjOhABHXwAMwcLG.png,False,23,3,0,,None,,,,,,,[],,,,
6,1599442662926393344,1598822090345308160,1670171821000.0,2022-12-04 22:07:01,+0530,,@panz_er @CanteringClark doesn't really matter how we call it but the fact is that it is a 1st in bitcoin's history.  how is it actionable? example: on high time frame this is a severe range breakdown so IF price reclaims the range = we can consider the bottom to be in and switch macro bullish.  cheers,en,[],[],1355550928347295747,1355550928347295747,fewseethis,few,7,22,https://twitter.com/fewseethis/status/1599442662926393344,[],[],0,,False,3,1,0,,None,,,,,,,"[{'screen_name': 'panz_er', 'name': 'epas', 'id': '1417837781741674497'}, {'screen_name': 'CanteringClark', 'name': 'Clark', 'id': '936224248586211329'}]",,,,
7,1599438543914676225,1598822090345308160,1670170839000.0,2022-12-04 21:50:39,+0530,,@CanteringClark also 1st time in history a monthly candle spiked the previous month's high and ended up closing below the previous month's low for a true engulfing  https://t.co/oD7CAJvyNW,en,[],[],1355550928347295747,1355550928347295747,fewseethis,few,7,21,https://twitter.com/fewseethis/status/1599438543914676225,['https://twitter.com/fewseethis/status/1599434985257447424'],[],0,,False,7,2,0,https://twitter.com/fewseethis/status/1599434985257447424,None,,,,,,,"[{'screen_name': 'CanteringClark', 'name': 'Clark', 'id': '936224248586211329'}]",,,,
8,1599436488936026112,1599213275316506624,1670170349000.0,2022-12-04 21:42:29,+0530,,*NOVEMBER  obviously...,en,[],[],1355550928347295747,1355550928347295747,fewseethis,few,7,21,https://twitter.com/fewseethis/status/1599436488936026112,[],[],0,,False,10,0,0,,None,,,,,,,[],,,,
9,1599436316646592512,1599213275316506624,1670170308000.0,2022-12-04 21:41:48,+0530,,@EmilWGur sorry brother - i obviously meant november,en,[],[],1355550928347295747,1355550928347295747,fewseethis,few,7,21,https://twitter.com/fewseethis/status/1599436316646592512,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'EmilWGur', 'name': 'x Rundr', 'id': '1465770321844260875'}]",,,,
