,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1599817124293185536,1599788967934631937,1670261100000.0,2022-12-05 22:55:00,+0530,,@tradertuur 💯,und,[],[],1534520538164502533,1534520538164502533,karl_0x,Karl,1,22,https://twitter.com/karl_0x/status/1599817124293185536,[],[],0,,False,0,1,0,,None,,,,,,,"[{'screen_name': 'tradertuur', 'name': 'Arturo', 'id': '984906552304861184'}]",,,,
1,1599814959520575489,1599788967934631937,1670260584000.0,2022-12-05 22:46:24,+0530,,@tradertuur yeah true…,en,[],[],1534520538164502533,1534520538164502533,karl_0x,Karl,1,22,https://twitter.com/karl_0x/status/1599814959520575489,[],[],0,,False,1,1,0,,None,,,,,,,"[{'screen_name': 'tradertuur', 'name': 'Arturo', 'id': '984906552304861184'}]",,,,
2,1599813772918460416,1599788967934631937,1670260301000.0,2022-12-05 22:41:41,+0530,,@tradertuur theres this behavior too which im also heavily against...    https://t.co/oBmuLUQimL,en,[],[],1534520538164502533,1534520538164502533,karl_0x,Karl,1,22,https://twitter.com/karl_0x/status/1599813772918460416,['https://twitter.com/hyuktrades/status/1598627433091141632'],[],0,,False,2,1,0,https://twitter.com/hyuktrades/status/1598627433091141632,None,,,,,,,"[{'screen_name': 'tradertuur', 'name': 'Arturo', 'id': '984906552304861184'}]",,,,
3,1599804453468504067,1599804453468504067,1670258079000.0,2022-12-05 22:04:39,+0530,,"information flow (news/narratives) is the most important thing you should care about when trading crypto  any major event, from shitcoins to nfts, had some catalyst behind it   misunderstanding this is a fatal mistake, and also the first step to become a losing gambler",en,[],[],1534520538164502533,1534520538164502533,karl_0x,Karl,1,22,https://twitter.com/karl_0x/status/1599804453468504067,[],[],0,,False,62,3,6,,None,,,,,,,[],,,,
4,1599801950870306818,1599788967934631937,1670257482000.0,2022-12-05 21:54:42,+0530,,"@tradertuur by fading i mean not interacting w it at all, regardless of the direction  shorting a ""narratives-driven"" pump is doing narratives trading in some sense",en,[],[],1534520538164502533,1534520538164502533,karl_0x,Karl,1,21,https://twitter.com/karl_0x/status/1599801950870306818,[],[],0,,False,5,1,0,,None,,,,,,,"[{'screen_name': 'tradertuur', 'name': 'Arturo', 'id': '984906552304861184'}]",,,,
5,1599801253403381761,1599788967934631937,1670257316000.0,2022-12-05 21:51:56,+0530,,"@tradertuur hm... to a certain point anything in crypto is narrative/news driven, from shitcoins to nfts  information flow is key for discretionary trading  so unless you're doing systematic trading, fading them  is massively -EV imo",en,[],[],1534520538164502533,1534520538164502533,karl_0x,Karl,1,21,https://twitter.com/karl_0x/status/1599801253403381761,[],[],0,,False,11,1,0,,None,,,,,,,"[{'screen_name': 'tradertuur', 'name': 'Arturo', 'id': '984906552304861184'}]",,,,
6,1599400130737623041,1599398687360561152,1670161681000.0,2022-12-04 19:18:01,+0530,,"@thedefivillain yeah, shilled $NEAR at the top iirc",en,[],['near'],1534520538164502533,1534520538164502533,karl_0x,Karl,7,19,https://twitter.com/karl_0x/status/1599400130737623041,[],[],0,,False,13,3,0,,None,,,,,,,"[{'screen_name': 'thedefivillain', 'name': 'VIKTOR', 'id': '1522870521414787072'}]",,,,
7,1599069759349305344,1599066893230301184,1670082914000.0,2022-12-03 21:25:14,+0530,,@0xMinerva this,en,[],[],1534520538164502533,1534520538164502533,karl_0x,Karl,6,21,https://twitter.com/karl_0x/status/1599069759349305344,[],[],0,,False,1,1,0,,None,,,,,,,"[{'screen_name': '0xMinerva', 'name': 'Minerva', 'id': '1448250601968648200'}]",,,,
8,1599039033803669504,1599038829297430529,1670075589000.0,2022-12-03 19:23:09,+0530,,@hyuktrades just the same 50 traders pvping each other,en,[],[],1534520538164502533,1534520538164502533,karl_0x,Karl,6,19,https://twitter.com/karl_0x/status/1599039033803669504,[],[],0,,False,24,1,0,,None,,,,,,,"[{'screen_name': 'hyuktrades', 'name': 'hyuk', 'id': '2566944355'}]",,,,
9,1598954779476078592,1597342698423582720,1670055501000.0,2022-12-03 13:48:21,+0530,,@Gold_Cryptoz just kidding 😂,en,[],[],1534520538164502533,1534520538164502533,karl_0x,Karl,6,13,https://twitter.com/karl_0x/status/1598954779476078592,[],[],0,,False,1,0,0,,None,,,,,,,"[{'screen_name': 'Gold_Cryptoz', 'name': 'GOLD', 'id': '1294013685451563008'}]",,,,
