,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1599751497788452864,1599706704723120128,1670245453000.0,2022-12-05 18:34:13,+0530,,@CryptoCred @cobie @benbybit @Bybit_Official WAKE UP WAKEUP GRAB A BRUSH AND PUT A LITTLE MAKEUP HIDE THE SCARS TO FADE AWAY THE SHAKEUP,en,[],[],2603525726,2603525726,loomdart,loomdart,1,18,https://twitter.com/loomdart/status/1599751497788452864,[],[],0,,False,34,4,0,,None,,,,,,,"[{'screen_name': 'CryptoCred', 'name': 'Cred', 'id': '899558268795842561'}, {'screen_name': 'cobie', 'name': 'Cobie', 'id': '2259434528'}, {'screen_name': 'benbybit', 'name': 'Ben Zhou', 'id': '1100932506193260544'}, {'screen_name': 'Bybit_Official', 'name': 'Bybit', 'id': '999947328621395968'}]",,,,
1,1599694839762759681,1599694839762759681,1670231945000.0,2022-12-05 14:49:05,+0530,,Yes  You're right  There's no reason to buy bitcoin when it's cheap   You want to buy it when it's expensive and everyone wants it  #BOZO,en,['bozo'],[],2603525726,2603525726,loomdart,loomdart,1,14,https://twitter.com/loomdart/status/1599694839762759681,[],[],0,,False,250,24,8,,None,,,,,,,[],,,,
2,1599684099643703296,1599684099643703296,1670229384000.0,2022-12-05 14:06:24,+0530,,"""Empowering creators in web3"" meant just giving them money subsidised by VCs lol  Most are struggling harder now than they ever have   There's a better way to do this that's more sustainable and natural",en,[],[],2603525726,2603525726,loomdart,loomdart,1,14,https://twitter.com/loomdart/status/1599684099643703296,[],[],0,,False,52,11,3,,None,,,,,,,[],,,,
3,1599681273085464578,1599638040800264193,1670228710000.0,2022-12-05 13:55:10,+0530,,@smolsnip SER WE NEED IN BOUTIQUE,en,[],[],2603525726,2603525726,loomdart,loomdart,1,13,https://twitter.com/loomdart/status/1599681273085464578,[],[],0,,False,3,1,0,,None,,,,,,,"[{'screen_name': 'smolsnip', 'name': 'Crab', 'id': '1482211365540741124'}]",,,,
4,1599681037755301888,1599681037755301888,1670228654000.0,2022-12-05 13:54:14,+0530,,"We are at the ""blockchain tech doesn't work crypto is dead let's become enterprise chains"" part of the market  In fungibles and non fungibles",en,[],[],2603525726,2603525726,loomdart,loomdart,1,13,https://twitter.com/loomdart/status/1599681037755301888,[],[],0,,False,84,9,2,,None,,,,,,,[],,,,
5,1599669288272826369,1599669288272826369,1670225853000.0,2022-12-05 13:07:33,+0530,,btc gonna show people how narratived it can really get,en,[],[],2603525726,2603525726,loomdart,loomdart,1,13,https://twitter.com/loomdart/status/1599669288272826369,[],[],0,,False,160,28,5,,None,,,,,,,[],,,,
6,1599662413787254784,1599662413787254784,1670224214000.0,2022-12-05 12:40:14,+0530,,I don't own any coz Sam stole all my money but damn seeing ltc moon is cozy,en,[],[],2603525726,2603525726,loomdart,loomdart,1,12,https://twitter.com/loomdart/status/1599662413787254784,[],[],0,,False,108,12,5,,None,,,,,,,[],,,,
7,1599554279261745152,1599496661348208640,1670198433000.0,2022-12-05 05:30:33,+0530,,@wasserpest  https://t.co/yJ19ximNZ8,qme,[],[],2603525726,2603525726,loomdart,loomdart,1,05,https://twitter.com/loomdart/status/1599554279261745152,[],['https://pbs.twimg.com/media/FjLCI8wWQAcnsEl.jpg'],1,https://pbs.twimg.com/media/FjLCI8wWQAcnsEl.jpg,False,12,0,3,,None,,,,,,,[],,,,
8,1599553189728043009,1599496661348208640,1670198173000.0,2022-12-05 05:26:13,+0530,,@wasserpest  https://t.co/DagWPxM95D,qme,[],[],2603525726,2603525726,loomdart,loomdart,1,05,https://twitter.com/loomdart/status/1599553189728043009,[],['https://pbs.twimg.com/media/FjLBJjRWYAAPzBe.jpg'],1,https://pbs.twimg.com/media/FjLBJjRWYAAPzBe.jpg,False,25,2,1,,None,,,,,,,[],,,,
9,1599552347062951936,1599496661348208640,1670197972000.0,2022-12-05 05:22:52,+0530,,"Question was vague on purpose, answers are very useful, just say first answer that comes to ur mind when thinking of the question, keep em coming kings n queens",en,[],[],2603525726,2603525726,loomdart,loomdart,1,05,https://twitter.com/loomdart/status/1599552347062951936,[],[],0,,False,13,7,0,,None,,,,,,,[],,,,
10,1599549119378337792,1599549119378337792,1670197202000.0,2022-12-05 05:10:02,+0530,,I already got people after my life I ain't adding the US government to the list too nah bro 3 letter agencies I'm cool yall ain't gotta come after me 😭😭😭  https://t.co/ZGUmu3jm0U,en,[],[],2603525726,2603525726,loomdart,loomdart,1,05,https://twitter.com/loomdart/status/1599549119378337792,[],['https://pbs.twimg.com/media/FjK9clUWAAELC4Y.jpg'],1,https://pbs.twimg.com/media/FjK9clUWAAELC4Y.jpg,False,134,24,4,,None,,,,,,,[],,,,
11,1599497709136007168,1599496661348208640,1670184945000.0,2022-12-05 01:45:45,+0530,,Pls reply with reasoning if have any,en,[],[],2603525726,2603525726,loomdart,loomdart,1,01,https://twitter.com/loomdart/status/1599497709136007168,[],[],0,,False,19,17,0,,None,,,,,,,[],,,,
12,1599496903385051136,1599496903385051136,1670184753000.0,2022-12-05 01:42:33,+0530,,I Have Hundreds More On Their Way To Me Please Meet Me In Dubai,en,[],[],2603525726,2603525726,loomdart,loomdart,1,01,https://twitter.com/loomdart/status/1599496903385051136,[],[],0,,False,29,10,1,https://twitter.com/loomdart/status/1599392257366716416,None,,,,,,,[],,,,
13,1599496661348208640,1599496661348208640,1670184695000.0,2022-12-05 01:41:35,+0530,,How important is total nft supply,en,[],[],2603525726,2603525726,loomdart,loomdart,1,01,https://twitter.com/loomdart/status/1599496661348208640,[],[],0,,False,41,55,1,,None,,,,,,,[],,,,
14,1599443911604596736,1599442847760908288,1670172119000.0,2022-12-04 22:11:59,+0530,,@chinchinoshi LMAO,ht,[],[],2603525726,2603525726,loomdart,loomdart,7,22,https://twitter.com/loomdart/status/1599443911604596736,[],[],0,,False,5,6,0,,None,,,,,,,"[{'screen_name': 'chinchinoshi', 'name': 'chinchin (on a crusade against Wanky, Meta, Pizza)', 'id': '1187870427865141249'}]",,,,
