,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1599825401337229312,1599824505568120832,1670263073000.0,2022-12-05 23:27:53,+0530,,@GCRClassic @binance @cz_binance hire some former ftx devs.... we;re gmi,en,[],[],1350143512579170305,1350143512579170305,minioncapital,"Awawat Minion Capital (🍌, 🍌)",1,23,https://twitter.com/minioncapital/status/1599825401337229312,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'GCRClassic', 'name': 'GCR', 'id': '1484112393361891328'}, {'screen_name': 'binance', 'name': 'Binance', 'id': '877807935493033984'}]",,,,
1,1599704175725940738,1599702015013433345,1670234171000.0,2022-12-05 15:26:11,+0530,,@Tree_of_Alpha REEEeeeeeeeeeeeeeee  watafak  https://t.co/0EI8KRgRS0,in,[],[],1350143512579170305,1350143512579170305,minioncapital,"Awawat Minion Capital (🍌, 🍌)",1,15,https://twitter.com/minioncapital/status/1599704175725940738,[],['https://pbs.twimg.com/media/FjNKYfPaMAAG8bS.png'],1,https://pbs.twimg.com/media/FjNKYfPaMAAG8bS.png,False,0,0,0,,None,,,,,,,"[{'screen_name': 'Tree_of_Alpha', 'name': 'Tree of Alpha', 'id': '1456327895866314753'}]",,,,
2,1599490492550754304,1599486040498053120,1670183225000.0,2022-12-05 01:17:05,+0530,,@zoomerfied woofwoof,nl,[],[],1350143512579170305,1350143512579170305,minioncapital,"Awawat Minion Capital (🍌, 🍌)",1,01,https://twitter.com/minioncapital/status/1599490492550754304,[],[],0,,False,1,0,0,,None,,,,,,,"[{'screen_name': 'zoomerfied', 'name': 'zoomer', 'id': '1391538435261861894'}]",,,,
3,1599080849659801600,1598995563911024640,1670085558000.0,2022-12-03 22:09:18,+0530,,@coinfessions @hyuktrades @NachoTrades @DarkCryptoLord most of your followers,en,[],[],1350143512579170305,1350143512579170305,minioncapital,"Awawat Minion Capital (🍌, 🍌)",6,22,https://twitter.com/minioncapital/status/1599080849659801600,[],[],0,,False,2,0,0,,None,,,,,,,"[{'screen_name': 'coinfessions', 'name': 'Coinfessions', 'id': '1510506023001411590'}]",,,,
4,1599065720834228224,1599065720834228224,1670081951000.0,2022-12-03 21:09:11,+0530,,$ACA inverse investment for my familia!  #ACA #aca #crypto #futuretrading #gate.io #Gateio #binance #BNB  https://t.co/8nI3tBKJ6X,en,"['aca', 'aca', 'crypto', 'futuretrading', 'gate', 'gateio', 'binance', 'bnb']",['aca'],1350143512579170305,1350143512579170305,minioncapital,"Awawat Minion Capital (🍌, 🍌)",6,21,https://twitter.com/minioncapital/status/1599065720834228224,[],['https://pbs.twimg.com/media/FjD8H-KXwAAj7tr.png'],1,https://pbs.twimg.com/media/FjD8H-KXwAAj7tr.png,False,0,1,0,,None,,,,,,,[],,,,
5,1598981377894273026,1598980541990277120,1670061842000.0,2022-12-03 15:34:02,+0530,,@cryptojangDo @binance B,und,[],[],1350143512579170305,1350143512579170305,minioncapital,"Awawat Minion Capital (🍌, 🍌)",6,15,https://twitter.com/minioncapital/status/1598981377894273026,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'cryptojangDo', 'name': 'DoJang', 'id': '1508628705048162304'}, {'screen_name': 'binance', 'name': 'Binance', 'id': '877807935493033984'}]",,,,
6,1598907432130220032,1598900652809146369,1670044212000.0,2022-12-03 10:40:12,+0530,,@cryptojangDo @PC_PR1NCIPAL @MrCustomSuit @willoptions same happened for $SFP / $SXP   an earlier ss...  https://t.co/fzlVgAkuNS,en,[],"['sfp', 'sxp']",1350143512579170305,1350143512579170305,minioncapital,"Awawat Minion Capital (🍌, 🍌)",6,10,https://twitter.com/minioncapital/status/1598907432130220032,[],"['https://pbs.twimg.com/media/FjB1suGaUAEz7Zg.png', 'https://pbs.twimg.com/media/FjB1wZXacAAEX5L.png']",1,https://pbs.twimg.com/media/FjB1suGaUAEz7Zg.png,False,2,0,0,,None,,,,,,,"[{'screen_name': 'cryptojangDo', 'name': 'DoJang', 'id': '1508628705048162304'}, {'screen_name': 'PC_PR1NCIPAL', 'name': 'PC Principal', 'id': '1085046365523066880'}, {'screen_name': 'MrCustomSuit', 'name': 'King G', 'id': '1336859072566538241'}, {'screen_name': 'willoptions', 'name': 'willy', 'id': '991401872173875201'}]",,,,
7,1598586705749368832,1598579143998058497,1669967745000.0,2022-12-02 13:25:45,+0530,,@NachoTrades  https://t.co/zuwinrSFaf,qme,[],[],1350143512579170305,1350143512579170305,minioncapital,"Awawat Minion Capital (🍌, 🍌)",5,13,https://twitter.com/minioncapital/status/1598586705749368832,['https://twitter.com/0xPolygon/status/1598577101007126531'],[],0,,False,0,0,0,https://twitter.com/0xPolygon/status/1598577101007126531,None,,,,,,,"[{'screen_name': 'NachoTrades', 'name': 'Nacho Trades', 'id': '25071910'}]",,,,
8,1598579194908520448,1598567624912343040,1669965954000.0,2022-12-02 12:55:54,+0530,,@RunnerXBT  https://t.co/FjjStJlXWR  https://t.co/vs45L9cVBj,qme,[],[],1350143512579170305,1350143512579170305,minioncapital,"Awawat Minion Capital (🍌, 🍌)",5,12,https://twitter.com/minioncapital/status/1598579194908520448,['https://www.coingecko.com/en/coins/terraclassicusd#markets'],['https://pbs.twimg.com/media/Fi9LTWUaUAIrH2v.jpg'],1,https://pbs.twimg.com/media/Fi9LTWUaUAIrH2v.jpg,False,0,0,0,,None,,,,,,,"[{'screen_name': 'RunnerXBT', 'name': 'Runner', 'id': '5705402'}]",,,,
9,1598175479038873600,1597975079635537921,1669869701000.0,2022-12-01 10:11:41,+0530,,@RunnerXBT what's going on?  https://t.co/SfzbNEoOwp,en,[],[],1350143512579170305,1350143512579170305,minioncapital,"Awawat Minion Capital (🍌, 🍌)",4,10,https://twitter.com/minioncapital/status/1598175479038873600,[],['https://pbs.twimg.com/media/Fi3cH4KaYAAfc5k.jpg'],1,https://pbs.twimg.com/media/Fi3cH4KaYAAfc5k.jpg,False,0,0,0,,None,,,,,,,"[{'screen_name': 'RunnerXBT', 'name': 'Runner', 'id': '5705402'}]",,,,
