,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1599893356431015936,1599893356431015936,1670279275000.0,2022-12-06 03:57:55,+0530,,The interest rate on USDC never lies,en,[],[],630641976,630641976,tbr90,Tyler Reynolds,2,03,https://twitter.com/tbr90/status/1599893356431015936,[],[],0,,False,6,0,0,https://twitter.com/firstsquawk/status/1599822035450204161,None,,,,,,,[],,,,
1,1599892742720479232,1599866245410689034,1670279129000.0,2022-12-06 03:55:29,+0530,,"@EconomicPilgrim @himgajria @HarryDentjr Having spent so much time researching bubbles, I find that people consistently underestimate how large “large” is and how “unexceptional” unexceptional is for it to be a bubble",en,[],[],630641976,630641976,tbr90,Tyler Reynolds,2,03,https://twitter.com/tbr90/status/1599892742720479232,[],[],0,,False,1,0,0,,None,,,,,,,"[{'screen_name': 'EconomicPilgrim', 'name': 'Pilgrim', 'id': '932010359799631873'}, {'screen_name': 'himgajria', 'name': 'him.eth', 'id': '1054149844384669696'}, {'screen_name': 'HarryDentjr', 'name': 'Harry S Dent', 'id': '1710345565'}]",,,,
2,1599891558727553024,1599866245410689034,1670278846000.0,2022-12-06 03:50:46,+0530,,"@himgajria Hmmm, why August?   I saw the most amount of ridiculous behavior in April/May 21 and October 21  The delusions &amp; vocalness of the Bored Ape crowd was a particularly effective signal for me",en,[],[],630641976,630641976,tbr90,Tyler Reynolds,2,03,https://twitter.com/tbr90/status/1599891558727553024,[],[],0,,False,1,1,0,,None,,,,,,,"[{'screen_name': 'himgajria', 'name': 'him.eth', 'id': '1054149844384669696'}]",,,,
3,1599866245410689034,1599866245410689034,1670272811000.0,2022-12-06 02:10:11,+0530,,The best sign of a bubble is seeing large numbers of unexceptional people make exceptional amounts of money,en,[],[],630641976,630641976,tbr90,Tyler Reynolds,2,02,https://twitter.com/tbr90/status/1599866245410689034,[],[],0,,False,55,2,6,,None,,,,,,,[],,,,
4,1599797936342253568,1599455455905951744,1670256525000.0,2022-12-05 21:38:45,+0530,,@warden_finance @eulerfinance .@SiloFinance can list rETH from @Rocket_Pool as collateral as soon as it has a proper oracle  And Silo already has wstETH and cbETH enabled as collateral,en,[],[],630641976,630641976,tbr90,Tyler Reynolds,1,21,https://twitter.com/tbr90/status/1599797936342253568,[],[],0,,False,4,1,1,,None,,,,,,,"[{'screen_name': 'warden_finance', 'name': 'Warden Finance', 'id': '1492266155117092875'}, {'screen_name': 'eulerfinance', 'name': 'Euler Labs', 'id': '1295028541139177482'}]",,,,
5,1599777170540339201,1599777170540339201,1670251574000.0,2022-12-05 20:16:14,+0530,,"Have we ever seen such a hated bull market followed by such a widely called epic recession?  It’s unreal that rates have risen so far so fast and yet stocks are barely off ATH. I thought rates would rise fast, but was anticipating a hard drawdown in equities",en,[],[],630641976,630641976,tbr90,Tyler Reynolds,1,20,https://twitter.com/tbr90/status/1599777170540339201,[],[],0,,False,14,4,0,,None,,,,,,,[],,,,
6,1599655477973241856,1599598927657201664,1670222560000.0,2022-12-05 12:12:40,+0530,,"@0xKlinko @apolynya I don’t know if it’ll be crypto, gold, or something else, but for as long as CBs subsidize govt spending, malinvestment increases and threatens real returns on debt  So debt becomes denominated in neutral backed currency like it was pre-Nixon",en,[],[],630641976,630641976,tbr90,Tyler Reynolds,1,12,https://twitter.com/tbr90/status/1599655477973241856,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': '0xKlinko', 'name': 'klinko.eth 🦇🔊', 'id': '455879948'}, {'screen_name': 'apolynya', 'name': 'polynya', 'id': '1420244728621133828'}]",,,,
7,1599654847514484736,1599598927657201664,1670222410000.0,2022-12-05 12:10:10,+0530,,"@0xKlinko @apolynya I similarly think @apolynya conflates debt, fiat, and central banking in the above thread  It’s largely irrelevant whether a pure fiat monetary system lasts 60yrs or 150yrs when the history books are written  We’ll return to some kind of currency outside of CB &amp; political control",en,[],[],630641976,630641976,tbr90,Tyler Reynolds,1,12,https://twitter.com/tbr90/status/1599654847514484736,[],[],0,,False,7,2,0,,None,,,,,,,"[{'screen_name': '0xKlinko', 'name': 'klinko.eth 🦇🔊', 'id': '455879948'}, {'screen_name': 'apolynya', 'name': 'polynya', 'id': '1420244728621133828'}]",,,,
8,1599605172304777217,1599520727342141440,1670210566000.0,2022-12-05 08:52:46,+0530,,@nikitabier Have you ever met a FAANG engineer who toils away at anything? I’m pretty sure that’s just an urban legend,en,[],[],630641976,630641976,tbr90,Tyler Reynolds,1,08,https://twitter.com/tbr90/status/1599605172304777217,[],[],0,,False,20,0,0,,None,,,,,,,"[{'screen_name': 'nikitabier', 'name': 'Nikita Bier', 'id': '636513296'}]",,,,
9,1599469728145080320,1599469402679701504,1670178274000.0,2022-12-04 23:54:34,+0530,,@KentoInami When is the best time to visit?,en,[],[],630641976,630641976,tbr90,Tyler Reynolds,7,23,https://twitter.com/tbr90/status/1599469728145080320,[],[],0,,False,0,2,0,,None,,,,,,,"[{'screen_name': 'KentoInami', 'name': 'Killua', 'id': '1270664634735812608'}]",,,,
10,1599469376767344642,1599469376767344642,1670178190000.0,2022-12-04 23:53:10,+0530,,Do we know who leaked FTX financials to CoinDesk?  Who had access to that info and would choose to leak it? Insider w a large FTT short?,en,[],[],630641976,630641976,tbr90,Tyler Reynolds,7,23,https://twitter.com/tbr90/status/1599469376767344642,[],[],0,,False,35,5,2,,None,,,,,,,[],,,,
11,1599467611233796096,1599467611233796096,1670177769000.0,2022-12-04 23:46:09,+0530,,"I didn’t fully know about the extent of problems at Genesis post Terra, but a major red flag was that they were offering 8% on USD at a time when DeFi was offer ~1% and we knew most leveraged players got liquidated",en,[],[],630641976,630641976,tbr90,Tyler Reynolds,7,23,https://twitter.com/tbr90/status/1599467611233796096,[],[],0,,False,40,5,2,,None,,,,,,,[],,,,
12,1599466922164113408,1599465806529982464,1670177605000.0,2022-12-04 23:43:25,+0530,,"@coryklippsten I’m pretty sure we settled on Scam Bankrun-Fraud, not bankster",en,[],[],630641976,630641976,tbr90,Tyler Reynolds,7,23,https://twitter.com/tbr90/status/1599466922164113408,[],[],0,,False,8,3,0,,None,,,,,,,"[{'screen_name': 'coryklippsten', 'name': 'Cory at Swan Bitcoin', 'id': '3260096383'}]",,,,
13,1599464877487169536,1599464877487169536,1670177118000.0,2022-12-04 23:35:18,+0530,,"If said it before and I’ll say it again.  If you’re going to panic, panic early.  Otherwise, just ignore the day-to-day and make sure you don’t get liquidated",en,[],[],630641976,630641976,tbr90,Tyler Reynolds,7,23,https://twitter.com/tbr90/status/1599464877487169536,[],[],0,,False,39,1,3,,None,,,,,,,[],,,,
14,1599461455325110273,1599108911852040192,1670176302000.0,2022-12-04 23:21:42,+0530,,"@EconomicPilgrim @TheNitinGrover I’m guessing it’s GameFi on L2s, but it could be anything",en,[],[],630641976,630641976,tbr90,Tyler Reynolds,7,23,https://twitter.com/tbr90/status/1599461455325110273,[],[],0,,False,1,1,0,,None,,,,,,,"[{'screen_name': 'EconomicPilgrim', 'name': 'Pilgrim', 'id': '932010359799631873'}, {'screen_name': 'TheNitinGrover', 'name': 'Nitin Grover ⚡️#BRINGTHECHAOS', 'id': '857830862'}]",,,,
15,1599258591478747137,1599108911852040192,1670127935000.0,2022-12-04 09:55:35,+0530,,"@TheNitinGrover My guess is ETH net issuance stays flat to deflationary. As more capital slowly trickles into the space, you suddenly lose willing sellers and get a panic entrance as we’ve seen in every other cycle  We just have to hope there remains enough demand for blockspace to cause burn",en,[],[],630641976,630641976,tbr90,Tyler Reynolds,7,09,https://twitter.com/tbr90/status/1599258591478747137,[],[],0,,False,6,2,0,,None,,,,,,,"[{'screen_name': 'TheNitinGrover', 'name': 'Nitin Grover ⚡️#BRINGTHECHAOS', 'id': '857830862'}]",,,,
16,1599258080491233282,1599185210477682689,1670127813000.0,2022-12-04 09:53:33,+0530,,"@THORmaximalist @sweatystartup Incidentally, this is a huge problem, though not one that can be solved by crypto 😊",en,[],[],630641976,630641976,tbr90,Tyler Reynolds,7,09,https://twitter.com/tbr90/status/1599258080491233282,[],[],0,,False,1,1,0,,None,,,,,,,"[{'screen_name': 'THORmaximalist', 'name': 'TCB', 'id': '1361833358456676355'}, {'screen_name': 'sweatystartup', 'name': 'Nick Huber', 'id': '1067927682023915521'}]",,,,
17,1599257852681388032,1599185210477682689,1670127759000.0,2022-12-04 09:52:39,+0530,,@THORmaximalist @sweatystartup It’s a common problem. Have you ever looked at hiring a replacement non-founder CEO when things become repetitive?,en,[],[],630641976,630641976,tbr90,Tyler Reynolds,7,09,https://twitter.com/tbr90/status/1599257852681388032,[],[],0,,False,2,3,0,,None,,,,,,,"[{'screen_name': 'THORmaximalist', 'name': 'TCB', 'id': '1361833358456676355'}, {'screen_name': 'sweatystartup', 'name': 'Nick Huber', 'id': '1067927682023915521'}]",,,,
18,1599208930034429952,1599185210477682689,1670116095000.0,2022-12-04 06:38:15,+0530,,@KMNDR_ @sweatystartup Do we actually have an energy crisis or abhorrent govt policy creating one?,en,[],[],630641976,630641976,tbr90,Tyler Reynolds,7,06,https://twitter.com/tbr90/status/1599208930034429952,[],[],0,,False,1,1,0,,None,,,,,,,"[{'screen_name': 'KMNDR_', 'name': 'Komrade Kommander', 'id': '1330070414790430720'}, {'screen_name': 'sweatystartup', 'name': 'Nick Huber', 'id': '1067927682023915521'}]",,,,
19,1599201769455644672,1599185210477682689,1670114388000.0,2022-12-04 06:09:48,+0530,,"@2Parts1Hole @sweatystartup It entirely depends on the size of the business. Most people that top out at ICs need effectively an inbox/outbox of work delegated to them, which isn’t tenable for an SMB owner",en,[],[],630641976,630641976,tbr90,Tyler Reynolds,7,06,https://twitter.com/tbr90/status/1599201769455644672,[],[],0,,False,1,0,0,,None,,,,,,,"[{'screen_name': '2Parts1Hole', 'name': 'The Doggy LLama', 'id': '1466740310680109056'}, {'screen_name': 'sweatystartup', 'name': 'Nick Huber', 'id': '1067927682023915521'}]",,,,
20,1599188551316299776,1599183110188695552,1670111236000.0,2022-12-04 05:17:16,+0530,,@AshBennington He’s done a terrific job in keeping the MSM story away from “intentional fraud and theft of funds against ToS” to “whoopsie doopsie bad accounting”  Members of Congress are even applauding him for his candor. Seems pretty masterful imo,en,[],[],630641976,630641976,tbr90,Tyler Reynolds,7,05,https://twitter.com/tbr90/status/1599188551316299776,[],[],0,,False,4,1,1,,None,,,,,,,"[{'screen_name': 'AshBennington', 'name': 'Ash Bennington', 'id': '29034000'}]",,,,
21,1599187632960913409,1599185210477682689,1670111017000.0,2022-12-04 05:13:37,+0530,,"@sweatystartup There’s an interesting theory that smarter people fail at operating businesses bc they crave the dopamine associated w novel stimuli, while most business is all about doubling down again and again on what is already proven to work",en,[],[],630641976,630641976,tbr90,Tyler Reynolds,7,05,https://twitter.com/tbr90/status/1599187632960913409,[],[],0,,False,108,8,7,,None,,,,,,,"[{'screen_name': 'sweatystartup', 'name': 'Nick Huber', 'id': '1067927682023915521'}]",,,,
22,1599186364192346112,1589709794226864128,1670110715000.0,2022-12-04 05:08:35,+0530,,"@VelvetMilkman @BTC_Paradigm @amazingmap I’d live anywhere in the country before SF, but rural and suburban California certainly has its nicer pockets",en,[],[],630641976,630641976,tbr90,Tyler Reynolds,7,05,https://twitter.com/tbr90/status/1599186364192346112,[],[],0,,False,0,1,0,,None,,,,,,,"[{'screen_name': 'VelvetMilkman', 'name': 'VelvetMilkman🥛', 'id': '30559866'}, {'screen_name': 'BTC_Paradigm', 'name': 'Duderino.HODL', 'id': '949295963142836225'}, {'screen_name': 'amazingmap', 'name': 'Amazing Maps', 'id': '273418969'}]",,,,
23,1599139967812239360,1599139967812239360,1670099653000.0,2022-12-04 02:04:13,+0530,,"“The best lack all conviction, while the worst are full of passionate intensity”  Few knew Yeats was actually talking about crypto maximalism",en,[],[],630641976,630641976,tbr90,Tyler Reynolds,7,02,https://twitter.com/tbr90/status/1599139967812239360,[],[],0,,False,23,2,1,,None,,,,,,,[],,,,
24,1599117050344980480,1599078346469826563,1670094189000.0,2022-12-04 00:33:09,+0530,,"@paulg @alexandr_wang But to your point, Newton having a breakthrough in alchemy (chemistry) or theology (primary focus was on decoding hidden wisdom of ancients) would have dwarfed his contributions to physics  Hard to say if he wasted his time or if he just failed in those fields",en,[],[],630641976,630641976,tbr90,Tyler Reynolds,7,00,https://twitter.com/tbr90/status/1599117050344980480,[],[],0,,False,14,2,0,,None,,,,,,,"[{'screen_name': 'paulg', 'name': 'Paul Graham', 'id': '183749519'}, {'screen_name': 'alexandr_wang', 'name': 'Alexandr Wang', 'id': '615818451'}]",,,,
25,1599108911852040192,1599108911852040192,1670092249000.0,2022-12-04 00:00:49,+0530,,"Assuming the Fed keeps its current trajectory and there are no more stimmys, my guess is ETH bounces around $500-1800 for the next 24 months followed by another crack up boom sending it to $10k",en,[],[],630641976,630641976,tbr90,Tyler Reynolds,7,00,https://twitter.com/tbr90/status/1599108911852040192,[],[],0,,False,95,14,1,,None,,,,,,,[],,,,
26,1598912193717600256,1598833172988715008,1670045347000.0,2022-12-03 10:59:07,+0530,,@PhilxEth Punks for sure. That’s what’d I’d be looking at primarily  Maybe some AB,en,[],[],630641976,630641976,tbr90,Tyler Reynolds,6,10,https://twitter.com/tbr90/status/1598912193717600256,[],[],0,,False,4,2,0,,None,,,,,,,"[{'screen_name': 'PhilxEth', 'name': 'philx', 'id': '1406431046493556736'}]",,,,
27,1598904885461733377,1598875530191077379,1670043605000.0,2022-12-03 10:30:05,+0530,,@scupytrooples Have you checked out @SiloFinance?,en,[],[],630641976,630641976,tbr90,Tyler Reynolds,6,10,https://twitter.com/tbr90/status/1598904885461733377,[],[],0,,False,7,0,0,,None,,,,,,,"[{'screen_name': 'scupytrooples', 'name': 'scoopy', 'id': '1012777913299689477'}]",,,,
28,1598839525676982273,1598816726384156672,1670028022000.0,2022-12-03 06:10:22,+0530,,"@niftysweeper @SiloFinance Yes, Euler has shared pool risk like Mango, Aave, compound, etc",en,[],[],630641976,630641976,tbr90,Tyler Reynolds,6,06,https://twitter.com/tbr90/status/1598839525676982273,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'niftysweeper', 'name': 'niftysweeper.eth', 'id': '2321111995'}, {'screen_name': 'SiloFinance', 'name': 'Silo', 'id': '1332500746206646277'}]",,,,
29,1598839242733785088,1598839242733785088,1670027955000.0,2022-12-03 06:09:15,+0530,,This is a good sign of a healthy and functioning market  Safer money markets attracting deposits while paying lower rates,en,[],[],630641976,630641976,tbr90,Tyler Reynolds,6,06,https://twitter.com/tbr90/status/1598839242733785088,[],[],0,,False,15,3,0,https://twitter.com/dylanleclair_/status/1596948568329588736,None,,,,,,,[],,,,
30,1598833172988715008,1598833172988715008,1670026507000.0,2022-12-03 05:45:07,+0530,,Classic NFTs are going to be some of the best assets to pick up when the market pukes again  https://t.co/8wYxrWsRhr  https://t.co/pywt4oZWUM,en,[],[],630641976,630641976,tbr90,Tyler Reynolds,6,05,https://twitter.com/tbr90/status/1598833172988715008,['https://www.wsj.com/articles/robux-kids-virtual-currency-metaverse-cryptocurrency-11669929636?st=4sdnc96wsq70s9o&reflink=article_copyURL_share'],['https://pbs.twimg.com/media/FjAySTLWYAEN3AD.jpg'],1,https://pbs.twimg.com/media/FjAySTLWYAEN3AD.jpg,False,27,3,1,,None,,,,,,,[],,,,
31,1598816726384156672,1598816726384156672,1670022586000.0,2022-12-03 04:39:46,+0530,,.@SiloFinance isolated lending markets addresses this problem by • limiting counterparty risk to a unique asset and two bridge assets • using conservative LTV ratios  • having high liquidation penalties  Keeping depositors whole is priority #1,en,[],[],630641976,630641976,tbr90,Tyler Reynolds,6,04,https://twitter.com/tbr90/status/1598816726384156672,[],[],0,,False,19,3,1,https://twitter.com/cryptokaleo/status/1598812761538134016,None,,,,,,,[],,,,
