,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1595904567119593476,1595904567119593476,1669328273000.0,2022-11-25 03:47:53,+0530,,"By the way, @paradigm, your legal compliance not screaming about libmdbx - a *sanctioned* piece of code yet? Your copypasta depends on it and my Rust bindings. @n0computer for example refused to use it for their IPFS impl.   https://t.co/sHYqMLAxba",en,[],[],2893214811,2893214811,vorot93,Artem Vorotnikov,5,03,https://twitter.com/vorot93/status/1595904567119593476,['https://github.com/n0-computer/iroh/pull/405#issuecomment-1326768585'],[],0,,False,63,4,8,,None,,,,,,,[],,,,
1,1595565784025137153,1595553206632947713,1669247501000.0,2022-11-24 05:21:41,+0530,,@nicobaogim @LefterisJP @Vorot Akula started out under Apache and relicensed this summer when we got suspicious. By that time Akula had long been in prod.,en,[],[],2893214811,2893214811,vorot93,Artem Vorotnikov,4,05,https://twitter.com/vorot93/status/1595565784025137153,[],[],0,,False,6,0,0,,None,,,,,,,"[{'screen_name': 'nicobaogim', 'name': 'Nicolas Gimenez', 'id': '1019330301477220352'}, {'screen_name': 'LefterisJP', 'name': 'Lefteris Karapetsas | Hiring for @rotkiapp', 'id': '43949721'}, {'screen_name': 'Vorot', 'name': 'Vorot', 'id': '143902465'}]",,,,
2,1595556025658114048,1595551200971313152,1669245175000.0,2022-11-24 04:42:55,+0530,,"@EFFereum ""just couldn’t find header validation""",en,[],[],2893214811,2893214811,vorot93,Artem Vorotnikov,4,04,https://twitter.com/vorot93/status/1595556025658114048,[],[],0,,False,66,0,4,,None,,,,,,,"[{'screen_name': 'EFFereum', 'name': 'Crypto Julius', 'id': '1460128202412597251'}]",,,,
3,1595552048962994179,1595551200971313152,1669244227000.0,2022-11-24 04:27:07,+0530,,Even more funny screenshots.  https://t.co/HXppO5xFml,en,[],[],2893214811,2893214811,vorot93,Artem Vorotnikov,4,04,https://twitter.com/vorot93/status/1595552048962994179,[],"['https://pbs.twimg.com/media/FiSKIUeWAAIYxvD.jpg', 'https://pbs.twimg.com/media/FiSKIUbXoAIt6Rd.jpg']",1,https://pbs.twimg.com/media/FiSKIUeWAAIYxvD.jpg,False,253,13,14,,None,,,,,,,[],,,,
4,1595551200971313152,1595551200971313152,1669244024000.0,2022-11-24 04:23:44,+0530,,So some people wanted name and shame. I’ll post some funny screenshots instead.  https://t.co/RxavErMzb3,en,[],[],2893214811,2893214811,vorot93,Artem Vorotnikov,4,04,https://twitter.com/vorot93/status/1595551200971313152,[],"['https://pbs.twimg.com/media/FiSJW8cXoAErsxX.jpg', 'https://pbs.twimg.com/media/FiSJW8hXwAILAKH.jpg', 'https://pbs.twimg.com/media/FiSJW8cXgAEIkZy.jpg', 'https://pbs.twimg.com/media/FiSJW8aWYAEfAZW.jpg']",1,https://pbs.twimg.com/media/FiSJW8cXoAErsxX.jpg,False,676,48,84,https://twitter.com/vorot93/status/1595480997117706241,None,,,,,,,[],,,,
5,1595499496867250179,1595480997117706241,1669231697000.0,2022-11-24 00:58:17,+0530,,@mevnormie @AkulaApp Everyone already guessed who at this point.,en,[],[],2893214811,2893214811,vorot93,Artem Vorotnikov,4,00,https://twitter.com/vorot93/status/1595499496867250179,[],[],0,,False,18,0,0,,None,,,,,,,"[{'screen_name': 'mevnormie', 'name': 'MEV Normie', 'id': '3220380665'}, {'screen_name': 'AkulaApp', 'name': 'Akula', 'id': '1550898433787154432'}]",,,,
6,1595480997117706241,1595480997117706241,1669227286000.0,2022-11-23 23:44:46,+0530,,"Sadly we cannot outcompete multibillion VCs who copy-paste our architecture and code (open source, right?).  @AkulaApp is winding down and I'll be taking a break from Ethereum core dev for the foreseeable future.",en,[],[],2893214811,2893214811,vorot93,Artem Vorotnikov,3,23,https://twitter.com/vorot93/status/1595480997117706241,[],[],0,,False,793,84,127,https://twitter.com/ErigonEth/status/1595479897220055041,None,,,,,,,[],,,,
7,1595215907873243137,1595215907873243137,1669164084000.0,2022-11-23 06:11:24,+0530,,LMAO,ht,[],[],2893214811,2893214811,vorot93,Artem Vorotnikov,3,06,https://twitter.com/vorot93/status/1595215907873243137,[],[],0,,False,3,0,0,https://twitter.com/LefterisJP/status/1595183278130077697,None,,,,,,,[],,,,
8,1595180083060277249,1595055990948646913,1669155543000.0,2022-11-23 03:49:03,+0530,,@liamzebedee Ask Snowden.,en,[],[],2893214811,2893214811,vorot93,Artem Vorotnikov,3,03,https://twitter.com/vorot93/status/1595180083060277249,[],[],0,,False,1,0,0,,None,,,,,,,"[{'screen_name': 'liamzebedee', 'name': 'Liam', 'id': '1712298445'}]",,,,
9,1594472599698182145,1594472599698182145,1668986866000.0,2022-11-21 04:57:46,+0530,,This is how you learn that ‘federated’ means ‘centralized but with 10x the headache and .1x service reliability’ 🙂,en,[],[],2893214811,2893214811,vorot93,Artem Vorotnikov,1,04,https://twitter.com/vorot93/status/1594472599698182145,[],[],0,,False,14,1,0,https://twitter.com/LefterisJP/status/1593934653114785793,None,,,,,,,[],,,,
10,1591894323905581057,1591894323905581057,1668372157000.0,2022-11-14 02:12:37,+0530,,rewrite it in rust,en,[],[],2893214811,2893214811,vorot93,Artem Vorotnikov,1,02,https://twitter.com/vorot93/status/1591894323905581057,[],[],0,,False,9,0,0,https://twitter.com/elonmusk/status/1591853644944932865,None,,,,,,,[],,,,
11,1590247214198050817,1590246528568143872,1667979455000.0,2022-11-09 13:07:35,+0530,,"@AkulaApp cannot be everything, especially if we want to not have extreme maintenance burden. We will keep pushing for best in the market archive node story as we did before.",en,[],[],2893214811,2893214811,vorot93,Artem Vorotnikov,3,13,https://twitter.com/vorot93/status/1590247214198050817,[],[],0,,False,8,0,0,,None,,,,,,,[],,,,
12,1590246528568143872,1590246528568143872,1667979292000.0,2022-11-09 13:04:52,+0530,,"Awesome work by @ncitron, happy that we have Rust light client niche covered as well now. 💥",en,[],[],2893214811,2893214811,vorot93,Artem Vorotnikov,3,13,https://twitter.com/vorot93/status/1590246528568143872,[],[],0,,False,13,1,2,https://twitter.com/NoahCitron/status/1589739389545914368,None,,,,,,,[],,,,
13,1589002924696293376,1589002924696293376,1667682794000.0,2022-11-06 02:43:14,+0530,,And what if it's banned to build upon blocks with blacklisted transactions?,en,[],[],2893214811,2893214811,vorot93,Artem Vorotnikov,7,02,https://twitter.com/vorot93/status/1589002924696293376,[],[],0,,False,4,0,0,https://twitter.com/UncleRewards/status/1581243080556306432,None,,,,,,,[],,,,
14,1588232346460790786,1588165588257570821,1667499073000.0,2022-11-03 23:41:13,+0530,,@tkstanczak @mandrigin @nethermindeth Touchè,ht,[],[],2893214811,2893214811,vorot93,Artem Vorotnikov,4,23,https://twitter.com/vorot93/status/1588232346460790786,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'tkstanczak', 'name': 'Tomasz K. Stańczak', 'id': '2329730512'}, {'screen_name': 'mandrigin', 'name': 'mandrigin.eth', 'id': '11580262'}, {'screen_name': 'nethermindeth', 'name': 'Nethermind', 'id': '1023893332940992512'}]",,,,
15,1587527045638230021,1587527045638230021,1667330917000.0,2022-11-02 00:58:37,+0530,,That's quite an elaborate 'fuck you that's why'.,en,[],[],2893214811,2893214811,vorot93,Artem Vorotnikov,3,00,https://twitter.com/vorot93/status/1587527045638230021,[],[],0,,False,5,0,0,https://twitter.com/LivBank/status/1587304098088583170,None,,,,,,,[],,,,
16,1587256226513096706,1587256226513096706,1667266348000.0,2022-11-01 07:02:28,+0530,,"Virgil Griffith has been in jail for years now, what's the plan here?  The squad did not notice the loss of a fighter.",en,[],[],2893214811,2893214811,vorot93,Artem Vorotnikov,2,07,https://twitter.com/vorot93/status/1587256226513096706,[],[],0,,False,2,0,0,https://twitter.com/ameensol/status/1587209799669714944,None,,,,,,,[],,,,
17,1587190799837560832,1587190799837560832,1667250749000.0,2022-11-01 02:42:29,+0530,,Feel being the unbanked with @LivBank  https://t.co/P8CbeRafcj,en,[],[],2893214811,2893214811,vorot93,Artem Vorotnikov,2,02,https://twitter.com/vorot93/status/1587190799837560832,[],['https://pbs.twimg.com/media/FgbVnrbXgAE3gAl.jpg'],1,https://pbs.twimg.com/media/FgbVnrbXgAE3gAl.jpg,False,2,1,0,,None,,,,,,,[],,,,
18,1586115117976285184,1586115117976285184,1666994287000.0,2022-10-29 03:28:07,+0530,,Avoid proprietary software when open source alternatives are available. Problem solved.,en,[],[],2893214811,2893214811,vorot93,Artem Vorotnikov,6,03,https://twitter.com/vorot93/status/1586115117976285184,[],[],0,,False,4,1,0,https://twitter.com/BobSummerwill/status/1586098828645920768,None,,,,,,,[],,,,
19,1583126081699053568,1583126081699053568,1666281645000.0,2022-10-20 21:30:45,+0530,,MEV is a byproduct of chain transparency. I don't think Ethereum can solve this to be honest.,en,[],[],2893214811,2893214811,vorot93,Artem Vorotnikov,4,21,https://twitter.com/vorot93/status/1583126081699053568,[],[],0,,False,0,2,1,https://twitter.com/AnnaMSGeorge/status/1583113554806198272,None,,,,,,,[],,,,
20,1578269502600613889,1578232424856698882,1665123746000.0,2022-10-07 11:52:26,+0530,,"@wmitsuda Technically it's a better solution as this block can later be removed from the code, unlike irregular state transition.",en,[],[],2893214811,2893214811,vorot93,Artem Vorotnikov,5,11,https://twitter.com/vorot93/status/1578269502600613889,[],[],0,,False,2,1,0,,None,,,,,,,"[{'screen_name': 'wmitsuda', 'name': 'Willian Mitsuda - wmitsuda.eth (☕, ☕️) 🦇🔊', 'id': '1212271747543601153'}]",,,,
21,1576152991488364545,1576152991488364545,1664619131000.0,2022-10-01 15:42:11,+0530,,This is extremely bearish for Ethereum as the entire pretext for PoS transition were validators run by individuals.,en,[],[],2893214811,2893214811,vorot93,Artem Vorotnikov,6,15,https://twitter.com/vorot93/status/1576152991488364545,[],[],0,,False,14,5,2,https://twitter.com/WatcherGuru/status/1575936247251734533,None,,,,,,,[],,,,
22,1576067064753577984,1575862237666779136,1664598644000.0,2022-10-01 10:00:44,+0530,,@lightclients Clique has no block rewards so this is a well-tested tested scenario if that's your angle.,en,[],[],2893214811,2893214811,vorot93,Artem Vorotnikov,6,10,https://twitter.com/vorot93/status/1576067064753577984,[],[],0,,False,0,1,0,,None,,,,,,,"[{'screen_name': 'lightclients', 'name': 'ً', 'id': '219797382'}]",,,,
23,1575443468612210688,1575184315662536710,1664449967000.0,2022-09-29 16:42:47,+0530,,"@peter_szilagyi @brockjelmore @TimBeiko @lightclients What will be your state table size at, say, block 15m?",en,[],[],2893214811,2893214811,vorot93,Artem Vorotnikov,4,16,https://twitter.com/vorot93/status/1575443468612210688,[],[],0,,False,0,0,0,,None,,,,,,,"[{'screen_name': 'peter_szilagyi', 'name': 'Péter Szilágyi (karalabe.eth)', 'id': '186028018'}, {'screen_name': 'brockjelmore', 'name': 'brock🌱', 'id': '1044242451475632129'}, {'screen_name': 'TimBeiko', 'name': 'timbeiko.eth', 'id': '80722677'}, {'screen_name': 'lightclients', 'name': 'ً', 'id': '219797382'}]",,,,
24,1575435978956804097,1574999716206497792,1664448182000.0,2022-09-29 16:13:02,+0530,,"@brockjelmore If consensus changes are on the table, we can just require strict access lists.",en,[],[],2893214811,2893214811,vorot93,Artem Vorotnikov,4,16,https://twitter.com/vorot93/status/1575435978956804097,[],[],0,,False,2,0,0,,None,,,,,,,"[{'screen_name': 'brockjelmore', 'name': 'brock🌱', 'id': '1044242451475632129'}]",,,,
25,1575352747020484610,1574999716206497792,1664428338000.0,2022-09-29 10:42:18,+0530,,@brockjelmore Holy grail would be parallelized current block execution - history can (and will be in the future) seeded over BitTorrent.,en,[],[],2893214811,2893214811,vorot93,Artem Vorotnikov,4,10,https://twitter.com/vorot93/status/1575352747020484610,[],[],0,,False,8,2,0,,None,,,,,,,"[{'screen_name': 'brockjelmore', 'name': 'brock🌱', 'id': '1044242451475632129'}]",,,,
