,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1599357556748849153,1599298955984408576,1670151530000.0,2022-12-04 16:28:50,+0530,,@MrMetaMask Yeah that’s most of the remainder.,en,[],[],971177546317524993,971177546317524993,wassielawyer,wassielawyer,7,16,https://twitter.com/wassielawyer/status/1599357556748849153,[],[],0,,False,2,0,0,,None,,,,,,,"[{'screen_name': 'MrMetaMask', 'name': 'Mr.Suit.eth', 'id': '1364256395990765574'}]",,,,
1,1599334189031075840,1599334189031075840,1670145959000.0,2022-12-04 14:55:59,+0530,,A @bywassies not-Dev Diary ahead of schedule while I had some time in between making coffee at the @wassieEmporium.    https://t.co/pE9ckZcnph,en,[],[],971177546317524993,971177546317524993,wassielawyer,wassielawyer,7,14,https://twitter.com/wassielawyer/status/1599334189031075840,['https://medium.com/@wassielawyer/not-dev-diary-2-making-coffee-9e9d1e1784b7'],[],0,,False,21,3,8,,None,,,,,,,[],,,,
2,1599325034551857152,1599317817245200384,1670143776000.0,2022-12-04 14:19:36,+0530,,@entropicwonder @PizzaWassie @wassieEmporium Did I miss you.,en,[],[],971177546317524993,971177546317524993,wassielawyer,wassielawyer,7,14,https://twitter.com/wassielawyer/status/1599325034551857152,[],[],0,,False,2,1,0,,None,,,,,,,"[{'screen_name': 'entropicwonder', 'name': 'Osiris', 'id': '1523884942584795137'}, {'screen_name': 'PizzaWassie', 'name': 'PizzaWassie 🍕', 'id': '1027522863933403137'}, {'screen_name': 'wassieEmporium', 'name': 'Emporium byWassies', 'id': '1570754084726272001'}]",,,,
3,1599315358170877954,1599298955984408576,1670141469000.0,2022-12-04 13:41:09,+0530,,@gerald_beng Come by sir. I love my QCP frens.,en,[],[],971177546317524993,971177546317524993,wassielawyer,wassielawyer,7,13,https://twitter.com/wassielawyer/status/1599315358170877954,[],[],0,,False,1,1,0,,None,,,,,,,"[{'screen_name': 'gerald_beng', 'name': 'Gerald B-Ape', 'id': '1500432735181049859'}]",,,,
4,1599309292603322369,1599298955984408576,1670140023000.0,2022-12-04 13:17:03,+0530,,@velocirapteh @geoffrey_see Your brain will rot and you will love it.,en,[],[],971177546317524993,971177546317524993,wassielawyer,wassielawyer,7,13,https://twitter.com/wassielawyer/status/1599309292603322369,[],[],0,,False,2,0,1,,None,,,,,,,"[{'screen_name': 'velocirapteh', 'name': 'velocirapteh', 'id': '1187695177'}, {'screen_name': 'geoffrey_see', 'name': 'Geoffrey See @ Poko', 'id': '801003664567435265'}]",,,,
5,1599309132305399809,1599298955984408576,1670139985000.0,2022-12-04 13:16:25,+0530,,"@gerald_beng IRL has more filters and random 20 year olds don’t get to raise millions from retail.   Scammers abound IRL too but last cycle I saw so many founders with money raised that they are in no position to handle, shilling projects they have no capability to deliver.",en,[],[],971177546317524993,971177546317524993,wassielawyer,wassielawyer,7,13,https://twitter.com/wassielawyer/status/1599309132305399809,[],[],0,,False,9,2,0,,None,,,,,,,"[{'screen_name': 'gerald_beng', 'name': 'Gerald B-Ape', 'id': '1500432735181049859'}]",,,,
6,1599307495184666626,1599298955984408576,1670139595000.0,2022-12-04 13:09:55,+0530,,@geoffrey_see @velocirapteh That’s why you can trust me with your moolah 💰,en,[],[],971177546317524993,971177546317524993,wassielawyer,wassielawyer,7,13,https://twitter.com/wassielawyer/status/1599307495184666626,[],[],0,,False,1,1,0,,None,,,,,,,"[{'screen_name': 'geoffrey_see', 'name': 'Geoffrey See @ Poko', 'id': '801003664567435265'}, {'screen_name': 'velocirapteh', 'name': 'velocirapteh', 'id': '1187695177'}]",,,,
7,1599301685511618560,1599299117746098178,1670138210000.0,2022-12-04 12:46:50,+0530,,@metaversehodl  https://t.co/v4Z4EXZlFJ,qme,[],[],971177546317524993,971177546317524993,wassielawyer,wassielawyer,7,12,https://twitter.com/wassielawyer/status/1599301685511618560,[],['https://pbs.twimg.com/tweet_video_thumb/FjHcZulVsAABZCl.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/FjHcZulVsAABZCl.jpg,False,1,0,0,,None,,,,,,,[],,,,
8,1599299635906220032,1599299117746098178,1670137721000.0,2022-12-04 12:38:41,+0530,,@metaversehodl Yep I'm moving to a bunker in New Zealand. Should never have mocked the preppers.   Its fucking over.,en,[],[],971177546317524993,971177546317524993,wassielawyer,wassielawyer,7,12,https://twitter.com/wassielawyer/status/1599299635906220032,[],[],0,,False,2,1,0,,None,,,,,,,"[{'screen_name': 'metaversehodl', 'name': 'MetaverseHodl.eth', 'id': '1419020790742257664'}]",,,,
9,1599298955984408576,1599298955984408576,1670137559000.0,2022-12-04 12:35:59,+0530,,Genuinely think a lot of rugpulls in crypto are because this is the 'one shot' for the team to 'make it'.   Some of these founders will never see 7 figs IRL even if they work for a decade; what do you expect when you hand them 8 figs overnight?,en,[],[],971177546317524993,971177546317524993,wassielawyer,wassielawyer,7,12,https://twitter.com/wassielawyer/status/1599298955984408576,[],[],0,,False,268,20,15,,None,,,,,,,[],,,,
