,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2022-01-01 00:00:00,1640995200000.0,5.176e-05,5.221e-05,5.125e-05,5.152e-05,114497.8,1641038399999.0,5.92156061,1072.0,61731.7,3.19395674,0.0
2022-01-01 12:00:00,1641038400000.0,5.155e-05,5.34e-05,5.155e-05,5.3e-05,225961.7,1641081599999.0,11.87206497,1774.0,94068.8,4.94232611,0.0
2022-01-02 00:00:00,1641081600000.0,5.306e-05,5.391e-05,5.25e-05,5.37e-05,116603.5,1641124799999.0,6.20542206,1714.0,64132.2,3.41143728,0.0
2022-01-02 12:00:00,1641124800000.0,5.371e-05,5.469e-05,5.342e-05,5.395e-05,242418.7,1641167999999.0,13.08400753,3193.0,134404.3,7.25278492,0.0
2022-01-03 00:00:00,1641168000000.0,5.395e-05,5.568e-05,5.387e-05,5.492e-05,259889.5,1641211199999.0,14.24094322,2532.0,164784.3,9.03123161,0.0
2022-01-03 12:00:00,1641211200000.0,5.496e-05,5.66e-05,5.45e-05,5.515e-05,584446.9,1641254399999.0,32.43878085,5034.0,258305.9,14.32681396,0.0
2022-01-04 00:00:00,1641254400000.0,5.518e-05,5.576e-05,5.389e-05,5.487e-05,238222.2,1641297599999.0,13.0335139,3100.0,93170.8,5.10134073,0.0
2022-01-04 12:00:00,1641297600000.0,5.487e-05,5.55e-05,5.39e-05,5.409e-05,315049.8,1641340799999.0,17.21947403,2406.0,139375.5,7.61422172,0.0
2022-01-05 00:00:00,1641340800000.0,5.41e-05,5.527e-05,5.364e-05,5.451e-05,325115.8,1641383999999.0,17.72276905,3046.0,132076.8,7.22256457,0.0
2022-01-05 12:00:00,1641384000000.0,5.465e-05,5.548e-05,5.125e-05,5.335e-05,437733.8,1641427199999.0,23.5706712,5102.0,205696.9,11.08477129,0.0
2022-01-06 00:00:00,1641427200000.0,5.337e-05,5.384e-05,5.2e-05,5.347e-05,255354.5,1641470399999.0,13.52048403,3730.0,175506.5,9.29183667,0.0
2022-01-06 12:00:00,1641470400000.0,5.358e-05,5.517e-05,5.319e-05,5.443e-05,267216.8,1641513599999.0,14.50834845,3161.0,113754.5,6.1871414,0.0
2022-01-07 00:00:00,1641513600000.0,5.443e-05,5.458e-05,5.163e-05,5.228e-05,318955.2,1641556799999.0,16.89410024,3735.0,185585.7,9.84097092,0.0
2022-01-07 12:00:00,1641556800000.0,5.231e-05,5.326e-05,5.191e-05,5.25e-05,193524.9,1641599999999.0,10.16182979,2316.0,75388.2,3.9582426,0.0
2022-01-08 00:00:00,1641600000000.0,5.258e-05,5.329e-05,5.219e-05,5.312e-05,70555.5,1641643199999.0,3.73154436,935.0,38853.5,2.05694104,0.0
2022-01-08 12:00:00,1641643200000.0,5.306e-05,5.336e-05,5.017e-05,5.105e-05,331754.0,1641686399999.0,17.01986709,4238.0,148525.4,7.6531374,0.0
