,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2022-01-01 00:00:00,1640995200000.0,2.391,2.537,2.391,2.534,6304715.2,1641081599999.0,15531028.1475,50048.0,3224934.6,7948522.3667,0.0
2022-01-02 00:00:00,1641081600000.0,2.534,2.582,2.466,2.554,7336947.4,1641167999999.0,18580469.6192,55044.0,3663440.5,9274936.2296,0.0
2022-01-03 00:00:00,1641168000000.0,2.553,2.66,2.497,2.562,11828516.0,1641254399999.0,30523050.0574,106043.0,5778430.5,14917504.1015,0.0
2022-01-04 00:00:00,1641254400000.0,2.562,2.6,2.459,2.478,9652881.7,1641340799999.0,24500015.7817,79307.0,4835048.3,12273118.3595,0.0
2022-01-05 00:00:00,1641340800000.0,2.478,2.582,2.2,2.321,13528238.0,1641427199999.0,33047982.2367,127145.0,6634295.5,16190303.4923,0.0
2022-01-06 00:00:00,1641427200000.0,2.323,2.388,2.228,2.347,13597484.8,1641513599999.0,31284241.4412,153122.0,6943034.9,15978833.1196,0.0
2022-01-07 00:00:00,1641513600000.0,2.344,2.45,2.117,2.184,17340613.9,1641599999999.0,38308421.878,108441.0,8797146.7,19442796.3603,0.0
2022-01-08 00:00:00,1641600000000.0,2.185,2.27,2.034,2.127,10774578.8,1641686399999.0,23131054.8288,72699.0,5394967.1,11585936.7281,0.0
2022-01-09 00:00:00,1641686400000.0,2.126,2.202,2.091,2.151,5862549.5,1641772799999.0,12582563.2432,41179.0,2915720.1,6258416.6825,0.0
2022-01-10 00:00:00,1641772800000.0,2.15,2.188,1.965,2.077,11140993.5,1641859199999.0,23030428.87742,118899.0,5733442.6,11850358.8171,0.0
2022-01-11 00:00:00,1641859200000.0,2.077,2.169,2.03,2.148,6494319.8,1641945599999.0,13631382.6838,47032.0,3309406.3,6951324.8266,0.0
2022-01-12 00:00:00,1641945600000.0,2.15,2.261,2.139,2.247,6631899.5,1642031999999.0,14596450.7964,58960.0,3225901.0,7103761.4804,0.0
2022-01-13 00:00:00,1642032000000.0,2.248,2.524,2.214,2.346,39179594.6,1642118399999.0,94559699.0285,333283.0,18930307.2,45692342.2125,0.0
2022-01-14 00:00:00,1642118400000.0,2.345,2.45,2.263,2.37,10010967.5,1642204799999.0,23581343.7318,84226.0,4983737.6,11744086.9663,0.0
2022-01-15 00:00:00,1642204800000.0,2.37,2.427,2.338,2.386,4899082.2,1642291199999.0,11664838.7128,43157.0,2365431.4,5632093.6225,0.0
2022-01-16 00:00:00,1642291200000.0,2.386,2.463,2.349,2.435,8374877.3,1642377599999.0,20255349.1455,78226.0,4322902.5,10457458.7399,0.0
2022-01-17 00:00:00,1642377600000.0,2.435,2.449,2.196,2.242,8372995.0,1642463999999.0,19267886.7694,65836.0,3967067.0,9135709.8411,0.0
2022-01-18 00:00:00,1642464000000.0,2.244,2.278,2.115,2.189,7222718.3,1642550399999.0,15756466.4092,47897.0,3600630.0,7855756.1403,0.0
2022-01-19 00:00:00,1642550400000.0,2.189,2.196,2.061,2.089,7443117.4,1642636799999.0,15752430.5136,44585.0,3558965.9,7528586.5061,0.0
2022-01-20 00:00:00,1642636800000.0,2.087,2.239,2.026,2.036,8200234.2,1642723199999.0,17586787.8265,54690.0,4087928.9,8776031.3495,0.0
2022-01-21 00:00:00,1642723200000.0,2.034,2.061,1.706,1.842,16671329.73,1642809599999.0,31465644.686725,100627.0,7795710.6,14718131.5478,0.0
2022-01-22 00:00:00,1642809600000.0,1.841,1.867,1.5,1.613,16176847.85,1642895999999.0,26772050.842405,79835.0,7919463.9,13135646.707,0.0
2022-01-23 00:00:00,1642896000000.0,1.613,1.713,1.58,1.691,6897967.5,1642982399999.0,11385531.055,38079.0,3507916.8,5792372.7524,0.0
2022-01-24 00:00:00,1642982400000.0,1.689,1.69,1.422,1.585,11978928.35,1643068799999.0,18247049.139236,57277.0,5916248.83,9010821.53108,0.0
2022-01-25 00:00:00,1643068800000.0,1.585,1.613,1.528,1.593,6952721.1,1643155199999.0,10920528.3232,38279.0,3401240.9,5344116.5674,0.0
2022-01-26 00:00:00,1643155200000.0,1.594,1.829,1.574,1.629,12385112.0,1643241599999.0,21101135.0057,79224.0,6167516.2,10507899.5874,0.0
2022-01-27 00:00:00,1643241600000.0,1.628,1.66,1.523,1.588,6608144.3,1643327999999.0,10540564.4963,36974.0,3433814.4,5476890.285,0.0
2022-01-28 00:00:00,1643328000000.0,1.59,1.77,1.55,1.647,9045081.0,1643414399999.0,14416152.8111,47736.0,4658658.2,7430426.3189,0.0
2022-01-29 00:00:00,1643414400000.0,1.647,1.745,1.643,1.713,6693731.6,1643500799999.0,11394850.1594,42697.0,3409371.3,5803719.1343,0.0
2022-01-30 00:00:00,1643500800000.0,1.713,1.731,1.624,1.662,3929931.7,1643587199999.0,6617136.7139,24793.0,1923083.6,3241474.7869,0.0
2022-01-31 00:00:00,1643587200000.0,1.66,1.698,1.575,1.682,5061907.1,1643673599999.0,8328615.5959,30485.0,2477185.6,4080034.2312,0.0
2022-02-01 00:00:00,1643673600000.0,1.682,1.744,1.637,1.706,5514739.7,1643759999999.0,9302227.3994,36654.0,2788707.8,4704830.11,0.0
2022-02-02 00:00:00,1643760000000.0,1.706,1.75,1.603,1.631,5293303.3,1643846399999.0,8893993.3515,36050.0,2640225.1,4438056.7301,0.0
2022-02-03 00:00:00,1643846400000.0,1.631,1.665,1.58,1.66,4072652.7,1643932799999.0,6606046.6059,24140.0,2005317.2,3254659.9922,0.0
2022-02-04 00:00:00,1643932800000.0,1.66,1.766,1.646,1.764,7780391.7,1644019199999.0,13294261.9564,44713.0,3885812.0,6643718.7189,0.0
2022-02-05 00:00:00,1644019200000.0,1.764,1.847,1.747,1.787,6516100.0,1644105599999.0,11702137.6396,47759.0,3262291.4,5857628.2928,0.0
2022-02-06 00:00:00,1644105600000.0,1.788,1.868,1.756,1.859,5375027.6,1644191999999.0,9785932.4423,42721.0,2685474.7,4889470.847,0.0
2022-02-07 00:00:00,1644192000000.0,1.86,1.962,1.799,1.94,6887980.7,1644278399999.0,13075509.0534,61367.0,3442998.8,6538548.3081,0.0
2022-02-08 00:00:00,1644278400000.0,1.94,1.983,1.783,1.859,8263251.8,1644364799999.0,15507445.5189,65216.0,3958810.2,7429630.015,0.0
2022-02-09 00:00:00,1644364800000.0,1.86,1.955,1.837,1.923,6579507.4,1644451199999.0,12452784.718,43737.0,3401079.2,6438778.2392,0.0
2022-02-10 00:00:00,1644451200000.0,1.923,1.95,1.779,1.799,9186581.4,1644537599999.0,17212072.0942,60070.0,4354948.8,8161245.3326,0.0
2022-02-11 00:00:00,1644537600000.0,1.8,1.842,1.679,1.717,5627126.3,1644623999999.0,9975865.3807,39380.0,2636201.4,4678538.8819,0.0
2022-02-12 00:00:00,1644624000000.0,1.714,1.74,1.646,1.691,3418141.7,1644710399999.0,5770937.5316,23505.0,1660414.1,2804074.8844,0.0
2022-02-13 00:00:00,1644710400000.0,1.691,1.707,1.612,1.657,2937267.8,1644796799999.0,4890846.7948,19192.0,1267036.3,2114953.9917,0.0
2022-02-14 00:00:00,1644796800000.0,1.657,1.738,1.621,1.697,5403910.9,1644883199999.0,9132413.4778,33732.0,2785203.3,4712993.534,0.0
2022-02-15 00:00:00,1644883200000.0,1.698,1.802,1.687,1.798,3404717.4,1644969599999.0,5955337.1797,24588.0,1616247.5,2829648.2894,0.0
2022-02-16 00:00:00,1644969600000.0,1.798,1.872,1.748,1.8,5538940.2,1645055999999.0,10040459.7964,42343.0,2671883.2,4843532.4392,0.0
2022-02-17 00:00:00,1645056000000.0,1.803,1.828,1.643,1.659,6428596.1,1645142399999.0,11172088.8271,39221.0,2932732.9,5093796.1514,0.0
2022-02-18 00:00:00,1645142400000.0,1.659,1.68,1.554,1.582,7961020.2,1645228799999.0,12929601.4061,34162.0,4117525.4,6691285.2864,0.0
2022-02-19 00:00:00,1645228800000.0,1.581,1.604,1.522,1.581,2894167.3,1645315199999.0,4541358.9768,18640.0,1169425.9,1834252.2522,0.0
2022-02-20 00:00:00,1645315200000.0,1.582,1.584,1.456,1.486,4341973.5,1645401599999.0,6498268.5966,26312.0,2212452.5,3310939.3234,0.0
2022-02-21 00:00:00,1645401600000.0,1.485,1.553,1.354,1.365,7972147.58,1645487999999.0,11664258.7572,42019.0,3959645.0,5794319.6376,0.0
2022-02-22 00:00:00,1645488000000.0,1.366,1.439,1.313,1.422,5189458.22,1645574399999.0,7140957.7771,27178.0,2626638.8,3618982.0396,0.0
2022-02-23 00:00:00,1645574400000.0,1.422,1.484,1.382,1.383,4136805.2,1645660799999.0,5965360.7965,24571.0,2094132.7,3020098.6803,0.0
2022-02-24 00:00:00,1645660800000.0,1.385,1.395,1.181,1.34,11892884.39,1645747199999.0,15084314.70934,56376.0,5920268.23,7500570.58031,0.0
2022-02-25 00:00:00,1645747200000.0,1.341,1.503,1.309,1.451,6010264.7,1645833599999.0,8318144.1785,37590.0,3088399.3,4278946.9765,0.0
2022-02-26 00:00:00,1645833600000.0,1.451,1.483,1.41,1.435,3089954.2,1645919999999.0,4457089.7894,20310.0,1458120.4,2103644.6795,0.0
2022-02-27 00:00:00,1645920000000.0,1.436,1.539,1.36,1.384,7545710.1,1646006399999.0,10810016.2468,47225.0,3673934.9,5270629.4385,0.0
2022-02-28 00:00:00,1646006400000.0,1.384,1.506,1.327,1.504,8626335.0,1646092799999.0,12030656.0072,46713.0,4564403.7,6369050.7782,0.0
