,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2022-03-17 14:30:00,1647527400000.0,2.43e-05,0.001,2.43e-05,0.00022252,773514.56,1647528299999.0,197.67106283,30081.0,349634.73,93.01014404,0.0
2022-03-17 14:45:00,1647528300000.0,0.00022303,0.000234,0.00021025,0.00021827,183900.33,1647529199999.0,41.17706416,5855.0,91905.43,20.58984208,0.0
2022-03-17 15:00:00,1647529200000.0,0.00021849,0.00022779,0.00021404,0.00021531,116514.0,1647530099999.0,25.84406867,4065.0,57134.46,12.66402675,0.0
2022-03-17 15:15:00,1647530100000.0,0.00021573,0.00024362,0.00018111,0.00021151,136905.03,1647530999999.0,29.4572617,3555.0,67325.52,14.73925885,0.0
2022-03-17 15:30:00,1647531000000.0,0.00021091,0.00021451,0.00018971,0.00019348,114133.2,1647531899999.0,22.93326834,3615.0,49579.33,9.96147999,0.0
2022-03-17 15:45:00,1647531900000.0,0.00019347,0.00019749,0.00017758,0.00018083,117775.18,1647532799999.0,22.06445325,3987.0,47440.02,8.94193204,0.0
2022-03-17 16:00:00,1647532800000.0,0.00018067,0.0002,0.00017642,0.00018396,206201.87,1647533699999.0,38.02790789,5313.0,85028.54,15.71517467,0.0
2022-03-17 16:15:00,1647533700000.0,0.00018354,0.00019365,0.0001805,0.0001933,318973.53,1647534599999.0,60.00960456,5427.0,196968.4,37.11746384,0.0
2022-03-17 16:30:00,1647534600000.0,0.00019301,0.0002049,0.00018783,0.00020364,294006.0,1647535499999.0,57.59000636,5166.0,155761.21,30.37608863,0.0
2022-03-17 16:45:00,1647535500000.0,0.00020333,0.00020732,0.0001946,0.00020254,161900.33,1647536399999.0,32.84554793,4493.0,89419.28,18.16682882,0.0
2022-03-17 17:00:00,1647536400000.0,0.00020219,0.00020532,0.00019146,0.00019293,96384.44,1647537299999.0,19.0793419,3458.0,51776.38,10.23014502,0.0
2022-03-17 17:15:00,1647537300000.0,0.00019376,0.00020021,0.00019165,0.00019628,60733.22,1647538199999.0,11.99381412,2240.0,28407.01,5.62106552,0.0
2022-03-17 17:30:00,1647538200000.0,0.00019636,0.00020417,0.000195,0.00020188,55217.09,1647539099999.0,10.97826533,1914.0,26049.89,5.1898806,0.0
2022-03-17 17:45:00,1647539100000.0,0.0002024,0.00020259,0.00019461,0.00019488,62361.22,1647539999999.0,12.35412173,2300.0,24084.39,4.77463177,0.0
2022-03-17 18:00:00,1647540000000.0,0.00019465,0.0001951,0.00018676,0.00018772,72318.33,1647540899999.0,13.73987858,2237.0,36182.25,6.87122179,0.0
2022-03-17 18:15:00,1647540900000.0,0.00018802,0.0001899,0.00018601,0.00018691,43451.35,1647541799999.0,8.18987807,1451.0,16562.38,3.12233558,0.0
2022-03-17 18:30:00,1647541800000.0,0.00018709,0.0001871,0.00018067,0.00018388,49789.59,1647542699999.0,9.12964672,1699.0,16971.7,3.11441262,0.0
2022-03-17 18:45:00,1647542700000.0,0.00018389,0.00018734,0.00017834,0.00018098,51647.71,1647543599999.0,9.43963603,1799.0,20450.01,3.74129168,0.0
2022-03-17 19:00:00,1647543600000.0,0.00018122,0.00018518,0.0001788,0.00018308,46976.28,1647544499999.0,8.52103952,1667.0,20972.14,3.80633839,0.0
2022-03-17 19:15:00,1647544500000.0,0.00018308,0.00019,0.00018296,0.0001885,54366.97,1647545399999.0,10.14124936,1733.0,20771.3,3.87574044,0.0
2022-03-17 19:30:00,1647545400000.0,0.00018852,0.00019225,0.00018564,0.00018668,56039.75,1647546299999.0,10.57663831,1799.0,20983.24,3.96537244,0.0
2022-03-17 19:45:00,1647546300000.0,0.00018659,0.00019262,0.00018659,0.00019051,50404.37,1647547199999.0,9.59425529,1717.0,18836.73,3.58521034,0.0
2022-03-17 20:00:00,1647547200000.0,0.00019031,0.00019843,0.00018781,0.00019277,70212.29,1647548099999.0,13.51223107,1971.0,40528.22,7.81558026,0.0
2022-03-17 20:15:00,1647548100000.0,0.00019273,0.0002,0.00019089,0.00019855,47962.98,1647548999999.0,9.34459696,1754.0,23741.07,4.64195181,0.0
2022-03-17 20:30:00,1647549000000.0,0.00019873,0.00020148,0.00019434,0.00019858,77678.85,1647549899999.0,15.40606374,2374.0,45889.78,9.10927541,0.0
2022-03-17 20:45:00,1647549900000.0,0.00019847,0.0002017,0.00019645,0.00019909,40025.9,1647550799999.0,7.98618578,1435.0,18525.33,3.69854227,0.0
2022-03-17 21:00:00,1647550800000.0,0.00019872,0.00020561,0.00019787,0.0002053,57366.49,1647551699999.0,11.60225036,1734.0,29527.75,5.981185,0.0
