,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2022-04-08 00:00:00,1649376000000.0,0.003462,0.00379,0.00333,0.003382,26454.209,1649462399999.0,90.04593066,1106.0,9430.238,32.24816409,0.0
2022-04-09 00:00:00,1649462400000.0,0.003372,0.003427,0.003278,0.003364,19766.992,1649548799999.0,66.48167313,904.0,9781.333,33.03862815,0.0
2022-04-10 00:00:00,1649548800000.0,0.00337,0.003844,0.00335,0.003771,113270.854,1649635199999.0,411.82838783,2833.0,68389.776,250.31157276,0.0
2022-04-11 00:00:00,1649635200000.0,0.003771,0.003807,0.003496,0.003671,204434.585,1649721599999.0,733.48880619,3010.0,154414.966,552.45173058,0.0
2022-04-12 00:00:00,1649721600000.0,0.003678,0.003966,0.003625,0.003838,90836.657,1649807999999.0,344.48031564,2356.0,40866.146,155.93711146,0.0
2022-04-13 00:00:00,1649808000000.0,0.003836,0.00441,0.003818,0.004246,94442.331,1649894399999.0,385.42915116,2402.0,43630.304,178.78587262,0.0
2022-04-14 00:00:00,1649894400000.0,0.004273,0.004378,0.003988,0.004076,42218.763,1649980799999.0,176.13113532,1872.0,20731.681,86.6933387,0.0
2022-04-15 00:00:00,1649980800000.0,0.004073,0.0043,0.003988,0.004029,48550.272,1650067199999.0,197.72138914,1579.0,23230.011,95.28420802,0.0
2022-04-16 00:00:00,1650067200000.0,0.004022,0.0041,0.003726,0.003809,75098.896,1650153599999.0,290.3346432,1500.0,31192.555,120.9991459,0.0
2022-04-17 00:00:00,1650153600000.0,0.003816,0.004,0.003778,0.003922,99167.588,1650239999999.0,383.71422513,1846.0,55702.439,215.03161556,0.0
2022-04-18 00:00:00,1650240000000.0,0.003892,0.004108,0.003779,0.003891,221976.32,1650326399999.0,856.54379289,3568.0,115105.177,445.33201513,0.0
2022-04-19 00:00:00,1650326400000.0,0.003889,0.004427,0.003831,0.004327,170326.714,1650412799999.0,707.71182718,3791.0,71941.761,299.69090095,0.0
2022-04-20 00:00:00,1650412800000.0,0.004332,0.005762,0.00422,0.005435,416027.57,1650499199999.0,2156.12837199,11424.0,179006.741,924.70270849,0.0
2022-04-21 00:00:00,1650499200000.0,0.005457,0.005457,0.004704,0.004788,224941.986,1650585599999.0,1121.19462134,8055.0,106937.51,532.7743698,0.0
2022-04-22 00:00:00,1650585600000.0,0.004781,0.00552,0.00457,0.005183,262366.9,1650671999999.0,1274.3079271,7412.0,118092.701,571.40171884,0.0
2022-04-23 00:00:00,1650672000000.0,0.005178,0.006228,0.005132,0.00569,422847.654,1650758399999.0,2396.17299479,14982.0,199692.661,1130.34049053,0.0
2022-04-24 00:00:00,1650758400000.0,0.005688,0.006046,0.005381,0.005762,209836.421,1650844799999.0,1192.75088594,6627.0,94788.867,540.33038458,0.0
2022-04-25 00:00:00,1650844800000.0,0.005762,0.0065,0.005653,0.006449,388024.622,1650931199999.0,2375.26984752,13232.0,206358.662,1276.11271908,0.0
2022-04-26 00:00:00,1650931200000.0,0.006443,0.006534,0.005837,0.00642,342509.283,1651017599999.0,2117.05451853,11812.0,161251.704,999.62586475,0.0
2022-04-27 00:00:00,1651017600000.0,0.006444,0.007041,0.0063,0.006723,265606.393,1651103999999.0,1771.21100453,11703.0,145290.269,971.22400096,0.0
2022-04-28 00:00:00,1651104000000.0,0.006733,0.009437,0.006619,0.008083,1130072.235,1651190399999.0,8873.72178012,30127.0,540794.64,4249.94664387,0.0
2022-04-29 00:00:00,1651190400000.0,0.008071,0.008314,0.006574,0.006835,978556.769,1651276799999.0,7374.77272845,30841.0,488222.72,3667.03680544,0.0
2022-04-30 00:00:00,1651276800000.0,0.006814,0.0092,0.006802,0.007353,961802.385,1651363199999.0,7665.17889209,34785.0,444250.316,3559.45694295,0.0
2022-05-01 00:00:00,1651363200000.0,0.007331,0.007464,0.005524,0.005622,942944.671,1651449599999.0,5985.31275825,25173.0,378731.976,2416.65313838,0.0
2022-05-02 00:00:00,1651449600000.0,0.005618,0.006083,0.005092,0.005258,323089.173,1651535999999.0,1779.65891799,8938.0,191722.746,1059.84204346,0.0
2022-05-03 00:00:00,1651536000000.0,0.005251,0.005544,0.004944,0.005085,188284.427,1651622399999.0,986.62775446,4508.0,102276.883,534.96799307,0.0
2022-05-04 00:00:00,1651622400000.0,0.005097,0.006199,0.005023,0.005301,360282.661,1651708799999.0,1980.70819518,9686.0,164919.531,910.69244563,0.0
2022-05-05 00:00:00,1651708800000.0,0.005308,0.005684,0.004773,0.004981,216761.442,1651795199999.0,1126.92891014,7592.0,91248.219,475.37898151,0.0
2022-05-06 00:00:00,1651795200000.0,0.004982,0.005042,0.004774,0.004923,120834.042,1651881599999.0,593.67205468,3865.0,54554.646,268.29323762,0.0
2022-05-07 00:00:00,1651881600000.0,0.004922,0.004951,0.004595,0.004687,214534.881,1651967999999.0,1014.98583096,5194.0,91624.583,433.85827452,0.0
2022-05-08 00:00:00,1651968000000.0,0.004694,0.004799,0.004395,0.004463,175045.966,1652054399999.0,805.43806785,3693.0,77972.043,359.13360679,0.0
2022-05-09 00:00:00,1652054400000.0,0.004463,0.004683,0.003553,0.003612,399130.838,1652140799999.0,1701.77490535,7250.0,185863.182,791.55921538,0.0
2022-05-10 00:00:00,1652140800000.0,0.00362,0.004326,0.0035,0.00387,649889.124,1652227199999.0,2486.01233607,10990.0,319784.914,1229.42185449,0.0
2022-05-11 00:00:00,1652227200000.0,0.003835,0.003994,0.002372,0.002756,779821.612,1652313599999.0,2509.3870937,9870.0,321333.781,1042.60429422,0.0
2022-05-12 00:00:00,1652313600000.0,0.002765,0.004543,0.002765,0.00399,936146.971,1652399999999.0,3402.86101811,18580.0,489698.624,1775.16919997,0.0
2022-05-13 00:00:00,1652400000000.0,0.003968,0.004627,0.003892,0.00427,516172.621,1652486399999.0,2190.82796053,13566.0,266134.276,1136.19533906,0.0
2022-05-14 00:00:00,1652486400000.0,0.00425,0.004424,0.003691,0.004213,321880.818,1652572799999.0,1294.09557605,5837.0,153361.357,617.39533683,0.0
2022-05-15 00:00:00,1652572800000.0,0.004191,0.004354,0.003963,0.004256,137461.095,1652659199999.0,565.98754484,3654.0,70153.574,289.76815714,0.0
2022-05-16 00:00:00,1652659200000.0,0.004219,0.004225,0.003923,0.003995,138850.551,1652745599999.0,561.04843584,2833.0,66250.534,267.48829258,0.0
2022-05-17 00:00:00,1652745600000.0,0.003993,0.004418,0.003969,0.004241,309921.614,1652831999999.0,1295.97917194,5550.0,155621.328,651.70585648,0.0
2022-05-18 00:00:00,1652832000000.0,0.004239,0.004345,0.00392,0.004165,150148.546,1652918399999.0,619.45111921,3196.0,67921.78,280.21448987,0.0
2022-05-19 00:00:00,1652918400000.0,0.004169,0.004235,0.003871,0.003992,70595.63,1653004799999.0,283.38662531,2043.0,30757.997,124.01708387,0.0
2022-05-20 00:00:00,1653004800000.0,0.003992,0.004104,0.003872,0.003959,58194.501,1653091199999.0,230.0808966,1208.0,28652.032,113.47898597,0.0
2022-05-21 00:00:00,1653091200000.0,0.003954,0.004165,0.003895,0.004078,58261.182,1653177599999.0,234.10160163,924.0,27807.985,112.37463297,0.0
2022-05-22 00:00:00,1653177600000.0,0.004062,0.004107,0.003908,0.003937,85713.891,1653263999999.0,342.14011642,1458.0,28996.744,115.8960053,0.0
2022-05-23 00:00:00,1653264000000.0,0.003932,0.00409,0.003873,0.003921,112663.032,1653350399999.0,443.15453833,1940.0,37316.836,147.91266186,0.0
2022-05-24 00:00:00,1653350400000.0,0.003932,0.003971,0.003623,0.003787,62038.858,1653436799999.0,234.15569828,1365.0,25255.397,95.32552408,0.0
2022-05-25 00:00:00,1653436800000.0,0.003802,0.003832,0.003716,0.003774,26353.338,1653523199999.0,99.53130426,920.0,12766.537,48.31824159,0.0
2022-05-26 00:00:00,1653523200000.0,0.003773,0.003793,0.003493,0.00356,116003.9,1653609599999.0,420.73375954,2580.0,61497.039,223.3585643,0.0
2022-05-27 00:00:00,1653609600000.0,0.003565,0.00359,0.003358,0.003525,174482.767,1653695999999.0,598.94966045,2403.0,69770.634,240.24824238,0.0
2022-05-28 00:00:00,1653696000000.0,0.003515,0.00361,0.003468,0.003473,77332.122,1653782399999.0,274.23055078,1032.0,29550.809,104.68066619,0.0
2022-05-29 00:00:00,1653782400000.0,0.003471,0.003489,0.003386,0.003444,63797.021,1653868799999.0,219.40999155,923.0,32658.975,112.27064863,0.0
2022-05-30 00:00:00,1653868800000.0,0.003438,0.003808,0.003411,0.003612,125485.065,1653955199999.0,454.5705816,2225.0,67259.505,244.88926343,0.0
2022-05-31 00:00:00,1653955200000.0,0.003616,0.003683,0.00338,0.003493,77032.655,1654041599999.0,269.23780667,1435.0,29581.942,103.75710069,0.0
2022-06-01 00:00:00,1654041600000.0,0.003493,0.003585,0.003336,0.003359,80134.06,1654127999999.0,276.07553004,1374.0,30415.893,105.47257529,0.0
2022-06-02 00:00:00,1654128000000.0,0.003358,0.003598,0.003309,0.003496,94681.161,1654214399999.0,320.59550047,1501.0,62660.371,212.34582999,0.0
2022-06-03 00:00:00,1654214400000.0,0.003489,0.003534,0.003405,0.003451,95431.151,1654300799999.0,331.71316252,1334.0,32465.262,112.87262082,0.0
2022-06-04 00:00:00,1654300800000.0,0.003462,0.003495,0.003415,0.003437,68533.142,1654387199999.0,238.08810851,831.0,14305.382,49.64628762,0.0
2022-06-05 00:00:00,1654387200000.0,0.003427,0.003431,0.003334,0.003381,59198.742,1654473599999.0,200.99228353,750.0,23743.1,80.78836014,0.0
2022-06-06 00:00:00,1654473600000.0,0.003371,0.003453,0.003294,0.003435,138432.833,1654559999999.0,461.8172163,1919.0,24869.298,83.66988442,0.0
2022-06-07 00:00:00,1654560000000.0,0.003427,0.003481,0.00332,0.003333,79839.189,1654646399999.0,272.00016378,1273.0,44139.034,150.65002955,0.0
2022-06-08 00:00:00,1654646400000.0,0.003326,0.003347,0.003165,0.003187,81027.056,1654732799999.0,266.03998907,1309.0,36538.441,120.00420995,0.0
2022-06-09 00:00:00,1654732800000.0,0.003181,0.00325,0.003161,0.0032,67805.807,1654819199999.0,218.00806843,1038.0,39320.387,126.58909543,0.0
2022-06-10 00:00:00,1654819200000.0,0.003208,0.003224,0.00305,0.003111,127697.695,1654905599999.0,400.2883827,1887.0,65026.23,204.1740786,0.0
2022-06-11 00:00:00,1654905600000.0,0.003104,0.003476,0.003067,0.003091,163961.035,1654991999999.0,535.68338815,2962.0,96614.147,317.35419409,0.0
2022-06-12 00:00:00,1654992000000.0,0.003095,0.003112,0.002686,0.002704,125857.279,1655078399999.0,367.68957945,1799.0,43171.267,125.84731998,0.0
2022-06-13 00:00:00,1655078400000.0,0.00274,0.002937,0.002683,0.002869,132952.089,1655164799999.0,373.0708059,1899.0,63081.57,177.37362211,0.0
2022-06-14 00:00:00,1655164800000.0,0.002896,0.003282,0.002895,0.002985,143515.283,1655251199999.0,437.04149924,2183.0,74137.884,225.1505471,0.0
