,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2022-03-17 14:30:00,1647527400000.0,1.0,28.0,1.0,9.11,11595637.27,1647528299999.0,113013775.369836,209435.0,5913042.96,57731155.209858,0.0
2022-03-17 14:45:00,1647528300000.0,9.1125,9.5173,8.6001,8.9091,4139045.83,1647529199999.0,37729458.224964,79746.0,1736355.47,15858787.714435,0.0
2022-03-17 15:00:00,1647529200000.0,8.8895,9.299,8.74,8.8071,2597477.42,1647530099999.0,23566229.158101,56216.0,1296833.07,11793711.223482,0.0
2022-03-17 15:15:00,1647530100000.0,8.8089,9.0,8.3581,8.6489,1702596.78,1647530999999.0,14818448.405331,44186.0,734547.77,6409901.265339,0.0
2022-03-17 15:30:00,1647531000000.0,8.6489,8.7975,7.762,7.904,2442641.36,1647531899999.0,20184680.310871,49003.0,851603.31,7031607.399627,0.0
2022-03-17 15:45:00,1647531900000.0,7.9062,8.0782,7.2372,7.3658,2534258.85,1647532799999.0,19543549.970952,49703.0,1092792.82,8387128.57657,0.0
2022-03-17 16:00:00,1647532800000.0,7.3775,7.9367,7.1882,7.5029,2938471.17,1647533699999.0,22026764.143313,56838.0,1603606.88,12026225.851523,0.0
2022-03-17 16:15:00,1647533700000.0,7.4903,7.8901,7.4069,7.8758,2331383.95,1647534599999.0,17899032.17881,48925.0,1167755.72,8967051.108634,0.0
2022-03-17 16:30:00,1647534600000.0,7.8759,8.37,7.65,8.3074,2582093.03,1647535499999.0,20675464.546735,53507.0,1375720.31,11042249.610268,0.0
2022-03-17 16:45:00,1647535500000.0,8.3074,8.46,7.95,8.2527,2154932.92,1647536399999.0,17820220.211963,49788.0,1069825.24,8855743.527287,0.0
2022-03-17 17:00:00,1647536400000.0,8.2527,8.37,7.7684,7.8579,1220355.43,1647537299999.0,9860252.635844,33489.0,593843.77,4796225.875716,0.0
2022-03-17 17:15:00,1647537300000.0,7.8327,8.1512,7.8002,8.0,987709.89,1647538199999.0,7935679.403017,24966.0,612516.32,4921187.295965,0.0
2022-03-17 17:30:00,1647538200000.0,8.0,8.2648,7.9306,8.226,1151962.98,1647539099999.0,9332400.289276,24005.0,856131.79,6938553.589838,0.0
2022-03-17 17:45:00,1647539100000.0,8.235,8.27,7.9118,7.94,1004463.05,1647539999999.0,8143601.596817,22298.0,403859.02,3268951.455702,0.0
2022-03-17 18:00:00,1647540000000.0,7.94,7.9597,7.617,7.6649,1052720.39,1647540899999.0,8179640.692209,26929.0,549681.52,4271201.212146,0.0
2022-03-17 18:15:00,1647540900000.0,7.6677,7.7599,7.6,7.6202,549158.14,1647541799999.0,4227104.150347,14323.0,260770.76,2009152.966048,0.0
2022-03-17 18:30:00,1647541800000.0,7.6232,7.63,7.38,7.4931,898326.18,1647542699999.0,6723989.918109,21800.0,419798.14,3143358.679294,0.0
2022-03-17 18:45:00,1647542700000.0,7.4995,7.6199,7.273,7.388,675694.15,1647543599999.0,5039083.687432,16429.0,330238.97,2464765.383895,0.0
2022-03-17 19:00:00,1647543600000.0,7.3876,7.5,7.2955,7.4621,765293.5,1647544499999.0,5668214.853365,16088.0,434384.68,3219888.538191,0.0
2022-03-17 19:15:00,1647544500000.0,7.4631,7.7598,7.4631,7.6916,883962.04,1647545399999.0,6730189.320599,16672.0,514139.55,3916167.569731,0.0
2022-03-17 19:30:00,1647545400000.0,7.6916,7.846,7.5589,7.62,697912.52,1647546299999.0,5375948.798643,15515.0,372409.25,2869144.710499,0.0
2022-03-17 19:45:00,1647546300000.0,7.6199,7.855,7.6183,7.7777,652419.39,1647547199999.0,5071898.069405,13490.0,378310.94,2941870.337411,0.0
2022-03-17 20:00:00,1647547200000.0,7.7777,7.8999,7.6841,7.8464,584680.0,1647548099999.0,4572300.817099,13237.0,325140.85,2544366.247049,0.0
2022-03-17 20:15:00,1647548100000.0,7.8464,8.1366,7.7654,8.0824,769604.93,1647548999999.0,6116223.250049,15707.0,417411.07,3316231.86942,0.0
2022-03-17 20:30:00,1647549000000.0,8.0775,8.2,7.916,8.0761,1062784.47,1647549899999.0,8585815.346214,25038.0,484406.63,3911306.838579,0.0
2022-03-17 20:45:00,1647549900000.0,8.0772,8.2242,7.9907,8.0956,746220.75,1647550799999.0,6067016.00695,16908.0,398917.32,3246421.114843,0.0
