,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2022-10-19 00:00:00,1666137600000.0,1.0,100.0,1.0,8.4946,14808472.5,1666144799999.0,160817661.601596,292993.0,6434696.25,69481561.067995,0.0
2022-10-19 02:00:00,1666144800000.0,8.5077,8.5895,6.6,6.8147,10854201.89,1666151999999.0,79244949.551713,178469.0,4698905.44,34336675.51947,0.0
2022-10-19 04:00:00,1666152000000.0,6.8038,8.25,6.7456,7.9068,8627464.02,1666159199999.0,65532593.528977,174190.0,4354657.13,33165841.429035,0.0
2022-10-19 06:00:00,1666159200000.0,7.9038,7.9102,7.3,7.5218,5445890.0,1666166399999.0,41444686.726992,101699.0,2532643.34,19276167.941182,0.0
2022-10-19 08:00:00,1666166400000.0,7.5213,8.456,7.3176,8.0848,7543248.34,1666173599999.0,59625559.868125,129378.0,3700610.8,29295251.797656,0.0
2022-10-19 10:00:00,1666173600000.0,8.0781,8.335,7.74,7.8542,4790408.35,1666180799999.0,38433159.703476,74361.0,2286175.65,18340651.936728,0.0
2022-10-19 12:00:00,1666180800000.0,7.8506,7.9194,7.4923,7.6746,3580434.5,1666187999999.0,27520172.169149,47767.0,1734827.09,13334586.572727,0.0
2022-10-19 14:00:00,1666188000000.0,7.6747,7.9205,7.5311,7.8265,2698714.51,1666195199999.0,20913714.450346,36359.0,1275404.76,9888241.019056,0.0
2022-10-19 16:00:00,1666195200000.0,7.8262,7.8521,7.3009,7.448,2380805.87,1666202399999.0,18151682.76942,30048.0,1110055.74,8469029.06073,0.0
2022-10-19 18:00:00,1666202400000.0,7.4535,7.5156,6.9085,7.0409,2639638.6,1666209599999.0,19060043.975269,37661.0,1228601.59,8897108.697734,0.0
2022-10-19 20:00:00,1666209600000.0,7.0415,7.3116,6.7827,7.0082,2538681.9,1666216799999.0,17917194.145942,37167.0,1265043.34,8936687.519594,0.0
2022-10-19 22:00:00,1666216800000.0,7.0076,7.39,6.9781,7.3207,1694738.29,1666223999999.0,12220197.533703,18849.0,837270.46,6043833.510703,0.0
2022-10-20 00:00:00,1666224000000.0,7.3219,7.3751,6.9,7.087,1648954.59,1666231199999.0,11726445.659538,20595.0,766513.76,5454021.116044,0.0
2022-10-20 02:00:00,1666231200000.0,7.0914,7.61,7.0892,7.5168,2010699.65,1666238399999.0,14921855.080524,22274.0,1034872.66,7674361.795009,0.0
2022-10-20 04:00:00,1666238400000.0,7.5161,7.748,7.464,7.5,1626936.07,1666245599999.0,12398183.018758,17543.0,789770.8,6022543.387949,0.0
2022-10-20 06:00:00,1666245600000.0,7.5,7.6184,7.3431,7.5067,1747901.76,1666252799999.0,13063827.082766,16267.0,899648.76,6729074.236493,0.0
2022-10-20 08:00:00,1666252800000.0,7.5046,7.67,7.353,7.4427,1656253.6,1666259999999.0,12445348.04228,16915.0,790656.32,5941446.041229,0.0
2022-10-20 10:00:00,1666260000000.0,7.4455,7.5241,7.3176,7.4892,1095159.32,1666267199999.0,8147200.597094,13197.0,477952.27,3552958.548422,0.0
2022-10-20 12:00:00,1666267200000.0,7.489,7.5033,7.18,7.3003,1996626.16,1666274399999.0,14575253.50822,17412.0,842078.48,6146302.062179,0.0
