,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2022-03-09 12:00:00,1646827200000.0,0.01,0.19,0.01,0.14399,1304195873.4,1646841599999.0,197203068.828197,472352.0,640786714.8,97559088.223169,0.0
2022-03-09 16:00:00,1646841600000.0,0.14384,0.1492,0.12617,0.13611,260409202.1,1646855999999.0,35608658.620056,113344.0,128943703.6,17686548.030487,0.0
2022-03-09 20:00:00,1646856000000.0,0.1361,0.14117,0.125,0.13262,106250711.5,1646870399999.0,14218969.202244,44670.0,49167981.3,6607303.008472,0.0
2022-03-10 00:00:00,1646870400000.0,0.13308,0.145,0.1292,0.1303,112061577.4,1646884799999.0,15328373.717513,41722.0,54584754.8,7495213.789512,0.0
2022-03-10 04:00:00,1646884800000.0,0.13026,0.139,0.12765,0.13344,91780018.2,1646899199999.0,12287344.483287,45506.0,44472561.1,5963381.886873,0.0
2022-03-10 08:00:00,1646899200000.0,0.13344,0.14375,0.1288,0.13748,114438599.4,1646913599999.0,15653748.547058,59944.0,58664079.3,8047091.385839,0.0
2022-03-10 12:00:00,1646913600000.0,0.13739,0.138,0.1118,0.1118,132739452.6,1646927999999.0,16398604.677489,52055.0,51961902.2,6418371.546675,0.0
2022-03-10 16:00:00,1646928000000.0,0.11219,0.119,0.11,0.1137,47177225.8,1646942399999.0,5362319.730599,21728.0,21587446.0,2460787.993899,0.0
2022-03-10 20:00:00,1646942400000.0,0.11382,0.11793,0.112,0.11677,17798976.6,1646956799999.0,2040683.062536,10134.0,8097880.8,929742.970644,0.0
2022-03-11 00:00:00,1646956800000.0,0.11677,0.11765,0.10006,0.10439,41136195.7,1646971199999.0,4356342.836042,14037.0,15199761.4,1607542.47607,0.0
2022-03-11 04:00:00,1646971200000.0,0.10448,0.115,0.10052,0.11099,46192050.0,1646985599999.0,5025132.482294,15593.0,22408607.2,2426208.146169,0.0
2022-03-11 08:00:00,1646985600000.0,0.11098,0.11357,0.105,0.10974,33106783.6,1646999999999.0,3608879.59917,15377.0,16054702.3,1749018.007462,0.0
2022-03-11 12:00:00,1647000000000.0,0.10978,0.146,0.1078,0.14335,215997778.7,1647014399999.0,27577788.254764,83984.0,117876876.0,15049195.214591,0.0
2022-03-11 16:00:00,1647014400000.0,0.14313,0.1588,0.13256,0.13495,237414010.7,1647028799999.0,34319679.577969,108095.0,119302192.1,17314652.864839,0.0
2022-03-11 20:00:00,1647028800000.0,0.1346,0.166,0.13459,0.15958,121380327.7,1647043199999.0,18247599.164863,65310.0,63698735.7,9577846.263913,0.0
2022-03-12 00:00:00,1647043200000.0,0.16003,0.21,0.15562,0.18566,378670355.0,1647057599999.0,68913166.728203,187050.0,192782279.2,35148431.952575,0.0
2022-03-12 04:00:00,1647057600000.0,0.18593,0.2929,0.17633,0.28534,553417133.3,1647071999999.0,128299246.775262,364771.0,294391433.7,68451546.993112,0.0
2022-03-12 08:00:00,1647072000000.0,0.28562,0.308,0.23378,0.26299,631092396.3,1647086399999.0,165780807.6226,411464.0,322214876.4,84922251.086662,0.0
2022-03-12 12:00:00,1647086400000.0,0.26294,0.26299,0.2214,0.22556,282888548.3,1647100799999.0,67286030.343023,190512.0,131236689.9,31290702.139237,0.0
2022-03-12 16:00:00,1647100800000.0,0.22552,0.297,0.2242,0.26047,451157643.0,1647115199999.0,120679077.136524,348116.0,230266289.5,61630302.782681,0.0
2022-03-12 20:00:00,1647115200000.0,0.26047,0.31232,0.24695,0.28472,303399278.9,1647129599999.0,85097664.863105,246577.0,160923891.2,45259379.636604,0.0
2022-03-13 00:00:00,1647129600000.0,0.28499,0.296,0.25273,0.2719,236875556.2,1647143999999.0,64098910.566992,170485.0,114956195.0,31170189.743529,0.0
2022-03-13 04:00:00,1647144000000.0,0.27205,0.328,0.26259,0.28553,334667966.7,1647158399999.0,100399259.485515,245173.0,169577369.9,50943240.966206,0.0
2022-03-13 08:00:00,1647158400000.0,0.28555,0.322,0.27396,0.30585,293577895.7,1647172799999.0,87828684.149384,235215.0,150128396.0,45008477.063815,0.0
2022-03-13 12:00:00,1647172800000.0,0.30583,0.43699,0.29696,0.42749,773510172.2,1647187199999.0,288009293.275877,675764.0,410112159.8,152966449.375403,0.0
2022-03-13 16:00:00,1647187200000.0,0.42749,0.441,0.38705,0.43,349131111.6,1647201599999.0,146107906.077487,415000.0,176762132.9,74174002.759201,0.0
2022-03-13 20:00:00,1647201600000.0,0.4303,0.4334,0.362,0.39885,216795780.0,1647215999999.0,87354674.081229,231498.0,106813022.3,43189671.090837,0.0
2022-03-14 00:00:00,1647216000000.0,0.39878,0.45,0.378,0.39797,265312402.0,1647230399999.0,109480993.321374,225645.0,128261299.4,53173457.15193,0.0
2022-03-14 04:00:00,1647230400000.0,0.39795,0.41011,0.34217,0.35988,233103938.9,1647244799999.0,86188229.466493,192579.0,105266913.3,39001725.372925,0.0
2022-03-14 08:00:00,1647244800000.0,0.35962,0.40798,0.343,0.38013,218895268.9,1647259199999.0,82586462.063202,210046.0,112068637.8,42379029.037665,0.0
2022-03-14 12:00:00,1647259200000.0,0.38,0.388,0.3475,0.35124,165136768.1,1647273599999.0,60267329.933278,156216.0,80817523.7,29544886.152394,0.0
2022-03-14 16:00:00,1647273600000.0,0.3512,0.363,0.34267,0.34801,62429441.8,1647287999999.0,22001612.455412,70748.0,30314868.6,10704982.55387,0.0
2022-03-14 20:00:00,1647288000000.0,0.34801,0.3657,0.348,0.35948,47769331.5,1647302399999.0,17024639.438076,50864.0,23949943.2,8547636.659977,0.0
2022-03-15 00:00:00,1647302400000.0,0.35944,0.35949,0.3052,0.3202,117649586.8,1647316799999.0,37991257.349606,91091.0,49882747.0,16124375.348937,0.0
2022-03-15 04:00:00,1647316800000.0,0.32013,0.34549,0.30775,0.3298,109366703.4,1647331199999.0,35763327.463572,97548.0,55737638.5,18295370.356624,0.0
2022-03-15 08:00:00,1647331200000.0,0.32971,0.3305,0.28343,0.28571,122218672.8,1647345599999.0,36980909.659856,84247.0,52485146.1,15902143.030579,0.0
2022-03-15 12:00:00,1647345600000.0,0.28541,0.30414,0.27791,0.30174,114677510.6,1647359999999.0,33211788.668974,75377.0,54586207.6,15855496.019365,0.0
2022-03-15 16:00:00,1647360000000.0,0.30172,0.4,0.30147,0.3405,330408413.6,1647374399999.0,117073719.536495,289052.0,170766667.6,60502284.298638,0.0
2022-03-15 20:00:00,1647374400000.0,0.34035,0.36588,0.31547,0.33128,101959498.9,1647388799999.0,34417197.511911,92872.0,51052032.9,17277189.651241,0.0
2022-03-16 00:00:00,1647388800000.0,0.33127,0.38,0.31712,0.35274,138363172.7,1647403199999.0,48839872.361733,141852.0,73236234.8,25891834.354943,0.0
2022-03-16 04:00:00,1647403200000.0,0.35255,0.481,0.35,0.46858,345678896.8,1647417599999.0,144441085.840025,365480.0,187276815.3,78542474.281297,0.0
2022-03-16 08:00:00,1647417600000.0,0.46858,0.5549,0.44199,0.50756,469698110.6,1647431999999.0,231962905.752699,577876.0,236433014.0,116852221.726121,0.0
2022-03-16 12:00:00,1647432000000.0,0.50753,0.56888,0.4921,0.50969,320305663.1,1647446399999.0,169143143.778343,416552.0,162815046.2,86227588.925199,0.0
2022-03-16 16:00:00,1647446400000.0,0.50991,0.545,0.47227,0.53764,213895661.0,1647460799999.0,107472540.434375,300795.0,103389347.2,52095640.94189,0.0
2022-03-16 20:00:00,1647460800000.0,0.5378,0.5555,0.506,0.55492,136480686.3,1647475199999.0,73077238.674074,223703.0,69489304.1,37234902.384699,0.0
2022-03-17 00:00:00,1647475200000.0,0.55493,0.71475,0.5385,0.6916,337653851.0,1647489599999.0,214703883.532073,501218.0,181813190.1,115550910.89059,0.0
