,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2022-01-01 00:00:00,1640995200000.0,37.82,40.45,37.82,39.82,44009.06,1641081599999.0,1735702.1235,10355.0,24581.14,969669.5131,0.0
2022-01-02 00:00:00,1641081600000.0,39.82,42.46,38.21,41.03,52495.95,1641167999999.0,2131634.4632,12738.0,24613.44,999233.5077,0.0
2022-01-03 00:00:00,1641168000000.0,41.05,42.9,38.92,39.99,61244.52,1641254399999.0,2509308.008,15693.0,31083.37,1278245.7345,0.0
2022-01-04 00:00:00,1641254400000.0,39.94,43.59,38.5,41.46,89540.51,1641340799999.0,3718409.0166,19253.0,42748.75,1770551.0841,0.0
2022-01-05 00:00:00,1641340800000.0,41.57,45.13,36.78,38.54,112248.9,1641427199999.0,4761300.7546,27429.0,54479.96,2327688.0403,0.0
2022-01-06 00:00:00,1641427200000.0,38.55,40.87,36.52,40.32,49445.9,1641513599999.0,1896839.0223,12335.0,23920.75,920197.0287,0.0
2022-01-07 00:00:00,1641513600000.0,40.35,40.5,35.3,35.6,59603.94,1641599999999.0,2227482.9657,13354.0,26881.15,1006884.7383,0.0
2022-01-08 00:00:00,1641600000000.0,35.69,36.5,30.88,32.1,56962.26,1641686399999.0,1886136.791,11569.0,24031.68,798810.8197,0.0
2022-01-09 00:00:00,1641686400000.0,32.1,34.12,31.67,33.16,45554.4,1641772799999.0,1496495.2498,8033.0,24125.81,793203.2707,0.0
2022-01-10 00:00:00,1641772800000.0,33.14,34.05,29.5,31.68,43968.91,1641859199999.0,1396592.5938,10966.0,22352.87,712225.4725,0.0
2022-01-11 00:00:00,1641859200000.0,31.73,33.27,31.14,33.07,34581.76,1641945599999.0,1111793.0704,8410.0,19806.07,637788.5347,0.0
2022-01-12 00:00:00,1641945600000.0,33.13,36.0,32.5,35.61,53729.92,1642031999999.0,1840478.4141,10204.0,29270.08,1003669.7542,0.0
2022-01-13 00:00:00,1642032000000.0,35.59,35.9,32.19,32.38,51172.73,1642118399999.0,1720612.8766,9557.0,19006.88,642149.7492,0.0
2022-01-14 00:00:00,1642118400000.0,32.39,33.36,31.17,33.15,43577.99,1642204799999.0,1410782.6084,8331.0,22535.67,731162.4888,0.0
2022-01-15 00:00:00,1642204800000.0,33.18,35.18,32.85,33.73,39530.5,1642291199999.0,1348001.4827,6890.0,20655.32,704883.7371,0.0
2022-01-16 00:00:00,1642291200000.0,33.78,34.49,33.08,33.56,22522.31,1642377599999.0,761605.3632,5953.0,10826.4,366690.691,0.0
2022-01-17 00:00:00,1642377600000.0,33.65,33.68,31.37,32.84,31143.43,1642463999999.0,1007652.1698,6837.0,15083.96,489094.3562,0.0
2022-01-18 00:00:00,1642464000000.0,32.9,33.57,29.63,30.8,48444.52,1642550399999.0,1497327.798,10436.0,20641.13,640653.7525,0.0
2022-01-19 00:00:00,1642550400000.0,30.71,31.02,28.13,28.18,35836.42,1642636799999.0,1047696.3806,7497.0,15342.73,449053.3145,0.0
2022-01-20 00:00:00,1642636800000.0,28.16,31.39,28.08,28.44,42638.43,1642723199999.0,1274933.9118,8410.0,21573.28,646446.1403,0.0
2022-01-21 00:00:00,1642723200000.0,28.44,28.62,23.82,24.19,96596.95,1642809599999.0,2567398.6079,16783.0,44082.73,1176671.005,0.0
2022-01-22 00:00:00,1642809600000.0,24.18,25.26,19.74,22.54,110858.11,1642895999999.0,2461474.8585,12944.0,60688.1,1353534.9589,0.0
2022-01-23 00:00:00,1642896000000.0,22.54,23.92,21.95,23.62,61812.25,1642982399999.0,1418355.6425,6468.0,35359.67,810861.8406,0.0
