,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2022-01-01 00:00:00,1640995200000.0,0.000801,0.000823,0.000796,0.000822,47903.4,1641081599999.0,38.6289439,432.0,27394.9,22.1100028,0.0
2022-01-02 00:00:00,1641081600000.0,0.000825,0.000868,0.000816,0.000836,74126.7,1641167999999.0,62.6629976,739.0,28546.2,24.1494893,0.0
2022-01-03 00:00:00,1641168000000.0,0.000836,0.000864,0.000824,0.000864,65964.1,1641254399999.0,55.3213369,634.0,37750.9,31.6461168,0.0
2022-01-04 00:00:00,1641254400000.0,0.000863,0.000943,0.00086,0.000904,120954.1,1641340799999.0,109.9982363,1305.0,51928.3,47.2689957,0.0
2022-01-05 00:00:00,1641340800000.0,0.000906,0.000945,0.000856,0.000879,92858.9,1641427199999.0,83.4395327,1172.0,46960.2,42.4209758,0.0
2022-01-06 00:00:00,1641427200000.0,0.000876,0.000894,0.000863,0.000885,90414.1,1641513599999.0,79.5043903,980.0,40692.8,35.8522794,0.0
2022-01-07 00:00:00,1641513600000.0,0.000884,0.000922,0.000868,0.000884,97441.9,1641599999999.0,87.421364,1276.0,50057.3,44.9979557,0.0
2022-01-08 00:00:00,1641600000000.0,0.000886,0.000915,0.00088,0.000893,35355.4,1641686399999.0,31.5628682,567.0,19792.6,17.6719661,0.0
2022-01-09 00:00:00,1641686400000.0,0.000896,0.000951,0.000893,0.000912,28756.2,1641772799999.0,26.4070026,414.0,13735.1,12.6431461,0.0
2022-01-10 00:00:00,1641772800000.0,0.00091,0.000946,0.000886,0.000886,93864.6,1641859199999.0,85.5871196,1115.0,49746.1,45.3990353,0.0
2022-01-11 00:00:00,1641859200000.0,0.000889,0.000896,0.000863,0.000867,17704.4,1641945599999.0,15.5694703,314.0,9503.8,8.3674693,0.0
2022-01-12 00:00:00,1641945600000.0,0.000868,0.00088,0.000851,0.00086,38152.5,1642031999999.0,32.9758307,530.0,18103.7,15.6682943,0.0
2022-01-13 00:00:00,1642032000000.0,0.000859,0.000883,0.00084,0.000844,52822.4,1642118399999.0,45.108976,569.0,23317.7,19.9816327,0.0
2022-01-14 00:00:00,1642118400000.0,0.000843,0.00088,0.000824,0.000839,57332.5,1642204799999.0,48.0769692,620.0,34582.1,29.0804274,0.0
