,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2022-01-01 00:00:00,1640995200000.0,2.94,3.019,2.937,2.982,294107.0,1641038399999.0,878828.493,4692.0,161692.1,483334.5517,0.0
2022-01-01 12:00:00,1641038400000.0,2.985,3.103,2.981,3.103,287044.4,1641081599999.0,871043.6849,4648.0,135740.9,412067.922,0.0
2022-01-02 00:00:00,1641081600000.0,3.103,3.24,3.061,3.212,822748.9,1641124799999.0,2590204.0917,10834.0,420357.0,1323904.0324,0.0
2022-01-02 12:00:00,1641124800000.0,3.211,3.301,3.175,3.206,1104344.2,1641167999999.0,3572386.7074,15813.0,587021.6,1899977.7621,0.0
2022-01-03 00:00:00,1641168000000.0,3.202,3.202,3.115,3.191,478645.8,1641211199999.0,1513344.2622,7229.0,260156.8,823314.217,0.0
2022-01-03 12:00:00,1641211200000.0,3.193,3.298,3.1,3.253,1121189.5,1641254399999.0,3608215.2448,17615.0,588273.2,1895470.3237,0.0
2022-01-04 00:00:00,1641254400000.0,3.253,3.5,3.241,3.482,1754735.1,1641297599999.0,5926956.9911,27433.0,939131.8,3171518.8105,0.0
2022-01-04 12:00:00,1641297600000.0,3.482,3.627,3.361,3.432,3107925.5,1641340799999.0,10893247.2456,37263.0,1499140.4,5268187.1428,0.0
2022-01-05 00:00:00,1641340800000.0,3.426,3.6,3.381,3.488,1127502.1,1641383999999.0,3965767.8077,17163.0,553646.5,1947076.7265,0.0
2022-01-05 12:00:00,1641384000000.0,3.486,3.598,2.937,3.108,2037154.9,1641427199999.0,6680886.1043,27090.0,1001527.8,3254354.8689,0.0
2022-01-06 00:00:00,1641427200000.0,3.105,3.166,2.902,2.947,877643.1,1641470399999.0,2646436.2525,16867.0,449169.3,1355075.8234,0.0
2022-01-06 12:00:00,1641470400000.0,2.944,3.08,2.913,3.017,537164.2,1641513599999.0,1617932.21,7912.0,269724.0,811465.4592,0.0
2022-01-07 00:00:00,1641513600000.0,3.015,3.031,2.767,2.94,759608.8,1641556799999.0,2194610.8373,12475.0,352687.8,1018717.1739,0.0
2022-01-07 12:00:00,1641556800000.0,2.942,2.972,2.788,2.832,773179.0,1641599999999.0,2228922.0417,11478.0,371709.1,1071311.5558,0.0
2022-01-08 00:00:00,1641600000000.0,2.834,2.948,2.827,2.884,323526.5,1641643199999.0,936196.7076,5189.0,160776.4,465302.5671,0.0
2022-01-08 12:00:00,1641643200000.0,2.882,2.898,2.65,2.756,985906.6,1641686399999.0,2719783.7577,13704.0,424982.0,1170575.4817,0.0
2022-01-09 00:00:00,1641686400000.0,2.761,2.886,2.736,2.848,310723.5,1641729599999.0,875641.8456,5397.0,179843.6,506210.6022,0.0
2022-01-09 12:00:00,1641729600000.0,2.851,3.033,2.781,2.875,741749.3,1641772799999.0,2157742.1964,9602.0,396112.3,1153942.4605,0.0
2022-01-10 00:00:00,1641772800000.0,2.867,2.975,2.79,2.808,478030.6,1641815999999.0,1390063.2422,8564.0,254621.7,740947.9977,0.0
2022-01-10 12:00:00,1641816000000.0,2.809,2.831,2.611,2.739,721343.6,1641859199999.0,1962247.4217,11341.0,339065.2,921707.406,0.0
2022-01-11 00:00:00,1641859200000.0,2.741,2.819,2.704,2.749,191698.3,1641902399999.0,528211.5038,4246.0,107584.4,296230.2429,0.0
2022-01-11 12:00:00,1641902400000.0,2.745,2.881,2.714,2.804,519760.4,1641945599999.0,1458563.254,7783.0,210122.2,589375.9381,0.0
2022-01-12 00:00:00,1641945600000.0,2.804,2.872,2.785,2.842,353002.6,1641988799999.0,993598.2059,6655.0,166546.7,469355.7042,0.0
2022-01-12 12:00:00,1641988800000.0,2.84,2.945,2.836,2.898,614551.0,1642031999999.0,1776301.3154,7355.0,322243.5,931181.4654,0.0
2022-01-13 00:00:00,1642032000000.0,2.901,2.929,2.825,2.852,334796.6,1642075199999.0,963566.6331,5473.0,168825.3,486150.8728,0.0
2022-01-13 12:00:00,1642075200000.0,2.847,2.984,2.726,2.735,812546.6,1642118399999.0,2313282.1315,10487.0,438071.5,1248342.5433,0.0
2022-01-14 00:00:00,1642118400000.0,2.731,2.783,2.656,2.681,377136.5,1642161599999.0,1026662.3136,6581.0,172871.7,470889.214,0.0
