,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2022-01-01 00:00:00,1640995200000.0,2.94,3.103,2.937,3.103,581151.4,1641081599999.0,1749872.1779,9340.0,297433.0,895402.4737,0.0
2022-01-02 00:00:00,1641081600000.0,3.103,3.301,3.061,3.206,1927093.1,1641167999999.0,6162590.7991,26647.0,1007378.6,3223881.7945,0.0
2022-01-03 00:00:00,1641168000000.0,3.202,3.298,3.1,3.253,1599835.3,1641254399999.0,5121559.507,24844.0,848430.0,2718784.5407,0.0
2022-01-04 00:00:00,1641254400000.0,3.253,3.627,3.241,3.432,4862660.6,1641340799999.0,16820204.2367,64696.0,2438272.2,8439705.9533,0.0
2022-01-05 00:00:00,1641340800000.0,3.426,3.6,2.937,3.108,3164657.0,1641427199999.0,10646653.912,44253.0,1555174.3,5201431.5954,0.0
2022-01-06 00:00:00,1641427200000.0,3.105,3.166,2.902,3.017,1414807.3,1641513599999.0,4264368.4625,24779.0,718893.3,2166541.2826,0.0
2022-01-07 00:00:00,1641513600000.0,3.015,3.031,2.767,2.832,1532787.8,1641599999999.0,4423532.879,23953.0,724396.9,2090028.7297,0.0
2022-01-08 00:00:00,1641600000000.0,2.834,2.948,2.65,2.756,1309433.1,1641686399999.0,3655980.4653,18893.0,585758.4,1635878.0488,0.0
2022-01-09 00:00:00,1641686400000.0,2.761,3.033,2.736,2.875,1052472.8,1641772799999.0,3033384.042,14999.0,575955.9,1660153.0627,0.0
2022-01-10 00:00:00,1641772800000.0,2.867,2.975,2.611,2.739,1199374.2,1641859199999.0,3352310.6639,19905.0,593686.9,1662655.4037,0.0
2022-01-11 00:00:00,1641859200000.0,2.741,2.881,2.704,2.804,711458.7,1641945599999.0,1986774.7578,12029.0,317706.6,885606.181,0.0
2022-01-12 00:00:00,1641945600000.0,2.804,2.945,2.785,2.898,967553.6,1642031999999.0,2769899.5213,14010.0,488790.2,1400537.1696,0.0
2022-01-13 00:00:00,1642032000000.0,2.901,2.984,2.726,2.735,1147343.2,1642118399999.0,3276848.7646,15960.0,606896.8,1734493.4161,0.0
2022-01-14 00:00:00,1642118400000.0,2.731,2.909,2.656,2.775,1423302.3,1642204799999.0,3905128.332,19622.0,697030.1,1913972.3221,0.0
2022-01-15 00:00:00,1642204800000.0,2.774,2.819,2.716,2.764,631716.9,1642291199999.0,1752056.7657,11639.0,255784.6,709513.0025,0.0
2022-01-16 00:00:00,1642291200000.0,2.765,2.795,2.699,2.703,669392.9,1642377599999.0,1833163.6685,8922.0,297134.8,815045.3376,0.0
2022-01-17 00:00:00,1642377600000.0,2.707,2.717,2.562,2.599,658602.8,1642463999999.0,1729060.4702,12971.0,341033.2,896209.8149,0.0
