,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2022-01-01 00:00:00,1640995200000.0,4.602,4.781,4.374,4.49,754657.98,1641038399999.0,3436988.73913,10458.0,390195.13,1780019.56861,0.0
2022-01-01 12:00:00,1641038400000.0,4.49,4.828,4.433,4.8,587463.22,1641081599999.0,2697480.41897,10171.0,307753.36,1414829.69016,0.0
2022-01-02 00:00:00,1641081600000.0,4.791,4.869,4.612,4.666,409133.86,1641124799999.0,1936350.07561,6920.0,218399.93,1036116.93354,0.0
2022-01-02 12:00:00,1641124800000.0,4.668,4.68,4.522,4.572,315084.09,1641167999999.0,1447739.86163,5866.0,161142.64,740859.14604,0.0
2022-01-03 00:00:00,1641168000000.0,4.572,5.002,4.51,4.969,1081163.62,1641211199999.0,5131064.78813,13678.0,561354.53,2664126.96762,0.0
2022-01-03 12:00:00,1641211200000.0,4.984,5.415,4.888,5.262,2720762.9,1641254399999.0,14030861.17231,43628.0,1332295.15,6869618.37225,0.0
2022-01-04 00:00:00,1641254400000.0,5.264,5.5,5.051,5.108,1386598.46,1641297599999.0,7246236.8308,25587.0,654389.07,3425712.8483,0.0
2022-01-04 12:00:00,1641297600000.0,5.106,5.195,4.764,4.813,2541966.83,1641340799999.0,12424778.46282,36520.0,993989.4,4865662.85363,0.0
2022-01-05 00:00:00,1641340800000.0,4.814,5.122,4.79,4.851,1826257.44,1641383999999.0,8968280.82446,26485.0,864787.15,4250709.10762,0.0
2022-01-05 12:00:00,1641384000000.0,4.851,4.894,4.03,4.278,1979597.05,1641427199999.0,8925337.40991,23570.0,851962.56,3813043.90861,0.0
2022-01-06 00:00:00,1641427200000.0,4.278,4.328,4.071,4.11,2544669.79,1641470399999.0,10650107.14052,32812.0,1185117.01,4964928.88996,0.0
2022-01-06 12:00:00,1641470400000.0,4.119,4.38,4.063,4.172,1246687.79,1641513599999.0,5235935.25529,16814.0,607899.89,2557435.24181,0.0
2022-01-07 00:00:00,1641513600000.0,4.175,4.18,3.68,3.905,1703270.02,1641556799999.0,6658600.11758,21775.0,812333.15,3177485.85513,0.0
2022-01-07 12:00:00,1641556800000.0,3.914,4.16,3.645,3.686,1815711.5,1641599999999.0,6971466.35275,22389.0,875378.23,3369662.81739,0.0
2022-01-08 00:00:00,1641600000000.0,3.693,3.85,3.684,3.771,799692.38,1641643199999.0,3009672.3757,11278.0,380996.35,1434365.72907,0.0
2022-01-08 12:00:00,1641643200000.0,3.773,3.783,3.407,3.58,1430662.57,1641686399999.0,5153122.5948,16115.0,658169.47,2372488.54447,0.0
2022-01-09 00:00:00,1641686400000.0,3.578,3.841,3.535,3.596,1099865.97,1641729599999.0,4042746.09048,12664.0,555092.34,2042134.38832,0.0
2022-01-09 12:00:00,1641729600000.0,3.599,3.999,3.467,3.763,1456443.62,1641772799999.0,5457982.58804,17890.0,750051.09,2807981.50936,0.0
2022-01-10 00:00:00,1641772800000.0,3.764,3.774,3.565,3.57,732335.11,1641815999999.0,2702423.55578,9926.0,357627.7,1321985.9907,0.0
2022-01-10 12:00:00,1641816000000.0,3.574,3.574,3.22,3.499,1409727.25,1641859199999.0,4784856.32772,17052.0,682897.59,2320050.69442,0.0
2022-01-11 00:00:00,1641859200000.0,3.501,3.548,3.246,3.268,1100702.4,1641902399999.0,3745339.32208,11846.0,532969.51,1819451.3027,0.0
2022-01-11 12:00:00,1641902400000.0,3.265,3.6,3.261,3.475,1574969.59,1641945599999.0,5463529.00121,16402.0,805659.01,2793258.41182,0.0
2022-01-12 00:00:00,1641945600000.0,3.481,3.6,3.42,3.514,905703.18,1641988799999.0,3172167.04246,12255.0,447663.03,1570086.92424,0.0
2022-01-12 12:00:00,1641988800000.0,3.513,4.0,3.304,3.972,1824642.53,1642031999999.0,6787888.92,19945.0,949178.13,3537791.17631,0.0
2022-01-13 00:00:00,1642032000000.0,3.972,4.077,3.583,3.975,1312132.06,1642075199999.0,5042101.04558,15840.0,630152.04,2429897.80407,0.0
2022-01-13 12:00:00,1642075200000.0,3.974,4.053,3.532,3.547,1558308.71,1642118399999.0,5881243.49429,18610.0,726973.98,2748787.85433,0.0
2022-01-14 00:00:00,1642118400000.0,3.549,3.617,3.31,3.422,869924.33,1642161599999.0,3018741.74399,10838.0,411702.79,1427692.9863,0.0
2022-01-14 12:00:00,1642161600000.0,3.42,3.628,3.325,3.53,1122041.99,1642204799999.0,3925771.20471,13860.0,571579.73,2004532.85471,0.0
2022-01-15 00:00:00,1642204800000.0,3.529,3.59,3.459,3.533,534432.91,1642247999999.0,1881807.43704,6261.0,239089.42,843416.16766,0.0
2022-01-15 12:00:00,1642248000000.0,3.534,3.782,3.5,3.637,631478.35,1642291199999.0,2312755.27693,9392.0,322853.14,1182883.63761,0.0
2022-01-16 00:00:00,1642291200000.0,3.636,3.685,3.54,3.602,587123.41,1642334399999.0,2117641.88174,7036.0,296590.48,1070414.62587,0.0
2022-01-16 12:00:00,1642334400000.0,3.6,3.768,3.576,3.598,527192.91,1642377599999.0,1926436.05494,6218.0,235412.6,861733.22504,0.0
2022-01-17 00:00:00,1642377600000.0,3.597,3.625,3.309,3.35,627059.04,1642420799999.0,2140492.6602,7258.0,275107.51,938410.95037,0.0
