,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2022-01-01 00:00:00,1640995200000.0,4.602,4.828,4.374,4.8,1342121.2,1641081599999.0,6134469.1581,20629.0,697948.49,3194849.25877,0.0
2022-01-02 00:00:00,1641081600000.0,4.791,4.869,4.522,4.572,724217.95,1641167999999.0,3384089.93724,12786.0,379542.57,1776976.07958,0.0
2022-01-03 00:00:00,1641168000000.0,4.572,5.415,4.51,5.262,3801926.52,1641254399999.0,19161925.96044,57306.0,1893649.68,9533745.33987,0.0
2022-01-04 00:00:00,1641254400000.0,5.264,5.5,4.764,4.813,3928565.29,1641340799999.0,19671015.29362,62107.0,1648378.47,8291375.70193,0.0
2022-01-05 00:00:00,1641340800000.0,4.814,5.122,4.03,4.278,3805854.49,1641427199999.0,17893618.23437,50055.0,1716749.71,8063753.01623,0.0
2022-01-06 00:00:00,1641427200000.0,4.278,4.38,4.063,4.172,3791357.58,1641513599999.0,15886042.39581,49626.0,1793016.9,7522364.13177,0.0
2022-01-07 00:00:00,1641513600000.0,4.175,4.18,3.645,3.686,3518981.52,1641599999999.0,13630066.47033,44164.0,1687711.38,6547148.67252,0.0
2022-01-08 00:00:00,1641600000000.0,3.693,3.85,3.407,3.58,2230354.95,1641686399999.0,8162794.9705,27393.0,1039165.82,3806854.27354,0.0
2022-01-09 00:00:00,1641686400000.0,3.578,3.999,3.467,3.763,2556309.59,1641772799999.0,9500728.67852,30554.0,1305143.43,4850115.89768,0.0
2022-01-10 00:00:00,1641772800000.0,3.764,3.774,3.22,3.499,2142062.36,1641859199999.0,7487279.8835,26978.0,1040525.29,3642036.68512,0.0
2022-01-11 00:00:00,1641859200000.0,3.501,3.6,3.246,3.475,2675671.99,1641945599999.0,9208868.32329,28248.0,1338628.52,4612709.71452,0.0
2022-01-12 00:00:00,1641945600000.0,3.481,4.0,3.304,3.972,2730345.71,1642031999999.0,9960055.96246,32200.0,1396841.16,5107878.10055,0.0
2022-01-13 00:00:00,1642032000000.0,3.972,4.077,3.532,3.547,2870440.77,1642118399999.0,10923344.53987,34450.0,1357126.02,5178685.6584,0.0
2022-01-14 00:00:00,1642118400000.0,3.549,3.628,3.31,3.53,1991966.32,1642204799999.0,6944512.9487,24698.0,983282.52,3432225.84101,0.0
2022-01-15 00:00:00,1642204800000.0,3.529,3.782,3.459,3.637,1165911.26,1642291199999.0,4194562.71397,15653.0,561942.56,2026299.80527,0.0
2022-01-16 00:00:00,1642291200000.0,3.636,3.768,3.54,3.598,1114316.32,1642377599999.0,4044077.93668,13254.0,532003.08,1932147.85091,0.0
2022-01-17 00:00:00,1642377600000.0,3.597,3.625,3.13,3.199,1810616.79,1642463999999.0,6010986.81472,20258.0,865859.21,2874431.98552,0.0
2022-01-18 00:00:00,1642464000000.0,3.197,3.319,2.88,3.0,2447852.63,1642550399999.0,7432054.73604,26407.0,1205580.43,3660228.33624,0.0
2022-01-19 00:00:00,1642550400000.0,3.0,3.187,2.758,2.965,2757651.67,1642636799999.0,8192189.54742,31158.0,1500900.49,4463185.85837,0.0
2022-01-20 00:00:00,1642636800000.0,2.964,3.372,2.82,2.829,2467611.47,1642723199999.0,7647893.4756,27615.0,1223451.23,3795464.54271,0.0
2022-01-21 00:00:00,1642723200000.0,2.827,2.901,2.262,2.415,5283958.03,1642809599999.0,13570516.81445,45158.0,2407500.86,6206025.76253,0.0
2022-01-22 00:00:00,1642809600000.0,2.413,2.503,1.962,2.145,3383954.01,1642895999999.0,7523914.85057,30081.0,1412434.06,3125790.69287,0.0
2022-01-23 00:00:00,1642896000000.0,2.145,2.38,2.099,2.25,1933706.86,1642982399999.0,4284070.03644,19765.0,1014360.5,2244324.15055,0.0
